Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-1335	345	345	0	-1335	345	345
1	-1268	575	920	1	-1268	575	920
2	-545	347	1267	2	-545	347	1267
3	-426	327	1594	3	-426	327	1594
4	-737	440	2034	4	-737	440	2034
5	-69	69	2103	5	-69	69	2103
6	-378	279	2382	6	-378	279	2382
7	-333	234	2616	7	-333	234	2616
8	-141	141	2757	8	-141	141	2757
9	-288	189	2946	9	-288	189	2946
10	-431	332	3278	10	-431	332	3278
11	-215	116	3394	11	-215	116	3394
12	-121	121	3515	12	-121	121	3515
13	-346	247	3762	13	-346	247	3762
14	-500	302	4064	14	-500	302	4064
15	-75	75	4139	15	-75	75	4139
16	-150	150	4289	16	-150	150	4289
17	-641	344	4633	17	-641	344	4633
18	-74	74	4707	18	-74	74	4707
19	-375	177	4884	19	-375	177	4884
20	-130	130	5014	20	-130	130	5014
21	-183	183	5197	21	-183	183	5197
22	-180	81	5278	22	-180	81	5278
23	-169	169	5447	23	-169	169	5447
24	-201	102	5549	24	-201	102	5549
25	-603	306	5855	25	-603	306	5855
26	-267	168	6023	26	-267	168	6023
27	-144	144	6167	27	-144	144	6167
28	-244	145	6312	28	-244	145	6312
29	-335	137	6449	29	-335	137	6449
30	-310	211	6660	30	-310	211	6660
31	-161	62	6722	31	-161	62	6722
32	-252	153	6875	32	-252	153	6875
33	-77	77	6952	33	-77	77	6952
34	-89	89	7041	34	-89	89	7041
35	-98	98	7139	35	-98	98	7139
36	-47	47	7186	36	-47	47	7186
37	-258	159	7345	37	-258	159	7345
38	-37	37	7382	38	-37	37	7382
39	-505	109	7491	39	-505	109	7491
40	-236	137	7628	40	-236	137	7628
41	-68	68	7696	41	-68	68	7696
42	-209	110	7806	42	-209	110	7806
43	-557	260	8066	43	-557	260	8066
44	-121	121	8187	44	-121	121	8187
45	-59	59	8246	45	-59	59	8246
46	-70	70	8316	46	-70	70	8316
47	-120	120	8436	47	-120	120	8436
48	-114	114	8550	48	-114	114	8550
49	-49	49	8599	49	-49	49	8599
50	-245	146	8745	50	-245	146	8745
51	-50	50	8795	51	-50	50	8795
52	-185	86	8881	52	-185	86	8881
53	-87	87	8968	53	-87	87	8968
54	-235	136	9104	54	-235	136	9104
55	-181	82	9186	55	-181	82	9186
56	-73	73	9259	56	-73	73	9259
57	-93	93	9352	57	-93	93	9352
58	-70	70	9422	58	-70	70	9422
59	-46	46	9468	59	-46	46	9468
60	-180	81	9549	60	-180	81	9549
61	-227	128	9677	61	-227	128	9677
62	-200	101	9778	62	-200	101	9778
63	-42	42	9820	63	-42	42	9820
64	-213	114	9934	64	-213	114	9934
65	-29	29	9963	65	-29	29	9963
66	-61	61	10024	66	-61	61	10024
67	-72	72	10096	67	-72	72	10096
68	-209	110	10206	68	-209	110	10206
69	-98	98	10304	69	-98	98	10304
70	-176	77	10381	70	-176	77	10381
71	-64	64	10445	71	-64	64	10445
72	-46	46	10491	72	-46	46	10491
73	-94	94	10585	73	-94	94	10585
74	-167	68	10653	74	-167	68	10653
75	-65	65	10718	75	-65	65	10718
76	-68	68	10786	76	-68	68	10786
77	-47	47	10833	77	-47	47	10833
78	-79	79	10912	78	-79	79	10912
79	-29	29	10941	79	-29	29	10941
80	-39	39	10980	80	-39	39	10980
81	-60	60	11040	81	-60	60	11040
82	-55	55	11095	82	-55	55	11095
83	-36	36	11131	83	-36	36	11131
84	-332	134	11265	84	-332	134	11265
85	-51	51	11316	85	-51	51	11316
86	-46	46	11362	86	-46	46	11362
87	-171	72	11434	87	-171	72	11434
88	-288	90	11524	88	-288	90	11524
89	-69	69	11593	89	-69	69	11593
90	-82	82	11675	90	-82	82	11675
91	-75	75	11750	91	-75	75	11750
92	-46	46	11796	92	-46	46	11796
93	-121	121	11917	93	-121	121	11917
94	-148	49	11966	94	-148	49	11966
95	-79	79	12045	95	-79	79	12045
96	-62	62	12107	96	-62	62	12107
97	-113	113	12220	97	-113	113	12220
98	-38	38	12258	98	-38	38	12258
99	-44	44	12302	99	-44	44	12302
100	-151	52	12354	100	-151	52	12354
101	-58	58	12412	101	-58	58	12412
102	-25	25	12437	102	-25	25	12437
103	-224	125	12562	103	-224	125	12562
104	-43	43	12605	104	-43	43	12605
105	-91	91	12696	105	-91	91	12696
106	-55	55	12751	106	-55	55	12751
107	-47	47	12798	107	-47	47	12798
108	-185	86	12884	108	-185	86	12884
109	-146	47	12931	109	-146	47	12931
110	-39	39	12970	110	-39	39	12970
111	-47	47	13017	111	-47	47	13017
112	-181	82	13099	112	-181	82	13099
113	-62	62	13161	113	-62	62	13161
114	-29	29	13190	114	-29	29	13190
115	-33	33	13223	115	-33	33	13223
116	-421	124	13347	116	-421	124	13347
117	-161	62	13409	117	-161	62	13409
118	-78	78	13487	118	-78	78	13487
119	-188	89	13576	119	-188	89	13576
120	-211	112	13688	120	-211	112	13688
121	-49	49	13737	121	-49	49	13737
122	-146	47	13784	122	-146	47	13784
123	-54	54	13838	123	-54	54	13838
124	-304	106	13944	124	-304	106	13944
125	-45	45	13989	125	-45	45	13989
126	-39	39	14028	126	-39	39	14028
127	-38	38	14066	127	-38	38	14066
128	-40	40	14106	128	-40	40	14106
129	-205	106	14212	129	-205	106	14212
130	-54	54	14266	130	-54	54	14266
131	-26	26	14292	131	-26	26	14292
132	-45	45	14337	132	-45	45	14337
133	-52	52	14389	133	-52	52	14389
134	-187	88	14477	134	-187	88	14477
135	-33	33	14510	135	-33	33	14510
136	-46	46	14556	136	-46	46	14556
137	-29	29	14585	137	-29	29	14585
138	-59	59	14644	138	-59	59	14644
139	-51	51	14695	139	-51	51	14695
140	-38	38	14733	140	-38	38	14733
141	-50	50	14783	141	-50	50	14783
142	-33	33	14816	142	-33	33	14816
143	-63	63	14879	143	-63	63	14879
144	-29	29	14908	144	-29	29	14908
145	-58	58	14966	145	-58	58	14966
146	-33	33	14999	146	-33	33	14999
147	-152	53	15052	147	-152	53	15052
148	-49	49	15101	148	-49	49	15101
149	-52	52	15153	149	-52	52	15153
150	-37	37	15190	150	-37	37	15190
151	-64	64	15254	151	-64	64	15254
152	-34	34	15288	152	-34	34	15288
153	-49	49	15337	153	-49	49	15337
154	-21	21	15358	154	-21	21	15358
155	-45	45	15403	155	-45	45	15403
156	-196	97	15500	156	-196	97	15500
157	-161	62	15562	157	-161	62	15562
158	-29	29	15591	158	-29	29	15591
159	-63	63	15654	159	-63	63	15654
160	-23	23	15677	160	-23	23	15677
161	-127	28	15705	161	-127	28	15705
162	-32	32	15737	162	-32	32	15737
163	-44	44	15781	163	-44	44	15781
164	-45	45	15826	164	-45	45	15826
165	-23	23	15849	165	-23	23	15849
166	-134	35	15884	166	-134	35	15884
167	-43	43	15927	167	-43	43	15927
168	-41	41	15968	168	-41	41	15968
169	-21	21	15989	169	-21	21	15989
170	-21	21	16010	170	-21	21	16010
171	-28	28	16038	171	-28	28	16038
172	-45	45	16083	172	-45	45	16083
173	-29	29	16112	173	-29	29	16112
174	-29	29	16141	174	-29	29	16141
175	-33	33	16174	175	-33	33	16174
