Episode	Accumulated Reward	Length	Steps
0	-3080	1298	1298
1	-86	86	1384
2	-69	69	1453
3	-65	65	1518
4	-77	77	1595
5	-634	436	2031
6	-203	104	2135
7	-214	115	2250
8	-711	414	2664
9	-326	128	2792
10	-37	37	2829
11	-137	38	2867
12	-153	54	2921
13	-21	21	2942
14	-28	28	2970
15	-19	19	2989
16	-34	34	3023
17	-19	19	3042
18	-21	21	3063
19	-19	19	3082
20	-17	17	3099
21	-21	21	3120
22	-21	21	3141
23	-19	19	3160
24	-19	19	3179
25	-17	17	3196
26	-21	21	3217
27	-27	27	3244
28	-23	23	3267
29	-28	28	3295
30	-18	18	3313
31	-20	20	3333
32	-23	23	3356
33	-20	20	3376
34	-23	23	3399
35	-17	17	3416
36	-18	18	3434
37	-20	20	3454
38	-17	17	3471
39	-21	21	3492
40	-26	26	3518
41	-21	21	3539
42	-17	17	3556
43	-20	20	3576
44	-17	17	3593
45	-18	18	3611
46	-17	17	3628
47	-19	19	3647
48	-19	19	3666
49	-20	20	3686
50	-24	24	3710
51	-23	23	3733
52	-17	17	3750
53	-25	25	3775
54	-26	26	3801
55	-119	20	3821
56	-19	19	3840
57	-19	19	3859
58	-19	19	3878
59	-17	17	3895
60	-17	17	3912
61	-18	18	3930
62	-17	17	3947
63	-17	17	3964
64	-19	19	3983
65	-18	18	4001
66	-220	22	4023
67	-18	18	4041
68	-20	20	4061
69	-21	21	4082
70	-17	17	4099
71	-22	22	4121
72	-19	19	4140
73	-21	21	4161
74	-19	19	4180
75	-18	18	4198
76	-23	23	4221
77	-19	19	4240
78	-25	25	4265
79	-20	20	4285
80	-18	18	4303
81	-18	18	4321
82	-17	17	4338
83	-21	21	4359
84	-17	17	4376
85	-22	22	4398
86	-28	28	4426
87	-17	17	4443
88	-19	19	4462
89	-19	19	4481
90	-19	19	4500
91	-19	19	4519
92	-21	21	4540
93	-23	23	4563
94	-17	17	4580
95	-19	19	4599
96	-17	17	4616
97	-19	19	4635
98	-23	23	4658
99	-21	21	4679
100	-17	17	4696
101	-19	19	4715
102	-19	19	4734
103	-20	20	4754
104	-19	19	4773
105	-17	17	4790
106	-21	21	4811
107	-24	24	4835
108	-119	20	4855
109	-19	19	4874
110	-20	20	4894
111	-17	17	4911
112	-18	18	4929
113	-17	17	4946
114	-20	20	4966
115	-24	24	4990
116	-21	21	5011
117	-23	23	5034
118	-22	22	5056
119	-18	18	5074
120	-19	19	5093
121	-21	21	5114
122	-23	23	5137
123	-23	23	5160
124	-19	19	5179
125	-17	17	5196
126	-21	21	5217
127	-21	21	5238
128	-17	17	5255
129	-20	20	5275
130	-18	18	5293
131	-21	21	5314
132	-21	21	5335
133	-19	19	5354
134	-17	17	5371
135	-17	17	5388
136	-27	27	5415
137	-31	31	5446
138	-24	24	5470
139	-17	17	5487
140	-19	19	5506
141	-20	20	5526
142	-19	19	5545
143	-17	17	5562
144	-18	18	5580
145	-19	19	5599
146	-21	21	5620
147	-19	19	5639
148	-19	19	5658
149	-17	17	5675
150	-27	27	5702
151	-17	17	5719
152	-19	19	5738
153	-18	18	5756
154	-23	23	5779
155	-21	21	5800
156	-25	25	5825
157	-17	17	5842
158	-19	19	5861
159	-18	18	5879
160	-17	17	5896
161	-17	17	5913
162	-17	17	5930
163	-18	18	5948
164	-19	19	5967
165	-20	20	5987
166	-18	18	6005
167	-21	21	6026
168	-26	26	6052
169	-26	26	6078
170	-17	17	6095
171	-17	17	6112
172	-17	17	6129
173	-19	19	6148
174	-21	21	6169
175	-17	17	6186
176	-27	27	6213
177	-17	17	6230
178	-17	17	6247
179	-19	19	6266
180	-17	17	6283
181	-22	22	6305
182	-19	19	6324
183	-22	22	6346
184	-17	17	6363
185	-17	17	6380
186	-17	17	6397
187	-22	22	6419
188	-17	17	6436
189	-18	18	6454
190	-18	18	6472
191	-21	21	6493
192	-17	17	6510
193	-17	17	6527
194	-17	17	6544
195	-19	19	6563
196	-17	17	6580
197	-19	19	6599
198	-19	19	6618
199	-18	18	6636
200	-19	19	6655
201	-18	18	6673
202	-17	17	6690
203	-22	22	6712
204	-121	22	6734
205	-17	17	6751
206	-21	21	6772
207	-18	18	6790
208	-17	17	6807
209	-21	21	6828
210	-17	17	6845
211	-17	17	6862
212	-23	23	6885
213	-20	20	6905
214	-18	18	6923
215	-17	17	6940
216	-17	17	6957
217	-21	21	6978
218	-17	17	6995
219	-17	17	7012
220	-17	17	7029
221	-17	17	7046
222	-19	19	7065
223	-21	21	7086
224	-18	18	7104
225	-17	17	7121
226	-17	17	7138
227	-17	17	7155
228	-18	18	7173
229	-17	17	7190
230	-21	21	7211
231	-21	21	7232
232	-17	17	7249
233	-21	21	7270
234	-18	18	7288
235	-21	21	7309
236	-18	18	7327
237	-19	19	7346
238	-20	20	7366
239	-17	17	7383
240	-17	17	7400
241	-17	17	7417
242	-17	17	7434
243	-18	18	7452
244	-18	18	7470
245	-17	17	7487
246	-18	18	7505
247	-19	19	7524
248	-17	17	7541
249	-17	17	7558
250	-20	20	7578
251	-17	17	7595
252	-20	20	7615
253	-26	26	7641
254	-23	23	7664
255	-19	19	7683
256	-18	18	7701
257	-20	20	7721
258	-20	20	7741
259	-17	17	7758
260	-26	26	7784
261	-19	19	7803
262	-17	17	7820
263	-20	20	7840
264	-17	17	7857
265	-118	19	7876
266	-17	17	7893
267	-17	17	7910
268	-17	17	7927
269	-19	19	7946
270	-21	21	7967
271	-17	17	7984
272	-17	17	8001
273	-26	26	8027
274	-17	17	8044
275	-22	22	8066
276	-19	19	8085
277	-19	19	8104
278	-19	19	8123
279	-19	19	8142
280	-22	22	8164
281	-18	18	8182
282	-17	17	8199
283	-122	23	8222
284	-18	18	8240
285	-19	19	8259
286	-125	26	8285
287	-20	20	8305
288	-17	17	8322
289	-21	21	8343
290	-17	17	8360
291	-17	17	8377
292	-19	19	8396
293	-20	20	8416
294	-18	18	8434
295	-17	17	8451
296	-18	18	8469
297	-19	19	8488
298	-19	19	8507
299	-20	20	8527
300	-17	17	8544
301	-19	19	8563
302	-17	17	8580
303	-19	19	8599
304	-26	26	8625
305	-19	19	8644
306	-19	19	8663
307	-20	20	8683
308	-19	19	8702
309	-25	25	8727
310	-17	17	8744
311	-17	17	8761
312	-25	25	8786
313	-18	18	8804
314	-23	23	8827
315	-19	19	8846
316	-20	20	8866
317	-17	17	8883
318	-17	17	8900
319	-17	17	8917
320	-19	19	8936
321	-25	25	8961
322	-20	20	8981
323	-19	19	9000
324	-21	21	9021
325	-22	22	9043
326	-20	20	9063
327	-17	17	9080
328	-17	17	9097
329	-19	19	9116
330	-22	22	9138
331	-19	19	9157
332	-17	17	9174
333	-17	17	9191
334	-17	17	9208
335	-21	21	9229
336	-17	17	9246
337	-19	19	9265
338	-18	18	9283
339	-21	21	9304
340	-17	17	9321
341	-18	18	9339
342	-22	22	9361
343	-21	21	9382
344	-17	17	9399
345	-19	19	9418
346	-20	20	9438
347	-21	21	9459
348	-17	17	9476
349	-119	20	9496
350	-21	21	9517
351	-17	17	9534
352	-20	20	9554
353	-20	20	9574
354	-18	18	9592
355	-18	18	9610
356	-19	19	9629
357	-25	25	9654
358	-17	17	9671
359	-19	19	9690
360	-19	19	9709
361	-18	18	9727
362	-17	17	9744
363	-17	17	9761
364	-19	19	9780
365	-17	17	9797
366	-19	19	9816
367	-19	19	9835
368	-21	21	9856
369	-17	17	9873
370	-18	18	9891
371	-19	19	9910
372	-18	18	9928
373	-18	18	9946
374	-25	25	9971
375	-17	17	9988
376	-25	25	10013
377	-19	19	10032
378	-18	18	10050
379	-18	18	10068
380	-23	23	10091
381	-17	17	10108
382	-17	17	10125
383	-27	27	10152
384	-18	18	10170
385	-21	21	10191
386	-19	19	10210
387	-22	22	10232
388	-21	21	10253
389	-19	19	10272
390	-21	21	10293
391	-36	36	10329
392	-20	20	10349
393	-17	17	10366
394	-18	18	10384
395	-19	19	10403
396	-17	17	10420
397	-20	20	10440
398	-22	22	10462
399	-21	21	10483
400	-26	26	10509
401	-17	17	10526
402	-21	21	10547
403	-24	24	10571
404	-24	24	10595
405	-129	30	10625
406	-17	17	10642
407	-19	19	10661
408	-17	17	10678
409	-19	19	10697
410	-19	19	10716
411	-21	21	10737
412	-17	17	10754
413	-18	18	10772
414	-19	19	10791
415	-17	17	10808
416	-18	18	10826
417	-18	18	10844
418	-19	19	10863
419	-17	17	10880
420	-20	20	10900
421	-19	19	10919
422	-19	19	10938
423	-18	18	10956
424	-19	19	10975
425	-19	19	10994
426	-19	19	11013
427	-119	20	11033
428	-23	23	11056
429	-26	26	11082
430	-23	23	11105
431	-25	25	11130
432	-19	19	11149
433	-17	17	11166
434	-18	18	11184
435	-22	22	11206
436	-17	17	11223
437	-17	17	11240
438	-17	17	11257
439	-24	24	11281
440	-24	24	11305
441	-17	17	11322
442	-20	20	11342
443	-17	17	11359
444	-19	19	11378
445	-23	23	11401
446	-18	18	11419
447	-18	18	11437
448	-18	18	11455
449	-21	21	11476
450	-17	17	11493
451	-17	17	11510
452	-21	21	11531
453	-20	20	11551
454	-24	24	11575
455	-17	17	11592
456	-18	18	11610
457	-19	19	11629
458	-122	23	11652
