Episode	Accumulated Reward	Length	Steps
0	-2792	1010	1010
1	-147	147	1157
2	-447	249	1406
3	-354	255	1661
4	-142	142	1803
5	-276	177	1980
6	-124	124	2104
7	-326	128	2232
8	-284	185	2417
9	-769	274	2691
10	-323	125	2816
11	-242	143	2959
12	-412	214	3173
13	-40	40	3213
14	-53	53	3266
15	-118	118	3384
16	-280	181	3565
17	-216	117	3682
18	-56	56	3738
19	-176	77	3815
20	-76	76	3891
21	-100	100	3991
22	-277	79	4070
23	-183	84	4154
24	-102	102	4256
25	-32	32	4288
26	-452	254	4542
27	-190	91	4633
28	-29	29	4662
29	-48	48	4710
30	-72	72	4782
31	-188	89	4871
32	-174	75	4946
33	-67	67	5013
34	-83	83	5096
35	-37	37	5133
36	-68	68	5201
37	-41	41	5242
38	-308	110	5352
39	-71	71	5423
40	-28	28	5451
41	-148	49	5500
42	-43	43	5543
43	-106	106	5649
44	-37	37	5686
45	-42	42	5728
46	-70	70	5798
47	-47	47	5845
48	-58	58	5903
49	-166	67	5970
50	-47	47	6017
51	-39	39	6056
52	-434	137	6193
53	-52	52	6245
54	-27	27	6272
55	-314	116	6388
56	-256	58	6446
57	-262	64	6510
58	-39	39	6549
59	-47	47	6596
60	-57	57	6653
61	-49	49	6702
62	-40	40	6742
63	-268	70	6812
64	-47	47	6859
65	-148	49	6908
66	-36	36	6944
67	-52	52	6996
68	-37	37	7033
69	-34	34	7067
70	-282	84	7151
71	-59	59	7210
72	-38	38	7248
73	-132	33	7281
74	-145	46	7327
75	-158	59	7386
76	-43	43	7429
77	-153	54	7483
78	-41	41	7524
79	-149	50	7574
80	-33	33	7607
81	-39	39	7646
82	-419	122	7768
83	-42	42	7810
84	-30	30	7840
85	-167	68	7908
86	-146	47	7955
87	-32	32	7987
88	-138	39	8026
89	-163	64	8090
90	-31	31	8121
91	-168	69	8190
92	-376	79	8269
93	-18	18	8287
94	-27	27	8314
95	-33	33	8347
96	-26	26	8373
97	-41	41	8414
98	-40	40	8454
99	-139	40	8494
100	-31	31	8525
101	-38	38	8563
102	-22	22	8585
103	-24	24	8609
104	-36	36	8645
105	-38	38	8683
106	-39	39	8722
107	-185	86	8808
108	-15	15	8823
109	-140	41	8864
110	-40	40	8904
111	-33	33	8937
112	-15	15	8952
113	-41	41	8993
114	-35	35	9028
115	-28	28	9056
116	-22	22	9078
117	-34	34	9112
118	-50	50	9162
119	-24	24	9186
120	-19	19	9205
121	-120	21	9226
122	-24	24	9250
123	-55	55	9305
124	-119	20	9325
125	-19	19	9344
126	-24	24	9368
127	-167	68	9436
128	-19	19	9455
129	-25	25	9480
130	-35	35	9515
131	-18	18	9533
132	-19	19	9552
133	-25	25	9577
134	-44	44	9621
135	-128	29	9650
136	-24	24	9674
137	-24	24	9698
138	-21	21	9719
139	-27	27	9746
140	-21	21	9767
141	-26	26	9793
142	-60	60	9853
143	-25	25	9878
144	-26	26	9904
145	-19	19	9923
146	-115	16	9939
147	-29	29	9968
148	-23	23	9991
149	-29	29	10020
150	-21	21	10041
151	-34	34	10075
152	-21	21	10096
153	-21	21	10117
154	-21	21	10138
155	-20	20	10158
156	-122	23	10181
157	-23	23	10204
158	-128	29	10233
159	-49	49	10282
160	-29	29	10311
161	-16	16	10327
162	-23	23	10350
163	-133	34	10384
164	-25	25	10409
165	-39	39	10448
166	-19	19	10467
167	-24	24	10491
168	-130	31	10522
169	-18	18	10540
170	-19	19	10559
171	-37	37	10596
172	-24	24	10620
173	-129	30	10650
174	-15	15	10665
175	-17	17	10682
176	-23	23	10705
177	-27	27	10732
178	-143	44	10776
179	-139	40	10816
180	-21	21	10837
181	-29	29	10866
182	-24	24	10890
183	-16	16	10906
184	-264	66	10972
185	-17	17	10989
186	-21	21	11010
187	-17	17	11027
188	-27	27	11054
189	-24	24	11078
190	-22	22	11100
191	-22	22	11122
192	-14	14	11136
193	-138	39	11175
194	-17	17	11192
195	-14	14	11206
196	-17	17	11223
197	-127	28	11251
198	-16	16	11267
199	-33	33	11300
