Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-874	280	280	0	-874	280	280	0	-874	280	280	0	-874	280	280	0	-874	280	280	0	-874	280	280	0	-874	280	280
1	-2498	914	1194	1	-2498	914	1194	1	-2498	914	1194	1	-2498	914	1194	1	-2498	914	1194	1	-2498	914	1194	1	-2498	914	1194
2	-169	169	1363	2	-169	169	1363	2	-169	169	1363	2	-169	169	1363	2	-169	169	1363	2	-169	169	1363	2	-169	169	1363
3	-815	419	1782	3	-815	419	1782	3	-815	419	1782	3	-815	419	1782	3	-815	419	1782	3	-815	419	1782	3	-815	419	1782
4	-356	257	2039	4	-356	257	2039	4	-356	257	2039	4	-356	257	2039	4	-356	257	2039	4	-356	257	2039	4	-356	257	2039
5	-366	168	2207	5	-366	168	2207	5	-366	168	2207	5	-366	168	2207	5	-366	168	2207	5	-366	168	2207	5	-366	168	2207
6	-348	150	2357	6	-348	150	2357	6	-348	150	2357	6	-348	150	2357	6	-348	150	2357	6	-348	150	2357	6	-348	150	2357
7	-243	144	2501	7	-243	144	2501	7	-243	144	2501	7	-243	144	2501	7	-243	144	2501	7	-243	144	2501	7	-243	144	2501
8	-87	87	2588	8	-87	87	2588	8	-87	87	2588	8	-87	87	2588	8	-87	87	2588	8	-87	87	2588	8	-87	87	2588
9	-128	128	2716	9	-128	128	2716	9	-128	128	2716	9	-128	128	2716	9	-128	128	2716	9	-128	128	2716	9	-128	128	2716
10	-202	103	2819	10	-202	103	2819	10	-202	103	2819	10	-202	103	2819	10	-202	103	2819	10	-202	103	2819	10	-202	103	2819
11	-237	138	2957	11	-237	138	2957	11	-237	138	2957	11	-237	138	2957	11	-237	138	2957	11	-237	138	2957	11	-237	138	2957
12	-376	178	3135	12	-376	178	3135	12	-376	178	3135	12	-376	178	3135	12	-376	178	3135	12	-376	178	3135	12	-376	178	3135
13	-120	120	3255	13	-120	120	3255	13	-120	120	3255	13	-120	120	3255	13	-120	120	3255	13	-120	120	3255	13	-120	120	3255
14	-91	91	3346	14	-91	91	3346	14	-91	91	3346	14	-91	91	3346	14	-91	91	3346	14	-91	91	3346	14	-91	91	3346
15	-73	73	3419	15	-73	73	3419	15	-73	73	3419	15	-73	73	3419	15	-73	73	3419	15	-73	73	3419	15	-73	73	3419
16	-64	64	3483	16	-64	64	3483	16	-64	64	3483	16	-64	64	3483	16	-64	64	3483	16	-64	64	3483	16	-64	64	3483
17	-278	179	3662	17	-278	179	3662	17	-278	179	3662	17	-278	179	3662	17	-278	179	3662	17	-278	179	3662	17	-278	179	3662
18	-193	94	3756	18	-193	94	3756	18	-193	94	3756	18	-193	94	3756	18	-193	94	3756	18	-193	94	3756	18	-193	94	3756
19	-65	65	3821	19	-65	65	3821	19	-65	65	3821	19	-65	65	3821	19	-65	65	3821	19	-65	65	3821	19	-65	65	3821
20	-57	57	3878	20	-57	57	3878	20	-57	57	3878	20	-57	57	3878	20	-57	57	3878	20	-57	57	3878	20	-57	57	3878
21	-67	67	3945	21	-67	67	3945	21	-67	67	3945	21	-67	67	3945	21	-67	67	3945	21	-67	67	3945	21	-67	67	3945
22	-232	133	4078	22	-232	133	4078	22	-232	133	4078	22	-232	133	4078	22	-232	133	4078	22	-232	133	4078	22	-232	133	4078
23	-65	65	4143	23	-65	65	4143	23	-65	65	4143	23	-65	65	4143	23	-65	65	4143	23	-65	65	4143	23	-65	65	4143
24	-185	86	4229	24	-185	86	4229	24	-185	86	4229	24	-185	86	4229	24	-185	86	4229	24	-185	86	4229	24	-185	86	4229
25	-95	95	4324	25	-95	95	4324	25	-95	95	4324	25	-95	95	4324	25	-95	95	4324	25	-95	95	4324	25	-95	95	4324
26	-55	55	4379	26	-55	55	4379	26	-55	55	4379	26	-55	55	4379	26	-55	55	4379	26	-55	55	4379	26	-55	55	4379
27	-107	107	4486	27	-107	107	4486	27	-107	107	4486	27	-107	107	4486	27	-107	107	4486	27	-107	107	4486	27	-107	107	4486
28	-76	76	4562	28	-76	76	4562	28	-76	76	4562	28	-76	76	4562	28	-76	76	4562	28	-76	76	4562	28	-76	76	4562
29	-155	56	4618	29	-155	56	4618	29	-155	56	4618	29	-155	56	4618	29	-155	56	4618	29	-155	56	4618	29	-155	56	4618
30	-133	34	4652	30	-133	34	4652	30	-133	34	4652	30	-133	34	4652	30	-133	34	4652	30	-133	34	4652	30	-133	34	4652
31	-339	141	4793	31	-339	141	4793	31	-339	141	4793	31	-339	141	4793	31	-339	141	4793	31	-339	141	4793	31	-339	141	4793
32	-184	85	4878	32	-184	85	4878	32	-184	85	4878	32	-184	85	4878	32	-184	85	4878	32	-184	85	4878	32	-184	85	4878
33	-49	49	4927	33	-49	49	4927	33	-49	49	4927	33	-49	49	4927	33	-49	49	4927	33	-49	49	4927	33	-49	49	4927
34	-126	126	5053	34	-126	126	5053	34	-126	126	5053	34	-126	126	5053	34	-126	126	5053	34	-126	126	5053	34	-126	126	5053
35	-54	54	5107	35	-54	54	5107	35	-54	54	5107	35	-54	54	5107	35	-54	54	5107	35	-54	54	5107	35	-54	54	5107
36	-306	108	5215	36	-306	108	5215	36	-306	108	5215	36	-306	108	5215	36	-306	108	5215	36	-306	108	5215	36	-306	108	5215
37	-55	55	5270	37	-55	55	5270	37	-55	55	5270	37	-55	55	5270	37	-55	55	5270	37	-55	55	5270	37	-55	55	5270
38	-37	37	5307	38	-37	37	5307	38	-37	37	5307	38	-37	37	5307	38	-37	37	5307	38	-37	37	5307	38	-37	37	5307
39	-101	101	5408	39	-101	101	5408	39	-101	101	5408	39	-101	101	5408	39	-101	101	5408	39	-101	101	5408	39	-101	101	5408
40	-78	78	5486	40	-78	78	5486	40	-78	78	5486	40	-78	78	5486	40	-78	78	5486	40	-78	78	5486	40	-78	78	5486
41	-29	29	5515	41	-29	29	5515	41	-29	29	5515	41	-29	29	5515	41	-29	29	5515	41	-29	29	5515	41	-29	29	5515
42	-35	35	5550	42	-35	35	5550	42	-35	35	5550	42	-35	35	5550	42	-35	35	5550	42	-35	35	5550	42	-35	35	5550
43	-94	94	5644	43	-94	94	5644	43	-94	94	5644	43	-94	94	5644	43	-94	94	5644	43	-94	94	5644	43	-94	94	5644
44	-37	37	5681	44	-37	37	5681	44	-37	37	5681	44	-37	37	5681	44	-37	37	5681	44	-37	37	5681	44	-37	37	5681
45	-49	49	5730	45	-49	49	5730	45	-49	49	5730	45	-49	49	5730	45	-49	49	5730	45	-49	49	5730	45	-49	49	5730
46	-47	47	5777	46	-47	47	5777	46	-47	47	5777	46	-47	47	5777	46	-47	47	5777	46	-47	47	5777	46	-47	47	5777
47	-209	110	5887	47	-209	110	5887	47	-209	110	5887	47	-209	110	5887	47	-209	110	5887	47	-209	110	5887	47	-209	110	5887
