Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-3187	1009	1009	0	-3187	1009	1009	0	-3187	1009	1009	0	-3187	1009	1009	0	-3187	1009	1009	0	-3187	1009	1009	0	-3187	1009	1009	0	-3187	1009	1009	0	-3187	1009	1009	0	-3187	1009	1009
1	-209	110	1119	1	-209	110	1119	1	-209	110	1119	1	-209	110	1119	1	-209	110	1119	1	-209	110	1119	1	-209	110	1119	1	-209	110	1119	1	-209	110	1119	1	-209	110	1119
2	-658	361	1480	2	-658	361	1480	2	-658	361	1480	2	-658	361	1480	2	-658	361	1480	2	-658	361	1480	2	-658	361	1480	2	-658	361	1480	2	-658	361	1480	2	-658	361	1480
3	-263	164	1644	3	-263	164	1644	3	-263	164	1644	3	-263	164	1644	3	-263	164	1644	3	-263	164	1644	3	-263	164	1644	3	-263	164	1644	3	-263	164	1644	3	-263	164	1644
4	-468	270	1914	4	-468	270	1914	4	-468	270	1914	4	-468	270	1914	4	-468	270	1914	4	-468	270	1914	4	-468	270	1914	4	-468	270	1914	4	-468	270	1914	4	-468	270	1914
5	-124	124	2038	5	-124	124	2038	5	-124	124	2038	5	-124	124	2038	5	-124	124	2038	5	-124	124	2038	5	-124	124	2038	5	-124	124	2038	5	-124	124	2038	5	-124	124	2038
6	-658	262	2300	6	-658	262	2300	6	-658	262	2300	6	-658	262	2300	6	-658	262	2300	6	-658	262	2300	6	-658	262	2300	6	-658	262	2300	6	-658	262	2300	6	-658	262	2300
7	-114	114	2414	7	-114	114	2414	7	-114	114	2414	7	-114	114	2414	7	-114	114	2414	7	-114	114	2414	7	-114	114	2414	7	-114	114	2414	7	-114	114	2414	7	-114	114	2414
8	-111	111	2525	8	-111	111	2525	8	-111	111	2525	8	-111	111	2525	8	-111	111	2525	8	-111	111	2525	8	-111	111	2525	8	-111	111	2525	8	-111	111	2525	8	-111	111	2525
9	-82	82	2607	9	-82	82	2607	9	-82	82	2607	9	-82	82	2607	9	-82	82	2607	9	-82	82	2607	9	-82	82	2607	9	-82	82	2607	9	-82	82	2607	9	-82	82	2607
