Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-1737	549	549	0	-1737	549	549	0	-1737	549	549	0	-1737	549	549	0	-1737	549	549	0	-1737	549	549	0	-1737	549	549	0	-1737	549	549	0	-1737	549	549	0	-1737	549	549	0	-1737	549	549	0	-1737	549	549	0	-1737	549	549
1	-706	409	958	1	-706	409	958	1	-706	409	958	1	-706	409	958	1	-706	409	958	1	-706	409	958	1	-706	409	958	1	-706	409	958	1	-706	409	958	1	-706	409	958	1	-706	409	958	1	-706	409	958	1	-706	409	958
2	-262	262	1220	2	-262	262	1220	2	-262	262	1220	2	-262	262	1220	2	-262	262	1220	2	-262	262	1220	2	-262	262	1220	2	-262	262	1220	2	-262	262	1220	2	-262	262	1220	2	-262	262	1220	2	-262	262	1220	2	-262	262	1220
3	-344	245	1465	3	-344	245	1465	3	-344	245	1465	3	-344	245	1465	3	-344	245	1465	3	-344	245	1465	3	-344	245	1465	3	-344	245	1465	3	-344	245	1465	3	-344	245	1465	3	-344	245	1465	3	-344	245	1465	3	-344	245	1465
4	-228	228	1693	4	-228	228	1693	4	-228	228	1693	4	-228	228	1693	4	-228	228	1693	4	-228	228	1693	4	-228	228	1693	4	-228	228	1693	4	-228	228	1693	4	-228	228	1693	4	-228	228	1693	4	-228	228	1693	4	-228	228	1693
5	-199	100	1793	5	-199	100	1793	5	-199	100	1793	5	-199	100	1793	5	-199	100	1793	5	-199	100	1793	5	-199	100	1793	5	-199	100	1793	5	-199	100	1793	5	-199	100	1793	5	-199	100	1793	5	-199	100	1793	5	-199	100	1793
6	-758	362	2155	6	-758	362	2155	6	-758	362	2155	6	-758	362	2155	6	-758	362	2155	6	-758	362	2155	6	-758	362	2155	6	-758	362	2155	6	-758	362	2155	6	-758	362	2155	6	-758	362	2155	6	-758	362	2155	6	-758	362	2155
7	-319	121	2276	7	-319	121	2276	7	-319	121	2276	7	-319	121	2276	7	-319	121	2276	7	-319	121	2276	7	-319	121	2276	7	-319	121	2276	7	-319	121	2276	7	-319	121	2276	7	-319	121	2276	7	-319	121	2276	7	-319	121	2276
8	-476	179	2455	8	-476	179	2455	8	-476	179	2455	8	-476	179	2455	8	-476	179	2455	8	-476	179	2455	8	-476	179	2455	8	-476	179	2455	8	-476	179	2455	8	-476	179	2455	8	-476	179	2455	8	-476	179	2455	8	-476	179	2455
9	-73	73	2528	9	-73	73	2528	9	-73	73	2528	9	-73	73	2528	9	-73	73	2528	9	-73	73	2528	9	-73	73	2528	9	-73	73	2528	9	-73	73	2528	9	-73	73	2528	9	-73	73	2528	9	-73	73	2528	9	-73	73	2528
10	-136	136	2664	10	-136	136	2664	10	-136	136	2664	10	-136	136	2664	10	-136	136	2664	10	-136	136	2664	10	-136	136	2664	10	-136	136	2664	10	-136	136	2664	10	-136	136	2664	10	-136	136	2664	10	-136	136	2664	10	-136	136	2664
11	-290	92	2756	11	-290	92	2756	11	-290	92	2756	11	-290	92	2756	11	-290	92	2756	11	-290	92	2756	11	-290	92	2756	11	-290	92	2756	11	-290	92	2756	11	-290	92	2756	11	-290	92	2756	11	-290	92	2756	11	-290	92	2756
12	-318	219	2975	12	-318	219	2975	12	-318	219	2975	12	-318	219	2975	12	-318	219	2975	12	-318	219	2975	12	-318	219	2975	12	-318	219	2975	12	-318	219	2975	12	-318	219	2975	12	-318	219	2975	12	-318	219	2975	12	-318	219	2975
13	-63	63	3038	13	-63	63	3038	13	-63	63	3038	13	-63	63	3038	13	-63	63	3038	13	-63	63	3038	13	-63	63	3038	13	-63	63	3038	13	-63	63	3038	13	-63	63	3038	13	-63	63	3038	13	-63	63	3038	13	-63	63	3038
14	-87	87	3125	14	-87	87	3125	14	-87	87	3125	14	-87	87	3125	14	-87	87	3125	14	-87	87	3125	14	-87	87	3125	14	-87	87	3125	14	-87	87	3125	14	-87	87	3125	14	-87	87	3125	14	-87	87	3125	14	-87	87	3125
15	-77	77	3202	15	-77	77	3202	15	-77	77	3202	15	-77	77	3202	15	-77	77	3202	15	-77	77	3202	15	-77	77	3202	15	-77	77	3202	15	-77	77	3202	15	-77	77	3202	15	-77	77	3202	15	-77	77	3202	15	-77	77	3202
16	-124	124	3326	16	-124	124	3326	16	-124	124	3326	16	-124	124	3326	16	-124	124	3326	16	-124	124	3326	16	-124	124	3326	16	-124	124	3326	16	-124	124	3326	16	-124	124	3326	16	-124	124	3326	16	-124	124	3326	16	-124	124	3326
17	-482	185	3511	17	-482	185	3511	17	-482	185	3511	17	-482	185	3511	17	-482	185	3511	17	-482	185	3511	17	-482	185	3511	17	-482	185	3511	17	-482	185	3511	17	-482	185	3511	17	-482	185	3511	17	-482	185	3511	17	-482	185	3511
18	-183	84	3595	18	-183	84	3595	18	-183	84	3595	18	-183	84	3595	18	-183	84	3595	18	-183	84	3595	18	-183	84	3595	18	-183	84	3595	18	-183	84	3595	18	-183	84	3595	18	-183	84	3595	18	-183	84	3595	18	-183	84	3595
19	-67	67	3662	19	-67	67	3662	19	-67	67	3662	19	-67	67	3662	19	-67	67	3662	19	-67	67	3662	19	-67	67	3662	19	-67	67	3662	19	-67	67	3662	19	-67	67	3662	19	-67	67	3662	19	-67	67	3662	19	-67	67	3662
20	-485	188	3850	20	-485	188	3850	20	-485	188	3850	20	-485	188	3850	20	-485	188	3850	20	-485	188	3850	20	-485	188	3850	20	-485	188	3850	20	-485	188	3850	20	-485	188	3850	20	-485	188	3850	20	-485	188	3850	20	-485	188	3850
21	-48	48	3898	21	-48	48	3898	21	-48	48	3898	21	-48	48	3898	21	-48	48	3898	21	-48	48	3898	21	-48	48	3898	21	-48	48	3898	21	-48	48	3898	21	-48	48	3898	21	-48	48	3898	21	-48	48	3898	21	-48	48	3898
22	-89	89	3987	22	-89	89	3987	22	-89	89	3987	22	-89	89	3987	22	-89	89	3987	22	-89	89	3987	22	-89	89	3987	22	-89	89	3987	22	-89	89	3987	22	-89	89	3987	22	-89	89	3987	22	-89	89	3987	22	-89	89	3987
23	-113	113	4100	23	-113	113	4100	23	-113	113	4100	23	-113	113	4100	23	-113	113	4100	23	-113	113	4100	23	-113	113	4100	23	-113	113	4100	23	-113	113	4100	23	-113	113	4100	23	-113	113	4100	23	-113	113	4100	23	-113	113	4100
24	-188	89	4189	24	-188	89	4189	24	-188	89	4189	24	-188	89	4189	24	-188	89	4189	24	-188	89	4189	24	-188	89	4189	24	-188	89	4189	24	-188	89	4189	24	-188	89	4189	24	-188	89	4189	24	-188	89	4189	24	-188	89	4189
25	-352	55	4244	25	-352	55	4244	25	-352	55	4244	25	-352	55	4244	25	-352	55	4244	25	-352	55	4244	25	-352	55	4244	25	-352	55	4244	25	-352	55	4244	25	-352	55	4244	25	-352	55	4244	25	-352	55	4244	25	-352	55	4244
26	-368	170	4414	26	-368	170	4414	26	-368	170	4414	26	-368	170	4414	26	-368	170	4414	26	-368	170	4414	26	-368	170	4414	26	-368	170	4414	26	-368	170	4414	26	-368	170	4414	26	-368	170	4414	26	-368	170	4414	26	-368	170	4414
