Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-1756	568	568	0	-1756	568	568	0	-1756	568	568	0	-1756	568	568	0	-1756	568	568	0	-1756	568	568	0	-1756	568	568	0	-1756	568	568	0	-1756	568	568	0	-1756	568	568	0	-1756	568	568	0	-1756	568	568	0	-1756	568	568	0	-1756	568	568	0	-1756	568	568	0	-1756	568	568
1	-1009	415	983	1	-1009	415	983	1	-1009	415	983	1	-1009	415	983	1	-1009	415	983	1	-1009	415	983	1	-1009	415	983	1	-1009	415	983	1	-1009	415	983	1	-1009	415	983	1	-1009	415	983	1	-1009	415	983	1	-1009	415	983	1	-1009	415	983	1	-1009	415	983	1	-1009	415	983
2	-328	229	1212	2	-328	229	1212	2	-328	229	1212	2	-328	229	1212	2	-328	229	1212	2	-328	229	1212	2	-328	229	1212	2	-328	229	1212	2	-328	229	1212	2	-328	229	1212	2	-328	229	1212	2	-328	229	1212	2	-328	229	1212	2	-328	229	1212	2	-328	229	1212	2	-328	229	1212
3	-367	268	1480	3	-367	268	1480	3	-367	268	1480	3	-367	268	1480	3	-367	268	1480	3	-367	268	1480	3	-367	268	1480	3	-367	268	1480	3	-367	268	1480	3	-367	268	1480	3	-367	268	1480	3	-367	268	1480	3	-367	268	1480	3	-367	268	1480	3	-367	268	1480	3	-367	268	1480
4	-433	235	1715	4	-433	235	1715	4	-433	235	1715	4	-433	235	1715	4	-433	235	1715	4	-433	235	1715	4	-433	235	1715	4	-433	235	1715	4	-433	235	1715	4	-433	235	1715	4	-433	235	1715	4	-433	235	1715	4	-433	235	1715	4	-433	235	1715	4	-433	235	1715	4	-433	235	1715
5	-73	73	1788	5	-73	73	1788	5	-73	73	1788	5	-73	73	1788	5	-73	73	1788	5	-73	73	1788	5	-73	73	1788	5	-73	73	1788	5	-73	73	1788	5	-73	73	1788	5	-73	73	1788	5	-73	73	1788	5	-73	73	1788	5	-73	73	1788	5	-73	73	1788	5	-73	73	1788
6	-360	162	1950	6	-360	162	1950	6	-360	162	1950	6	-360	162	1950	6	-360	162	1950	6	-360	162	1950	6	-360	162	1950	6	-360	162	1950	6	-360	162	1950	6	-360	162	1950	6	-360	162	1950	6	-360	162	1950	6	-360	162	1950	6	-360	162	1950	6	-360	162	1950	6	-360	162	1950
7	-348	249	2199	7	-348	249	2199	7	-348	249	2199	7	-348	249	2199	7	-348	249	2199	7	-348	249	2199	7	-348	249	2199	7	-348	249	2199	7	-348	249	2199	7	-348	249	2199	7	-348	249	2199	7	-348	249	2199	7	-348	249	2199	7	-348	249	2199	7	-348	249	2199	7	-348	249	2199
8	-85	85	2284	8	-85	85	2284	8	-85	85	2284	8	-85	85	2284	8	-85	85	2284	8	-85	85	2284	8	-85	85	2284	8	-85	85	2284	8	-85	85	2284	8	-85	85	2284	8	-85	85	2284	8	-85	85	2284	8	-85	85	2284	8	-85	85	2284	8	-85	85	2284	8	-85	85	2284
9	-153	153	2437	9	-153	153	2437	9	-153	153	2437	9	-153	153	2437	9	-153	153	2437	9	-153	153	2437	9	-153	153	2437	9	-153	153	2437	9	-153	153	2437	9	-153	153	2437	9	-153	153	2437	9	-153	153	2437	9	-153	153	2437	9	-153	153	2437	9	-153	153	2437	9	-153	153	2437
10	-73	73	2510	10	-73	73	2510	10	-73	73	2510	10	-73	73	2510	10	-73	73	2510	10	-73	73	2510	10	-73	73	2510	10	-73	73	2510	10	-73	73	2510	10	-73	73	2510	10	-73	73	2510	10	-73	73	2510	10	-73	73	2510	10	-73	73	2510	10	-73	73	2510	10	-73	73	2510
