Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-2511	729	729	0	-2511	729	729	0	-2511	729	729	0	-2511	729	729	0	-2511	729	729	0	-2511	729	729	0	-2511	729	729	0	-2511	729	729	0	-2511	729	729	0	-2511	729	729	0	-2511	729	729	0	-2511	729	729	0	-2511	729	729	0	-2511	729	729	0	-2511	729	729	0	-2511	729	729	0	-2511	729	729	0	-2511	729	729	0	-2511	729	729
1	-1001	506	1235	1	-1001	506	1235	1	-1001	506	1235	1	-1001	506	1235	1	-1001	506	1235	1	-1001	506	1235	1	-1001	506	1235	1	-1001	506	1235	1	-1001	506	1235	1	-1001	506	1235	1	-1001	506	1235	1	-1001	506	1235	1	-1001	506	1235	1	-1001	506	1235	1	-1001	506	1235	1	-1001	506	1235	1	-1001	506	1235	1	-1001	506	1235	1	-1001	506	1235
2	-123	123	1358	2	-123	123	1358	2	-123	123	1358	2	-123	123	1358	2	-123	123	1358	2	-123	123	1358	2	-123	123	1358	2	-123	123	1358	2	-123	123	1358	2	-123	123	1358	2	-123	123	1358	2	-123	123	1358	2	-123	123	1358	2	-123	123	1358	2	-123	123	1358	2	-123	123	1358	2	-123	123	1358	2	-123	123	1358	2	-123	123	1358
3	-656	359	1717	3	-656	359	1717	3	-656	359	1717	3	-656	359	1717	3	-656	359	1717	3	-656	359	1717	3	-656	359	1717	3	-656	359	1717	3	-656	359	1717	3	-656	359	1717	3	-656	359	1717	3	-656	359	1717	3	-656	359	1717	3	-656	359	1717	3	-656	359	1717	3	-656	359	1717	3	-656	359	1717	3	-656	359	1717	3	-656	359	1717
4	-481	283	2000	4	-481	283	2000	4	-481	283	2000	4	-481	283	2000	4	-481	283	2000	4	-481	283	2000	4	-481	283	2000	4	-481	283	2000	4	-481	283	2000	4	-481	283	2000	4	-481	283	2000	4	-481	283	2000	4	-481	283	2000	4	-481	283	2000	4	-481	283	2000	4	-481	283	2000	4	-481	283	2000	4	-481	283	2000	4	-481	283	2000
5	-94	94	2094	5	-94	94	2094	5	-94	94	2094	5	-94	94	2094	5	-94	94	2094	5	-94	94	2094	5	-94	94	2094	5	-94	94	2094	5	-94	94	2094	5	-94	94	2094	5	-94	94	2094	5	-94	94	2094	5	-94	94	2094	5	-94	94	2094	5	-94	94	2094	5	-94	94	2094	5	-94	94	2094	5	-94	94	2094	5	-94	94	2094
6	-117	117	2211	6	-117	117	2211	6	-117	117	2211	6	-117	117	2211	6	-117	117	2211	6	-117	117	2211	6	-117	117	2211	6	-117	117	2211	6	-117	117	2211	6	-117	117	2211	6	-117	117	2211	6	-117	117	2211	6	-117	117	2211	6	-117	117	2211	6	-117	117	2211	6	-117	117	2211	6	-117	117	2211	6	-117	117	2211	6	-117	117	2211
7	-149	149	2360	7	-149	149	2360	7	-149	149	2360	7	-149	149	2360	7	-149	149	2360	7	-149	149	2360	7	-149	149	2360	7	-149	149	2360	7	-149	149	2360	7	-149	149	2360	7	-149	149	2360	7	-149	149	2360	7	-149	149	2360	7	-149	149	2360	7	-149	149	2360	7	-149	149	2360	7	-149	149	2360	7	-149	149	2360	7	-149	149	2360
8	-357	258	2618	8	-357	258	2618	8	-357	258	2618	8	-357	258	2618	8	-357	258	2618	8	-357	258	2618	8	-357	258	2618	8	-357	258	2618	8	-357	258	2618	8	-357	258	2618	8	-357	258	2618	8	-357	258	2618	8	-357	258	2618	8	-357	258	2618	8	-357	258	2618	8	-357	258	2618	8	-357	258	2618	8	-357	258	2618	8	-357	258	2618
9	-54	54	2672	9	-54	54	2672	9	-54	54	2672	9	-54	54	2672	9	-54	54	2672	9	-54	54	2672	9	-54	54	2672	9	-54	54	2672	9	-54	54	2672	9	-54	54	2672	9	-54	54	2672	9	-54	54	2672	9	-54	54	2672	9	-54	54	2672	9	-54	54	2672	9	-54	54	2672	9	-54	54	2672	9	-54	54	2672	9	-54	54	2672
10	-535	238	2910	10	-535	238	2910	10	-535	238	2910	10	-535	238	2910	10	-535	238	2910	10	-535	238	2910	10	-535	238	2910	10	-535	238	2910	10	-535	238	2910	10	-535	238	2910	10	-535	238	2910	10	-535	238	2910	10	-535	238	2910	10	-535	238	2910	10	-535	238	2910	10	-535	238	2910	10	-535	238	2910	10	-535	238	2910	10	-535	238	2910
11	-247	148	3058	11	-247	148	3058	11	-247	148	3058	11	-247	148	3058	11	-247	148	3058	11	-247	148	3058	11	-247	148	3058	11	-247	148	3058	11	-247	148	3058	11	-247	148	3058	11	-247	148	3058	11	-247	148	3058	11	-247	148	3058	11	-247	148	3058	11	-247	148	3058	11	-247	148	3058	11	-247	148	3058	11	-247	148	3058	11	-247	148	3058
