Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-2395	811	811	0	-2395	811	811	0	-2395	811	811	0	-2395	811	811	0	-2395	811	811	0	-2395	811	811	0	-2395	811	811	0	-2395	811	811	0	-2395	811	811	0	-2395	811	811	0	-2395	811	811	0	-2395	811	811	0	-2395	811	811	0	-2395	811	811	0	-2395	811	811	0	-2395	811	811	0	-2395	811	811	0	-2395	811	811	0	-2395	811	811	0	-2395	811	811	0	-2395	811	811	0	-2395	811	811
1	-162	162	973	1	-162	162	973	1	-162	162	973	1	-162	162	973	1	-162	162	973	1	-162	162	973	1	-162	162	973	1	-162	162	973	1	-162	162	973	1	-162	162	973	1	-162	162	973	1	-162	162	973	1	-162	162	973	1	-162	162	973	1	-162	162	973	1	-162	162	973	1	-162	162	973	1	-162	162	973	1	-162	162	973	1	-162	162	973	1	-162	162	973	1	-162	162	973
2	-333	234	1207	2	-333	234	1207	2	-333	234	1207	2	-333	234	1207	2	-333	234	1207	2	-333	234	1207	2	-333	234	1207	2	-333	234	1207	2	-333	234	1207	2	-333	234	1207	2	-333	234	1207	2	-333	234	1207	2	-333	234	1207	2	-333	234	1207	2	-333	234	1207	2	-333	234	1207	2	-333	234	1207	2	-333	234	1207	2	-333	234	1207	2	-333	234	1207	2	-333	234	1207	2	-333	234	1207
3	-346	247	1454	3	-346	247	1454	3	-346	247	1454	3	-346	247	1454	3	-346	247	1454	3	-346	247	1454	3	-346	247	1454	3	-346	247	1454	3	-346	247	1454	3	-346	247	1454	3	-346	247	1454	3	-346	247	1454	3	-346	247	1454	3	-346	247	1454	3	-346	247	1454	3	-346	247	1454	3	-346	247	1454	3	-346	247	1454	3	-346	247	1454	3	-346	247	1454	3	-346	247	1454	3	-346	247	1454
4	-506	308	1762	4	-506	308	1762	4	-506	308	1762	4	-506	308	1762	4	-506	308	1762	4	-506	308	1762	4	-506	308	1762	4	-506	308	1762	4	-506	308	1762	4	-506	308	1762	4	-506	308	1762	4	-506	308	1762	4	-506	308	1762	4	-506	308	1762	4	-506	308	1762	4	-506	308	1762	4	-506	308	1762	4	-506	308	1762	4	-506	308	1762	4	-506	308	1762	4	-506	308	1762	4	-506	308	1762
5	-338	239	2001	5	-338	239	2001	5	-338	239	2001	5	-338	239	2001	5	-338	239	2001	5	-338	239	2001	5	-338	239	2001	5	-338	239	2001	5	-338	239	2001	5	-338	239	2001	5	-338	239	2001	5	-338	239	2001	5	-338	239	2001	5	-338	239	2001	5	-338	239	2001	5	-338	239	2001	5	-338	239	2001	5	-338	239	2001	5	-338	239	2001	5	-338	239	2001	5	-338	239	2001	5	-338	239	2001
6	-261	162	2163	6	-261	162	2163	6	-261	162	2163	6	-261	162	2163	6	-261	162	2163	6	-261	162	2163	6	-261	162	2163	6	-261	162	2163	6	-261	162	2163	6	-261	162	2163	6	-261	162	2163	6	-261	162	2163	6	-261	162	2163	6	-261	162	2163	6	-261	162	2163	6	-261	162	2163	6	-261	162	2163	6	-261	162	2163	6	-261	162	2163	6	-261	162	2163	6	-261	162	2163	6	-261	162	2163
7	-84	84	2247	7	-84	84	2247	7	-84	84	2247	7	-84	84	2247	7	-84	84	2247	7	-84	84	2247	7	-84	84	2247	7	-84	84	2247	7	-84	84	2247	7	-84	84	2247	7	-84	84	2247	7	-84	84	2247	7	-84	84	2247	7	-84	84	2247	7	-84	84	2247	7	-84	84	2247	7	-84	84	2247	7	-84	84	2247	7	-84	84	2247	7	-84	84	2247	7	-84	84	2247	7	-84	84	2247
8	-136	136	2383	8	-136	136	2383	8	-136	136	2383	8	-136	136	2383	8	-136	136	2383	8	-136	136	2383	8	-136	136	2383	8	-136	136	2383	8	-136	136	2383	8	-136	136	2383	8	-136	136	2383	8	-136	136	2383	8	-136	136	2383	8	-136	136	2383	8	-136	136	2383	8	-136	136	2383	8	-136	136	2383	8	-136	136	2383	8	-136	136	2383	8	-136	136	2383	8	-136	136	2383	8	-136	136	2383
9	-281	182	2565	9	-281	182	2565	9	-281	182	2565	9	-281	182	2565	9	-281	182	2565	9	-281	182	2565	9	-281	182	2565	9	-281	182	2565	9	-281	182	2565	9	-281	182	2565	9	-281	182	2565	9	-281	182	2565	9	-281	182	2565	9	-281	182	2565	9	-281	182	2565	9	-281	182	2565	9	-281	182	2565	9	-281	182	2565	9	-281	182	2565	9	-281	182	2565	9	-281	182	2565	9	-281	182	2565
10	-81	81	2646	10	-81	81	2646	10	-81	81	2646	10	-81	81	2646	10	-81	81	2646	10	-81	81	2646	10	-81	81	2646	10	-81	81	2646	10	-81	81	2646	10	-81	81	2646	10	-81	81	2646	10	-81	81	2646	10	-81	81	2646	10	-81	81	2646	10	-81	81	2646	10	-81	81	2646	10	-81	81	2646	10	-81	81	2646	10	-81	81	2646	10	-81	81	2646	10	-81	81	2646	10	-81	81	2646
11	-444	246	2892	11	-444	246	2892	11	-444	246	2892	11	-444	246	2892	11	-444	246	2892	11	-444	246	2892	11	-444	246	2892	11	-444	246	2892	11	-444	246	2892	11	-444	246	2892	11	-444	246	2892	11	-444	246	2892	11	-444	246	2892	11	-444	246	2892	11	-444	246	2892	11	-444	246	2892	11	-444	246	2892	11	-444	246	2892	11	-444	246	2892	11	-444	246	2892	11	-444	246	2892	11	-444	246	2892
12	-264	165	3057	12	-264	165	3057	12	-264	165	3057	12	-264	165	3057	12	-264	165	3057	12	-264	165	3057	12	-264	165	3057	12	-264	165	3057	12	-264	165	3057	12	-264	165	3057	12	-264	165	3057	12	-264	165	3057	12	-264	165	3057	12	-264	165	3057	12	-264	165	3057	12	-264	165	3057	12	-264	165	3057	12	-264	165	3057	12	-264	165	3057	12	-264	165	3057	12	-264	165	3057	12	-264	165	3057
13	-90	90	3147	13	-90	90	3147	13	-90	90	3147	13	-90	90	3147	13	-90	90	3147	13	-90	90	3147	13	-90	90	3147	13	-90	90	3147	13	-90	90	3147	13	-90	90	3147	13	-90	90	3147	13	-90	90	3147	13	-90	90	3147	13	-90	90	3147	13	-90	90	3147	13	-90	90	3147	13	-90	90	3147	13	-90	90	3147	13	-90	90	3147	13	-90	90	3147	13	-90	90	3147	13	-90	90	3147
14	-91	91	3238	14	-91	91	3238	14	-91	91	3238	14	-91	91	3238	14	-91	91	3238	14	-91	91	3238	14	-91	91	3238	14	-91	91	3238	14	-91	91	3238	14	-91	91	3238	14	-91	91	3238	14	-91	91	3238	14	-91	91	3238	14	-91	91	3238	14	-91	91	3238	14	-91	91	3238	14	-91	91	3238	14	-91	91	3238	14	-91	91	3238	14	-91	91	3238	14	-91	91	3238	14	-91	91	3238
15	-119	119	3357	15	-119	119	3357	15	-119	119	3357	15	-119	119	3357	15	-119	119	3357	15	-119	119	3357	15	-119	119	3357	15	-119	119	3357	15	-119	119	3357	15	-119	119	3357	15	-119	119	3357	15	-119	119	3357	15	-119	119	3357	15	-119	119	3357	15	-119	119	3357	15	-119	119	3357	15	-119	119	3357	15	-119	119	3357	15	-119	119	3357	15	-119	119	3357	15	-119	119	3357	15	-119	119	3357
16	-232	133	3490	16	-232	133	3490	16	-232	133	3490	16	-232	133	3490	16	-232	133	3490	16	-232	133	3490	16	-232	133	3490	16	-232	133	3490	16	-232	133	3490	16	-232	133	3490	16	-232	133	3490	16	-232	133	3490	16	-232	133	3490	16	-232	133	3490	16	-232	133	3490	16	-232	133	3490	16	-232	133	3490	16	-232	133	3490	16	-232	133	3490	16	-232	133	3490	16	-232	133	3490	16	-232	133	3490
17	-59	59	3549	17	-59	59	3549	17	-59	59	3549	17	-59	59	3549	17	-59	59	3549	17	-59	59	3549	17	-59	59	3549	17	-59	59	3549	17	-59	59	3549	17	-59	59	3549	17	-59	59	3549	17	-59	59	3549	17	-59	59	3549	17	-59	59	3549	17	-59	59	3549	17	-59	59	3549	17	-59	59	3549	17	-59	59	3549	17	-59	59	3549	17	-59	59	3549	17	-59	59	3549	17	-59	59	3549
18	-92	92	3641	18	-92	92	3641	18	-92	92	3641	18	-92	92	3641	18	-92	92	3641	18	-92	92	3641	18	-92	92	3641	18	-92	92	3641	18	-92	92	3641	18	-92	92	3641	18	-92	92	3641	18	-92	92	3641	18	-92	92	3641	18	-92	92	3641	18	-92	92	3641	18	-92	92	3641	18	-92	92	3641	18	-92	92	3641	18	-92	92	3641	18	-92	92	3641	18	-92	92	3641	18	-92	92	3641
19	-97	97	3738	19	-97	97	3738	19	-97	97	3738	19	-97	97	3738	19	-97	97	3738	19	-97	97	3738	19	-97	97	3738	19	-97	97	3738	19	-97	97	3738	19	-97	97	3738	19	-97	97	3738	19	-97	97	3738	19	-97	97	3738	19	-97	97	3738	19	-97	97	3738	19	-97	97	3738	19	-97	97	3738	19	-97	97	3738	19	-97	97	3738	19	-97	97	3738	19	-97	97	3738	19	-97	97	3738
20	-318	120	3858	20	-318	120	3858	20	-318	120	3858	20	-318	120	3858	20	-318	120	3858	20	-318	120	3858	20	-318	120	3858	20	-318	120	3858	20	-318	120	3858	20	-318	120	3858	20	-318	120	3858	20	-318	120	3858	20	-318	120	3858	20	-318	120	3858	20	-318	120	3858	20	-318	120	3858	20	-318	120	3858	20	-318	120	3858	20	-318	120	3858	20	-318	120	3858	20	-318	120	3858	20	-318	120	3858
21	-181	82	3940	21	-181	82	3940	21	-181	82	3940	21	-181	82	3940	21	-181	82	3940	21	-181	82	3940	21	-181	82	3940	21	-181	82	3940	21	-181	82	3940	21	-181	82	3940	21	-181	82	3940	21	-181	82	3940	21	-181	82	3940	21	-181	82	3940	21	-181	82	3940	21	-181	82	3940	21	-181	82	3940	21	-181	82	3940	21	-181	82	3940	21	-181	82	3940	21	-181	82	3940	21	-181	82	3940
22	-626	230	4170	22	-626	230	4170	22	-626	230	4170	22	-626	230	4170	22	-626	230	4170	22	-626	230	4170	22	-626	230	4170	22	-626	230	4170	22	-626	230	4170	22	-626	230	4170	22	-626	230	4170	22	-626	230	4170	22	-626	230	4170	22	-626	230	4170	22	-626	230	4170	22	-626	230	4170	22	-626	230	4170	22	-626	230	4170	22	-626	230	4170	22	-626	230	4170	22	-626	230	4170	22	-626	230	4170
23	-335	137	4307	23	-335	137	4307	23	-335	137	4307	23	-335	137	4307	23	-335	137	4307	23	-335	137	4307	23	-335	137	4307	23	-335	137	4307	23	-335	137	4307	23	-335	137	4307	23	-335	137	4307	23	-335	137	4307	23	-335	137	4307	23	-335	137	4307	23	-335	137	4307	23	-335	137	4307	23	-335	137	4307	23	-335	137	4307	23	-335	137	4307	23	-335	137	4307	23	-335	137	4307	23	-335	137	4307
24	-116	116	4423	24	-116	116	4423	24	-116	116	4423	24	-116	116	4423	24	-116	116	4423	24	-116	116	4423	24	-116	116	4423	24	-116	116	4423	24	-116	116	4423	24	-116	116	4423	24	-116	116	4423	24	-116	116	4423	24	-116	116	4423	24	-116	116	4423	24	-116	116	4423	24	-116	116	4423	24	-116	116	4423	24	-116	116	4423	24	-116	116	4423	24	-116	116	4423	24	-116	116	4423	24	-116	116	4423
