Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-1959	771	771	0	-1959	771	771	0	-1959	771	771	0	-1959	771	771	0	-1959	771	771	0	-1959	771	771	0	-1959	771	771	0	-1959	771	771	0	-1959	771	771	0	-1959	771	771	0	-1959	771	771	0	-1959	771	771	0	-1959	771	771	0	-1959	771	771	0	-1959	771	771	0	-1959	771	771	0	-1959	771	771	0	-1959	771	771	0	-1959	771	771	0	-1959	771	771	0	-1959	771	771	0	-1959	771	771	0	-1959	771	771	0	-1959	771	771	0	-1959	771	771
1	-771	375	1146	1	-771	375	1146	1	-771	375	1146	1	-771	375	1146	1	-771	375	1146	1	-771	375	1146	1	-771	375	1146	1	-771	375	1146	1	-771	375	1146	1	-771	375	1146	1	-771	375	1146	1	-771	375	1146	1	-771	375	1146	1	-771	375	1146	1	-771	375	1146	1	-771	375	1146	1	-771	375	1146	1	-771	375	1146	1	-771	375	1146	1	-771	375	1146	1	-771	375	1146	1	-771	375	1146	1	-771	375	1146	1	-771	375	1146	1	-771	375	1146
2	-95	95	1241	2	-95	95	1241	2	-95	95	1241	2	-95	95	1241	2	-95	95	1241	2	-95	95	1241	2	-95	95	1241	2	-95	95	1241	2	-95	95	1241	2	-95	95	1241	2	-95	95	1241	2	-95	95	1241	2	-95	95	1241	2	-95	95	1241	2	-95	95	1241	2	-95	95	1241	2	-95	95	1241	2	-95	95	1241	2	-95	95	1241	2	-95	95	1241	2	-95	95	1241	2	-95	95	1241	2	-95	95	1241	2	-95	95	1241	2	-95	95	1241
3	-194	194	1435	3	-194	194	1435	3	-194	194	1435	3	-194	194	1435	3	-194	194	1435	3	-194	194	1435	3	-194	194	1435	3	-194	194	1435	3	-194	194	1435	3	-194	194	1435	3	-194	194	1435	3	-194	194	1435	3	-194	194	1435	3	-194	194	1435	3	-194	194	1435	3	-194	194	1435	3	-194	194	1435	3	-194	194	1435	3	-194	194	1435	3	-194	194	1435	3	-194	194	1435	3	-194	194	1435	3	-194	194	1435	3	-194	194	1435	3	-194	194	1435
4	-471	273	1708	4	-471	273	1708	4	-471	273	1708	4	-471	273	1708	4	-471	273	1708	4	-471	273	1708	4	-471	273	1708	4	-471	273	1708	4	-471	273	1708	4	-471	273	1708	4	-471	273	1708	4	-471	273	1708	4	-471	273	1708	4	-471	273	1708	4	-471	273	1708	4	-471	273	1708	4	-471	273	1708	4	-471	273	1708	4	-471	273	1708	4	-471	273	1708	4	-471	273	1708	4	-471	273	1708	4	-471	273	1708	4	-471	273	1708	4	-471	273	1708
5	-91	91	1799	5	-91	91	1799	5	-91	91	1799	5	-91	91	1799	5	-91	91	1799	5	-91	91	1799	5	-91	91	1799	5	-91	91	1799	5	-91	91	1799	5	-91	91	1799	5	-91	91	1799	5	-91	91	1799	5	-91	91	1799	5	-91	91	1799	5	-91	91	1799	5	-91	91	1799	5	-91	91	1799	5	-91	91	1799	5	-91	91	1799	5	-91	91	1799	5	-91	91	1799	5	-91	91	1799	5	-91	91	1799	5	-91	91	1799	5	-91	91	1799
6	-469	271	2070	6	-469	271	2070	6	-469	271	2070	6	-469	271	2070	6	-469	271	2070	6	-469	271	2070	6	-469	271	2070	6	-469	271	2070	6	-469	271	2070	6	-469	271	2070	6	-469	271	2070	6	-469	271	2070	6	-469	271	2070	6	-469	271	2070	6	-469	271	2070	6	-469	271	2070	6	-469	271	2070	6	-469	271	2070	6	-469	271	2070	6	-469	271	2070	6	-469	271	2070	6	-469	271	2070	6	-469	271	2070	6	-469	271	2070	6	-469	271	2070
7	-145	145	2215	7	-145	145	2215	7	-145	145	2215	7	-145	145	2215	7	-145	145	2215	7	-145	145	2215	7	-145	145	2215	7	-145	145	2215	7	-145	145	2215	7	-145	145	2215	7	-145	145	2215	7	-145	145	2215	7	-145	145	2215	7	-145	145	2215	7	-145	145	2215	7	-145	145	2215	7	-145	145	2215	7	-145	145	2215	7	-145	145	2215	7	-145	145	2215	7	-145	145	2215	7	-145	145	2215	7	-145	145	2215	7	-145	145	2215	7	-145	145	2215
8	-206	107	2322	8	-206	107	2322	8	-206	107	2322	8	-206	107	2322	8	-206	107	2322	8	-206	107	2322	8	-206	107	2322	8	-206	107	2322	8	-206	107	2322	8	-206	107	2322	8	-206	107	2322	8	-206	107	2322	8	-206	107	2322	8	-206	107	2322	8	-206	107	2322	8	-206	107	2322	8	-206	107	2322	8	-206	107	2322	8	-206	107	2322	8	-206	107	2322	8	-206	107	2322	8	-206	107	2322	8	-206	107	2322	8	-206	107	2322	8	-206	107	2322
9	-159	159	2481	9	-159	159	2481	9	-159	159	2481	9	-159	159	2481	9	-159	159	2481	9	-159	159	2481	9	-159	159	2481	9	-159	159	2481	9	-159	159	2481	9	-159	159	2481	9	-159	159	2481	9	-159	159	2481	9	-159	159	2481	9	-159	159	2481	9	-159	159	2481	9	-159	159	2481	9	-159	159	2481	9	-159	159	2481	9	-159	159	2481	9	-159	159	2481	9	-159	159	2481	9	-159	159	2481	9	-159	159	2481	9	-159	159	2481	9	-159	159	2481
