Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-2698	817	817	0	-2698	817	817	0	-2698	817	817	0	-2698	817	817	0	-2698	817	817	0	-2698	817	817	0	-2698	817	817	0	-2698	817	817	0	-2698	817	817	0	-2698	817	817	0	-2698	817	817	0	-2698	817	817	0	-2698	817	817	0	-2698	817	817	0	-2698	817	817	0	-2698	817	817	0	-2698	817	817	0	-2698	817	817	0	-2698	817	817	0	-2698	817	817	0	-2698	817	817	0	-2698	817	817	0	-2698	817	817	0	-2698	817	817	0	-2698	817	817	0	-2698	817	817	0	-2698	817	817	0	-2698	817	817
1	-334	235	1052	1	-334	235	1052	1	-334	235	1052	1	-334	235	1052	1	-334	235	1052	1	-334	235	1052	1	-334	235	1052	1	-334	235	1052	1	-334	235	1052	1	-334	235	1052	1	-334	235	1052	1	-334	235	1052	1	-334	235	1052	1	-334	235	1052	1	-334	235	1052	1	-334	235	1052	1	-334	235	1052	1	-334	235	1052	1	-334	235	1052	1	-334	235	1052	1	-334	235	1052	1	-334	235	1052	1	-334	235	1052	1	-334	235	1052	1	-334	235	1052	1	-334	235	1052	1	-334	235	1052	1	-334	235	1052
2	-149	149	1201	2	-149	149	1201	2	-149	149	1201	2	-149	149	1201	2	-149	149	1201	2	-149	149	1201	2	-149	149	1201	2	-149	149	1201	2	-149	149	1201	2	-149	149	1201	2	-149	149	1201	2	-149	149	1201	2	-149	149	1201	2	-149	149	1201	2	-149	149	1201	2	-149	149	1201	2	-149	149	1201	2	-149	149	1201	2	-149	149	1201	2	-149	149	1201	2	-149	149	1201	2	-149	149	1201	2	-149	149	1201	2	-149	149	1201	2	-149	149	1201	2	-149	149	1201	2	-149	149	1201	2	-149	149	1201
3	-574	277	1478	3	-574	277	1478	3	-574	277	1478	3	-574	277	1478	3	-574	277	1478	3	-574	277	1478	3	-574	277	1478	3	-574	277	1478	3	-574	277	1478	3	-574	277	1478	3	-574	277	1478	3	-574	277	1478	3	-574	277	1478	3	-574	277	1478	3	-574	277	1478	3	-574	277	1478	3	-574	277	1478	3	-574	277	1478	3	-574	277	1478	3	-574	277	1478	3	-574	277	1478	3	-574	277	1478	3	-574	277	1478	3	-574	277	1478	3	-574	277	1478	3	-574	277	1478	3	-574	277	1478	3	-574	277	1478
4	-536	338	1816	4	-536	338	1816	4	-536	338	1816	4	-536	338	1816	4	-536	338	1816	4	-536	338	1816	4	-536	338	1816	4	-536	338	1816	4	-536	338	1816	4	-536	338	1816	4	-536	338	1816	4	-536	338	1816	4	-536	338	1816	4	-536	338	1816	4	-536	338	1816	4	-536	338	1816	4	-536	338	1816	4	-536	338	1816	4	-536	338	1816	4	-536	338	1816	4	-536	338	1816	4	-536	338	1816	4	-536	338	1816	4	-536	338	1816	4	-536	338	1816	4	-536	338	1816	4	-536	338	1816	4	-536	338	1816
5	-251	152	1968	5	-251	152	1968	5	-251	152	1968	5	-251	152	1968	5	-251	152	1968	5	-251	152	1968	5	-251	152	1968	5	-251	152	1968	5	-251	152	1968	5	-251	152	1968	5	-251	152	1968	5	-251	152	1968	5	-251	152	1968	5	-251	152	1968	5	-251	152	1968	5	-251	152	1968	5	-251	152	1968	5	-251	152	1968	5	-251	152	1968	5	-251	152	1968	5	-251	152	1968	5	-251	152	1968	5	-251	152	1968	5	-251	152	1968	5	-251	152	1968	5	-251	152	1968	5	-251	152	1968	5	-251	152	1968
6	-159	159	2127	6	-159	159	2127	6	-159	159	2127	6	-159	159	2127	6	-159	159	2127	6	-159	159	2127	6	-159	159	2127	6	-159	159	2127	6	-159	159	2127	6	-159	159	2127	6	-159	159	2127	6	-159	159	2127	6	-159	159	2127	6	-159	159	2127	6	-159	159	2127	6	-159	159	2127	6	-159	159	2127	6	-159	159	2127	6	-159	159	2127	6	-159	159	2127	6	-159	159	2127	6	-159	159	2127	6	-159	159	2127	6	-159	159	2127	6	-159	159	2127	6	-159	159	2127	6	-159	159	2127	6	-159	159	2127
7	-228	129	2256	7	-228	129	2256	7	-228	129	2256	7	-228	129	2256	7	-228	129	2256	7	-228	129	2256	7	-228	129	2256	7	-228	129	2256	7	-228	129	2256	7	-228	129	2256	7	-228	129	2256	7	-228	129	2256	7	-228	129	2256	7	-228	129	2256	7	-228	129	2256	7	-228	129	2256	7	-228	129	2256	7	-228	129	2256	7	-228	129	2256	7	-228	129	2256	7	-228	129	2256	7	-228	129	2256	7	-228	129	2256	7	-228	129	2256	7	-228	129	2256	7	-228	129	2256	7	-228	129	2256	7	-228	129	2256
8	-697	301	2557	8	-697	301	2557	8	-697	301	2557	8	-697	301	2557	8	-697	301	2557	8	-697	301	2557	8	-697	301	2557	8	-697	301	2557	8	-697	301	2557	8	-697	301	2557	8	-697	301	2557	8	-697	301	2557	8	-697	301	2557	8	-697	301	2557	8	-697	301	2557	8	-697	301	2557	8	-697	301	2557	8	-697	301	2557	8	-697	301	2557	8	-697	301	2557	8	-697	301	2557	8	-697	301	2557	8	-697	301	2557	8	-697	301	2557	8	-697	301	2557	8	-697	301	2557	8	-697	301	2557	8	-697	301	2557
9	-58	58	2615	9	-58	58	2615	9	-58	58	2615	9	-58	58	2615	9	-58	58	2615	9	-58	58	2615	9	-58	58	2615	9	-58	58	2615	9	-58	58	2615	9	-58	58	2615	9	-58	58	2615	9	-58	58	2615	9	-58	58	2615	9	-58	58	2615	9	-58	58	2615	9	-58	58	2615	9	-58	58	2615	9	-58	58	2615	9	-58	58	2615	9	-58	58	2615	9	-58	58	2615	9	-58	58	2615	9	-58	58	2615	9	-58	58	2615	9	-58	58	2615	9	-58	58	2615	9	-58	58	2615	9	-58	58	2615
10	-73	73	2688	10	-73	73	2688	10	-73	73	2688	10	-73	73	2688	10	-73	73	2688	10	-73	73	2688	10	-73	73	2688	10	-73	73	2688	10	-73	73	2688	10	-73	73	2688	10	-73	73	2688	10	-73	73	2688	10	-73	73	2688	10	-73	73	2688	10	-73	73	2688	10	-73	73	2688	10	-73	73	2688	10	-73	73	2688	10	-73	73	2688	10	-73	73	2688	10	-73	73	2688	10	-73	73	2688	10	-73	73	2688	10	-73	73	2688	10	-73	73	2688	10	-73	73	2688	10	-73	73	2688	10	-73	73	2688
11	-207	108	2796	11	-207	108	2796	11	-207	108	2796	11	-207	108	2796	11	-207	108	2796	11	-207	108	2796	11	-207	108	2796	11	-207	108	2796	11	-207	108	2796	11	-207	108	2796	11	-207	108	2796	11	-207	108	2796	11	-207	108	2796	11	-207	108	2796	11	-207	108	2796	11	-207	108	2796	11	-207	108	2796	11	-207	108	2796	11	-207	108	2796	11	-207	108	2796	11	-207	108	2796	11	-207	108	2796	11	-207	108	2796	11	-207	108	2796	11	-207	108	2796	11	-207	108	2796	11	-207	108	2796	11	-207	108	2796
12	-150	150	2946	12	-150	150	2946	12	-150	150	2946	12	-150	150	2946	12	-150	150	2946	12	-150	150	2946	12	-150	150	2946	12	-150	150	2946	12	-150	150	2946	12	-150	150	2946	12	-150	150	2946	12	-150	150	2946	12	-150	150	2946	12	-150	150	2946	12	-150	150	2946	12	-150	150	2946	12	-150	150	2946	12	-150	150	2946	12	-150	150	2946	12	-150	150	2946	12	-150	150	2946	12	-150	150	2946	12	-150	150	2946	12	-150	150	2946	12	-150	150	2946	12	-150	150	2946	12	-150	150	2946	12	-150	150	2946
13	-114	114	3060	13	-114	114	3060	13	-114	114	3060	13	-114	114	3060	13	-114	114	3060	13	-114	114	3060	13	-114	114	3060	13	-114	114	3060	13	-114	114	3060	13	-114	114	3060	13	-114	114	3060	13	-114	114	3060	13	-114	114	3060	13	-114	114	3060	13	-114	114	3060	13	-114	114	3060	13	-114	114	3060	13	-114	114	3060	13	-114	114	3060	13	-114	114	3060	13	-114	114	3060	13	-114	114	3060	13	-114	114	3060	13	-114	114	3060	13	-114	114	3060	13	-114	114	3060	13	-114	114	3060	13	-114	114	3060
14	-65	65	3125	14	-65	65	3125	14	-65	65	3125	14	-65	65	3125	14	-65	65	3125	14	-65	65	3125	14	-65	65	3125	14	-65	65	3125	14	-65	65	3125	14	-65	65	3125	14	-65	65	3125	14	-65	65	3125	14	-65	65	3125	14	-65	65	3125	14	-65	65	3125	14	-65	65	3125	14	-65	65	3125	14	-65	65	3125	14	-65	65	3125	14	-65	65	3125	14	-65	65	3125	14	-65	65	3125	14	-65	65	3125	14	-65	65	3125	14	-65	65	3125	14	-65	65	3125	14	-65	65	3125	14	-65	65	3125
15	-341	143	3268	15	-341	143	3268	15	-341	143	3268	15	-341	143	3268	15	-341	143	3268	15	-341	143	3268	15	-341	143	3268	15	-341	143	3268	15	-341	143	3268	15	-341	143	3268	15	-341	143	3268	15	-341	143	3268	15	-341	143	3268	15	-341	143	3268	15	-341	143	3268	15	-341	143	3268	15	-341	143	3268	15	-341	143	3268	15	-341	143	3268	15	-341	143	3268	15	-341	143	3268	15	-341	143	3268	15	-341	143	3268	15	-341	143	3268	15	-341	143	3268	15	-341	143	3268	15	-341	143	3268	15	-341	143	3268
16	-270	171	3439	16	-270	171	3439	16	-270	171	3439	16	-270	171	3439	16	-270	171	3439	16	-270	171	3439	16	-270	171	3439	16	-270	171	3439	16	-270	171	3439	16	-270	171	3439	16	-270	171	3439	16	-270	171	3439	16	-270	171	3439	16	-270	171	3439	16	-270	171	3439	16	-270	171	3439	16	-270	171	3439	16	-270	171	3439	16	-270	171	3439	16	-270	171	3439	16	-270	171	3439	16	-270	171	3439	16	-270	171	3439	16	-270	171	3439	16	-270	171	3439	16	-270	171	3439	16	-270	171	3439	16	-270	171	3439
17	-72	72	3511	17	-72	72	3511	17	-72	72	3511	17	-72	72	3511	17	-72	72	3511	17	-72	72	3511	17	-72	72	3511	17	-72	72	3511	17	-72	72	3511	17	-72	72	3511	17	-72	72	3511	17	-72	72	3511	17	-72	72	3511	17	-72	72	3511	17	-72	72	3511	17	-72	72	3511	17	-72	72	3511	17	-72	72	3511	17	-72	72	3511	17	-72	72	3511	17	-72	72	3511	17	-72	72	3511	17	-72	72	3511	17	-72	72	3511	17	-72	72	3511	17	-72	72	3511	17	-72	72	3511	17	-72	72	3511
18	-105	105	3616	18	-105	105	3616	18	-105	105	3616	18	-105	105	3616	18	-105	105	3616	18	-105	105	3616	18	-105	105	3616	18	-105	105	3616	18	-105	105	3616	18	-105	105	3616	18	-105	105	3616	18	-105	105	3616	18	-105	105	3616	18	-105	105	3616	18	-105	105	3616	18	-105	105	3616	18	-105	105	3616	18	-105	105	3616	18	-105	105	3616	18	-105	105	3616	18	-105	105	3616	18	-105	105	3616	18	-105	105	3616	18	-105	105	3616	18	-105	105	3616	18	-105	105	3616	18	-105	105	3616	18	-105	105	3616
19	-94	94	3710	19	-94	94	3710	19	-94	94	3710	19	-94	94	3710	19	-94	94	3710	19	-94	94	3710	19	-94	94	3710	19	-94	94	3710	19	-94	94	3710	19	-94	94	3710	19	-94	94	3710	19	-94	94	3710	19	-94	94	3710	19	-94	94	3710	19	-94	94	3710	19	-94	94	3710	19	-94	94	3710	19	-94	94	3710	19	-94	94	3710	19	-94	94	3710	19	-94	94	3710	19	-94	94	3710	19	-94	94	3710	19	-94	94	3710	19	-94	94	3710	19	-94	94	3710	19	-94	94	3710	19	-94	94	3710
20	-78	78	3788	20	-78	78	3788	20	-78	78	3788	20	-78	78	3788	20	-78	78	3788	20	-78	78	3788	20	-78	78	3788	20	-78	78	3788	20	-78	78	3788	20	-78	78	3788	20	-78	78	3788	20	-78	78	3788	20	-78	78	3788	20	-78	78	3788	20	-78	78	3788	20	-78	78	3788	20	-78	78	3788	20	-78	78	3788	20	-78	78	3788	20	-78	78	3788	20	-78	78	3788	20	-78	78	3788	20	-78	78	3788	20	-78	78	3788	20	-78	78	3788	20	-78	78	3788	20	-78	78	3788	20	-78	78	3788
21	-59	59	3847	21	-59	59	3847	21	-59	59	3847	21	-59	59	3847	21	-59	59	3847	21	-59	59	3847	21	-59	59	3847	21	-59	59	3847	21	-59	59	3847	21	-59	59	3847	21	-59	59	3847	21	-59	59	3847	21	-59	59	3847	21	-59	59	3847	21	-59	59	3847	21	-59	59	3847	21	-59	59	3847	21	-59	59	3847	21	-59	59	3847	21	-59	59	3847	21	-59	59	3847	21	-59	59	3847	21	-59	59	3847	21	-59	59	3847	21	-59	59	3847	21	-59	59	3847	21	-59	59	3847	21	-59	59	3847
22	-195	96	3943	22	-195	96	3943	22	-195	96	3943	22	-195	96	3943	22	-195	96	3943	22	-195	96	3943	22	-195	96	3943	22	-195	96	3943	22	-195	96	3943	22	-195	96	3943	22	-195	96	3943	22	-195	96	3943	22	-195	96	3943	22	-195	96	3943	22	-195	96	3943	22	-195	96	3943	22	-195	96	3943	22	-195	96	3943	22	-195	96	3943	22	-195	96	3943	22	-195	96	3943	22	-195	96	3943	22	-195	96	3943	22	-195	96	3943	22	-195	96	3943	22	-195	96	3943	22	-195	96	3943	22	-195	96	3943
23	-75	75	4018	23	-75	75	4018	23	-75	75	4018	23	-75	75	4018	23	-75	75	4018	23	-75	75	4018	23	-75	75	4018	23	-75	75	4018	23	-75	75	4018	23	-75	75	4018	23	-75	75	4018	23	-75	75	4018	23	-75	75	4018	23	-75	75	4018	23	-75	75	4018	23	-75	75	4018	23	-75	75	4018	23	-75	75	4018	23	-75	75	4018	23	-75	75	4018	23	-75	75	4018	23	-75	75	4018	23	-75	75	4018	23	-75	75	4018	23	-75	75	4018	23	-75	75	4018	23	-75	75	4018	23	-75	75	4018
24	-210	111	4129	24	-210	111	4129	24	-210	111	4129	24	-210	111	4129	24	-210	111	4129	24	-210	111	4129	24	-210	111	4129	24	-210	111	4129	24	-210	111	4129	24	-210	111	4129	24	-210	111	4129	24	-210	111	4129	24	-210	111	4129	24	-210	111	4129	24	-210	111	4129	24	-210	111	4129	24	-210	111	4129	24	-210	111	4129	24	-210	111	4129	24	-210	111	4129	24	-210	111	4129	24	-210	111	4129	24	-210	111	4129	24	-210	111	4129	24	-210	111	4129	24	-210	111	4129	24	-210	111	4129	24	-210	111	4129
25	-44	44	4173	25	-44	44	4173	25	-44	44	4173	25	-44	44	4173	25	-44	44	4173	25	-44	44	4173	25	-44	44	4173	25	-44	44	4173	25	-44	44	4173	25	-44	44	4173	25	-44	44	4173	25	-44	44	4173	25	-44	44	4173	25	-44	44	4173	25	-44	44	4173	25	-44	44	4173	25	-44	44	4173	25	-44	44	4173	25	-44	44	4173	25	-44	44	4173	25	-44	44	4173	25	-44	44	4173	25	-44	44	4173	25	-44	44	4173	25	-44	44	4173	25	-44	44	4173	25	-44	44	4173	25	-44	44	4173
26	-139	139	4312	26	-139	139	4312	26	-139	139	4312	26	-139	139	4312	26	-139	139	4312	26	-139	139	4312	26	-139	139	4312	26	-139	139	4312	26	-139	139	4312	26	-139	139	4312	26	-139	139	4312	26	-139	139	4312	26	-139	139	4312	26	-139	139	4312	26	-139	139	4312	26	-139	139	4312	26	-139	139	4312	26	-139	139	4312	26	-139	139	4312	26	-139	139	4312	26	-139	139	4312	26	-139	139	4312	26	-139	139	4312	26	-139	139	4312	26	-139	139	4312	26	-139	139	4312	26	-139	139	4312	26	-139	139	4312
27	-279	81	4393	27	-279	81	4393	27	-279	81	4393	27	-279	81	4393	27	-279	81	4393	27	-279	81	4393	27	-279	81	4393	27	-279	81	4393	27	-279	81	4393	27	-279	81	4393	27	-279	81	4393	27	-279	81	4393	27	-279	81	4393	27	-279	81	4393	27	-279	81	4393	27	-279	81	4393	27	-279	81	4393	27	-279	81	4393	27	-279	81	4393	27	-279	81	4393	27	-279	81	4393	27	-279	81	4393	27	-279	81	4393	27	-279	81	4393	27	-279	81	4393	27	-279	81	4393	27	-279	81	4393	27	-279	81	4393
28	-81	81	4474	28	-81	81	4474	28	-81	81	4474	28	-81	81	4474	28	-81	81	4474	28	-81	81	4474	28	-81	81	4474	28	-81	81	4474	28	-81	81	4474	28	-81	81	4474	28	-81	81	4474	28	-81	81	4474	28	-81	81	4474	28	-81	81	4474	28	-81	81	4474	28	-81	81	4474	28	-81	81	4474	28	-81	81	4474	28	-81	81	4474	28	-81	81	4474	28	-81	81	4474	28	-81	81	4474	28	-81	81	4474	28	-81	81	4474	28	-81	81	4474	28	-81	81	4474	28	-81	81	4474	28	-81	81	4474
29	-358	160	4634	29	-358	160	4634	29	-358	160	4634	29	-358	160	4634	29	-358	160	4634	29	-358	160	4634	29	-358	160	4634	29	-358	160	4634	29	-358	160	4634	29	-358	160	4634	29	-358	160	4634	29	-358	160	4634	29	-358	160	4634	29	-358	160	4634	29	-358	160	4634	29	-358	160	4634	29	-358	160	4634	29	-358	160	4634	29	-358	160	4634	29	-358	160	4634	29	-358	160	4634	29	-358	160	4634	29	-358	160	4634	29	-358	160	4634	29	-358	160	4634	29	-358	160	4634	29	-358	160	4634	29	-358	160	4634
30	-77	77	4711	30	-77	77	4711	30	-77	77	4711	30	-77	77	4711	30	-77	77	4711	30	-77	77	4711	30	-77	77	4711	30	-77	77	4711	30	-77	77	4711	30	-77	77	4711	30	-77	77	4711	30	-77	77	4711	30	-77	77	4711	30	-77	77	4711	30	-77	77	4711	30	-77	77	4711	30	-77	77	4711	30	-77	77	4711	30	-77	77	4711	30	-77	77	4711	30	-77	77	4711	30	-77	77	4711	30	-77	77	4711	30	-77	77	4711	30	-77	77	4711	30	-77	77	4711	30	-77	77	4711	30	-77	77	4711
31	-81	81	4792	31	-81	81	4792	31	-81	81	4792	31	-81	81	4792	31	-81	81	4792	31	-81	81	4792	31	-81	81	4792	31	-81	81	4792	31	-81	81	4792	31	-81	81	4792	31	-81	81	4792	31	-81	81	4792	31	-81	81	4792	31	-81	81	4792	31	-81	81	4792	31	-81	81	4792	31	-81	81	4792	31	-81	81	4792	31	-81	81	4792	31	-81	81	4792	31	-81	81	4792	31	-81	81	4792	31	-81	81	4792	31	-81	81	4792	31	-81	81	4792	31	-81	81	4792	31	-81	81	4792	31	-81	81	4792
32	-51	51	4843	32	-51	51	4843	32	-51	51	4843	32	-51	51	4843	32	-51	51	4843	32	-51	51	4843	32	-51	51	4843	32	-51	51	4843	32	-51	51	4843	32	-51	51	4843	32	-51	51	4843	32	-51	51	4843	32	-51	51	4843	32	-51	51	4843	32	-51	51	4843	32	-51	51	4843	32	-51	51	4843	32	-51	51	4843	32	-51	51	4843	32	-51	51	4843	32	-51	51	4843	32	-51	51	4843	32	-51	51	4843	32	-51	51	4843	32	-51	51	4843	32	-51	51	4843	32	-51	51	4843	32	-51	51	4843
33	-61	61	4904	33	-61	61	4904	33	-61	61	4904	33	-61	61	4904	33	-61	61	4904	33	-61	61	4904	33	-61	61	4904	33	-61	61	4904	33	-61	61	4904	33	-61	61	4904	33	-61	61	4904	33	-61	61	4904	33	-61	61	4904	33	-61	61	4904	33	-61	61	4904	33	-61	61	4904	33	-61	61	4904	33	-61	61	4904	33	-61	61	4904	33	-61	61	4904	33	-61	61	4904	33	-61	61	4904	33	-61	61	4904	33	-61	61	4904	33	-61	61	4904	33	-61	61	4904	33	-61	61	4904	33	-61	61	4904
34	-55	55	4959	34	-55	55	4959	34	-55	55	4959	34	-55	55	4959	34	-55	55	4959	34	-55	55	4959	34	-55	55	4959	34	-55	55	4959	34	-55	55	4959	34	-55	55	4959	34	-55	55	4959	34	-55	55	4959	34	-55	55	4959	34	-55	55	4959	34	-55	55	4959	34	-55	55	4959	34	-55	55	4959	34	-55	55	4959	34	-55	55	4959	34	-55	55	4959	34	-55	55	4959	34	-55	55	4959	34	-55	55	4959	34	-55	55	4959	34	-55	55	4959	34	-55	55	4959	34	-55	55	4959	34	-55	55	4959
35	-71	71	5030	35	-71	71	5030	35	-71	71	5030	35	-71	71	5030	35	-71	71	5030	35	-71	71	5030	35	-71	71	5030	35	-71	71	5030	35	-71	71	5030	35	-71	71	5030	35	-71	71	5030	35	-71	71	5030	35	-71	71	5030	35	-71	71	5030	35	-71	71	5030	35	-71	71	5030	35	-71	71	5030	35	-71	71	5030	35	-71	71	5030	35	-71	71	5030	35	-71	71	5030	35	-71	71	5030	35	-71	71	5030	35	-71	71	5030	35	-71	71	5030	35	-71	71	5030	35	-71	71	5030	35	-71	71	5030
36	-53	53	5083	36	-53	53	5083	36	-53	53	5083	36	-53	53	5083	36	-53	53	5083	36	-53	53	5083	36	-53	53	5083	36	-53	53	5083	36	-53	53	5083	36	-53	53	5083	36	-53	53	5083	36	-53	53	5083	36	-53	53	5083	36	-53	53	5083	36	-53	53	5083	36	-53	53	5083	36	-53	53	5083	36	-53	53	5083	36	-53	53	5083	36	-53	53	5083	36	-53	53	5083	36	-53	53	5083	36	-53	53	5083	36	-53	53	5083	36	-53	53	5083	36	-53	53	5083	36	-53	53	5083	36	-53	53	5083
37	-165	66	5149	37	-165	66	5149	37	-165	66	5149	37	-165	66	5149	37	-165	66	5149	37	-165	66	5149	37	-165	66	5149	37	-165	66	5149	37	-165	66	5149	37	-165	66	5149	37	-165	66	5149	37	-165	66	5149	37	-165	66	5149	37	-165	66	5149	37	-165	66	5149	37	-165	66	5149	37	-165	66	5149	37	-165	66	5149	37	-165	66	5149	37	-165	66	5149	37	-165	66	5149	37	-165	66	5149	37	-165	66	5149	37	-165	66	5149	37	-165	66	5149	37	-165	66	5149	37	-165	66	5149	37	-165	66	5149
38	-54	54	5203	38	-54	54	5203	38	-54	54	5203	38	-54	54	5203	38	-54	54	5203	38	-54	54	5203	38	-54	54	5203	38	-54	54	5203	38	-54	54	5203	38	-54	54	5203	38	-54	54	5203	38	-54	54	5203	38	-54	54	5203	38	-54	54	5203	38	-54	54	5203	38	-54	54	5203	38	-54	54	5203	38	-54	54	5203	38	-54	54	5203	38	-54	54	5203	38	-54	54	5203	38	-54	54	5203	38	-54	54	5203	38	-54	54	5203	38	-54	54	5203	38	-54	54	5203	38	-54	54	5203	38	-54	54	5203
39	-84	84	5287	39	-84	84	5287	39	-84	84	5287	39	-84	84	5287	39	-84	84	5287	39	-84	84	5287	39	-84	84	5287	39	-84	84	5287	39	-84	84	5287	39	-84	84	5287	39	-84	84	5287	39	-84	84	5287	39	-84	84	5287	39	-84	84	5287	39	-84	84	5287	39	-84	84	5287	39	-84	84	5287	39	-84	84	5287	39	-84	84	5287	39	-84	84	5287	39	-84	84	5287	39	-84	84	5287	39	-84	84	5287	39	-84	84	5287	39	-84	84	5287	39	-84	84	5287	39	-84	84	5287	39	-84	84	5287
40	-54	54	5341	40	-54	54	5341	40	-54	54	5341	40	-54	54	5341	40	-54	54	5341	40	-54	54	5341	40	-54	54	5341	40	-54	54	5341	40	-54	54	5341	40	-54	54	5341	40	-54	54	5341	40	-54	54	5341	40	-54	54	5341	40	-54	54	5341	40	-54	54	5341	40	-54	54	5341	40	-54	54	5341	40	-54	54	5341	40	-54	54	5341	40	-54	54	5341	40	-54	54	5341	40	-54	54	5341	40	-54	54	5341	40	-54	54	5341	40	-54	54	5341	40	-54	54	5341	40	-54	54	5341	40	-54	54	5341
41	-50	50	5391	41	-50	50	5391	41	-50	50	5391	41	-50	50	5391	41	-50	50	5391	41	-50	50	5391	41	-50	50	5391	41	-50	50	5391	41	-50	50	5391	41	-50	50	5391	41	-50	50	5391	41	-50	50	5391	41	-50	50	5391	41	-50	50	5391	41	-50	50	5391	41	-50	50	5391	41	-50	50	5391	41	-50	50	5391	41	-50	50	5391	41	-50	50	5391	41	-50	50	5391	41	-50	50	5391	41	-50	50	5391	41	-50	50	5391	41	-50	50	5391	41	-50	50	5391	41	-50	50	5391	41	-50	50	5391
42	-41	41	5432	42	-41	41	5432	42	-41	41	5432	42	-41	41	5432	42	-41	41	5432	42	-41	41	5432	42	-41	41	5432	42	-41	41	5432	42	-41	41	5432	42	-41	41	5432	42	-41	41	5432	42	-41	41	5432	42	-41	41	5432	42	-41	41	5432	42	-41	41	5432	42	-41	41	5432	42	-41	41	5432	42	-41	41	5432	42	-41	41	5432	42	-41	41	5432	42	-41	41	5432	42	-41	41	5432	42	-41	41	5432	42	-41	41	5432	42	-41	41	5432	42	-41	41	5432	42	-41	41	5432	42	-41	41	5432
