Episode	Accumulated Reward	Length	Steps
0	-2171	686	686
1	-329	230	916
2	-166	166	1082
3	-430	232	1314
4	-225	225	1539
5	-75	75	1614
6	-338	239	1853
7	-480	282	2135
8	-104	104	2239
9	-159	159	2398
10	-236	137	2535
11	-190	190	2725
12	-102	102	2827
13	-289	91	2918
14	-246	147	3065
15	-86	86	3151
16	-285	186	3337
17	-52	52	3389
18	-59	59	3448
19	-166	67	3515
20	-139	139	3654
21	-413	215	3869
22	-103	103	3972
23	-48	48	4020
24	-248	149	4169
25	-86	86	4255
26	-77	77	4332
27	-275	176	4508
28	-479	182	4690
29	-47	47	4737
30	-177	78	4815
31	-186	87	4902
32	-389	191	5093
33	-141	42	5135
34	-73	73	5208
35	-84	84	5292
36	-50	50	5342
37	-42	42	5384
38	-75	75	5459
39	-69	69	5528
40	-48	48	5576
41	-22	22	5598
42	-67	67	5665
43	-57	57	5722
44	-71	71	5793
45	-25	25	5818
46	-55	55	5873
47	-159	60	5933
48	-50	50	5983
49	-46	46	6029
50	-37	37	6066
51	-29	29	6095
52	-52	52	6147
53	-172	73	6220
54	-67	67	6287
55	-34	34	6321
56	-50	50	6371
57	-47	47	6418
58	-309	111	6529
59	-70	70	6599
60	-27	27	6626
61	-183	84	6710
62	-55	55	6765
63	-27	27	6792
64	-127	28	6820
65	-37	37	6857
66	-391	94	6951
67	-48	48	6999
68	-46	46	7045
69	-140	41	7086
70	-45	45	7131
71	-59	59	7190
72	-49	49	7239
73	-58	58	7297
74	-44	44	7341
75	-27	27	7368
76	-54	54	7422
77	-66	66	7488
78	-27	27	7515
79	-33	33	7548
80	-72	72	7620
81	-27	27	7647
82	-68	68	7715
83	-37	37	7752
84	-81	81	7833
85	-29	29	7862
86	-40	40	7902
87	-288	90	7992
88	-57	57	8049
89	-27	27	8076
90	-34	34	8110
91	-27	27	8137
92	-31	31	8168
93	-43	43	8211
94	-34	34	8245
95	-34	34	8279
96	-36	36	8315
97	-29	29	8344
98	-31	31	8375
99	-143	44	8419
100	-35	35	8454
101	-31	31	8485
102	-46	46	8531
103	-33	33	8564
104	-41	41	8605
105	-27	27	8632
106	-17	17	8649
107	-156	57	8706
108	-135	36	8742
109	-43	43	8785
110	-36	36	8821
111	-34	34	8855
112	-29	29	8884
113	-29	29	8913
114	-37	37	8950
115	-57	57	9007
116	-30	30	9037
117	-35	35	9072
118	-25	25	9097
119	-44	44	9141
120	-32	32	9173
121	-50	50	9223
122	-23	23	9246
123	-43	43	9289
124	-29	29	9318
125	-37	37	9355
126	-25	25	9380
127	-46	46	9426
128	-59	59	9485
129	-27	27	9512
130	-23	23	9535
131	-35	35	9570
132	-47	47	9617
133	-23	23	9640
134	-39	39	9679
135	-144	45	9724
136	-35	35	9759
137	-43	43	9802
138	-23	23	9825
139	-26	26	9851
140	-124	25	9876
141	-21	21	9897
142	-32	32	9929
143	-371	74	10003
144	-23	23	10026
145	-43	43	10069
146	-42	42	10111
147	-43	43	10154
148	-37	37	10191
149	-44	44	10235
150	-21	21	10256
151	-41	41	10297
152	-19	19	10316
153	-25	25	10341
154	-34	34	10375
155	-121	22	10397
156	-35	35	10432
157	-31	31	10463
158	-31	31	10494
159	-19	19	10513
160	-21	21	10534
161	-25	25	10559
162	-36	36	10595
163	-23	23	10618
164	-26	26	10644
165	-21	21	10665
166	-15	15	10680
167	-27	27	10707
168	-146	47	10754
169	-25	25	10779
170	-19	19	10798
171	-29	29	10827
172	-21	21	10848
173	-48	48	10896
174	-21	21	10917
175	-21	21	10938
176	-19	19	10957
177	-23	23	10980
178	-26	26	11006
179	-22	22	11028
180	-15	15	11043
181	-21	21	11064
182	-25	25	11089
183	-132	33	11122
184	-17	17	11139
185	-21	21	11160
186	-23	23	11183
187	-19	19	11202
188	-27	27	11229
189	-32	32	11261
190	-17	17	11278
191	-55	55	11333
192	-25	25	11358
193	-25	25	11383
194	-23	23	11406
195	-29	29	11435
196	-21	21	11456
197	-37	37	11493
198	-15	15	11508
199	-21	21	11529
