Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-23	23	23	0	-23	23	23
1	-21	21	44	1	-21	21	44
2	-23	23	67	2	-23	23	67
3	-25	25	92	3	-25	25	92
4	-134	35	127	4	-134	35	127
5	-27	27	154	5	-27	27	154
6	-125	26	180	6	-125	26	180
7	-32	32	212	7	-32	32	212
8	-134	35	247	8	-134	35	247
9	-23	23	270	9	-23	23	270
10	-25	25	295	10	-25	25	295
11	-37	37	332	11	-37	37	332
12	-21	21	353	12	-21	21	353
13	-23	23	376	13	-23	23	376
14	-21	21	397	14	-21	21	397
15	-20	20	417	15	-20	20	417
16	-29	29	446	16	-29	29	446
17	-19	19	465	17	-19	19	465
18	-17	17	482	18	-17	17	482
19	-20	20	502	19	-20	20	502
20	-40	40	542	20	-40	40	542
21	-124	25	567	21	-124	25	567
22	-19	19	586	22	-19	19	586
23	-17	17	603	23	-17	17	603
24	-19	19	622	24	-19	19	622
25	-30	30	652	25	-30	30	652
26	-23	23	675	26	-23	23	675
27	-23	23	698	27	-23	23	698
28	-21	21	719	28	-21	21	719
29	-23	23	742	29	-23	23	742
30	-15	15	757	30	-15	15	757
31	-17	17	774	31	-17	17	774
32	-27	27	801	32	-27	27	801
33	-18	18	819	33	-18	18	819
34	-19	19	838	34	-19	19	838
35	-21	21	859	35	-21	21	859
36	-19	19	878	36	-19	19	878
37	-29	29	907	37	-29	29	907
38	-27	27	934	38	-27	27	934
39	-17	17	951	39	-17	17	951
40	-19	19	970	40	-19	19	970
41	-21	21	991	41	-21	21	991
42	-22	22	1013	42	-22	22	1013
43	-19	19	1032	43	-19	19	1032
44	-17	17	1049	44	-17	17	1049
45	-25	25	1074	45	-25	25	1074
46	-17	17	1091	46	-17	17	1091
47	-25	25	1116	47	-25	25	1116
48	-25	25	1141	48	-25	25	1141
49	-26	26	1167	49	-26	26	1167
50	-27	27	1194	50	-27	27	1194
51	-25	25	1219	51	-25	25	1219
52	-31	31	1250	52	-31	31	1250
53	-23	23	1273	53	-23	23	1273
54	-23	23	1296	54	-23	23	1296
55	-29	29	1325	55	-29	29	1325
56	-28	28	1353	56	-28	28	1353
57	-21	21	1374	57	-21	21	1374
58	-21	21	1395	58	-21	21	1395
59	-23	23	1418	59	-23	23	1418
60	-21	21	1439	60	-21	21	1439
61	-19	19	1458	61	-19	19	1458
62	-21	21	1479	62	-21	21	1479
63	-19	19	1498	63	-19	19	1498
64	-23	23	1521	64	-23	23	1521
65	-19	19	1540	65	-19	19	1540
66	-19	19	1559	66	-19	19	1559
67	-17	17	1576	67	-17	17	1576
68	-27	27	1603	68	-27	27	1603
69	-17	17	1620	69	-17	17	1620
70	-19	19	1639	70	-19	19	1639
71	-15	15	1654	71	-15	15	1654
72	-17	17	1671	72	-17	17	1671
73	-33	33	1704	73	-33	33	1704
74	-28	28	1732	74	-28	28	1732
75	-17	17	1749	75	-17	17	1749
76	-23	23	1772	76	-23	23	1772
77	-21	21	1793	77	-21	21	1793
78	-19	19	1812	78	-19	19	1812
79	-22	22	1834	79	-22	22	1834
80	-18	18	1852	80	-18	18	1852
81	-19	19	1871	81	-19	19	1871
82	-21	21	1892	82	-21	21	1892
83	-23	23	1915	83	-23	23	1915
84	-18	18	1933	84	-18	18	1933
85	-19	19	1952	85	-19	19	1952
86	-21	21	1973	86	-21	21	1973
87	-17	17	1990	87	-17	17	1990
88	-21	21	2011	88	-21	21	2011
89	-19	19	2030	89	-19	19	2030
90	-21	21	2051	90	-21	21	2051
91	-15	15	2066	91	-15	15	2066
92	-15	15	2081	92	-15	15	2081
93	-19	19	2100	93	-19	19	2100
94	-24	24	2124	94	-24	24	2124
95	-115	16	2140	95	-115	16	2140
96	-17	17	2157	96	-17	17	2157
97	-21	21	2178	97	-21	21	2178
98	-18	18	2196	98	-18	18	2196
99	-21	21	2217	99	-21	21	2217
100	-24	24	2241	100	-24	24	2241
101	-20	20	2261	101	-20	20	2261
102	-27	27	2288	102	-27	27	2288
103	-16	16	2304	103	-16	16	2304
104	-17	17	2321	104	-17	17	2321
105	-17	17	2338	105	-17	17	2338
106	-21	21	2359	106	-21	21	2359
107	-17	17	2376	107	-17	17	2376
108	-19	19	2395	108	-19	19	2395
109	-17	17	2412	109	-17	17	2412
110	-24	24	2436	110	-24	24	2436
111	-16	16	2452	111	-16	16	2452
