Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-16	16	16	0	-16	16	16	0	-16	16	16
1	-19	19	35	1	-19	19	35	1	-19	19	35
2	-16	16	51	2	-16	16	51	2	-16	16	51
3	-121	22	73	3	-121	22	73	3	-121	22	73
4	-19	19	92	4	-19	19	92	4	-19	19	92
5	-21	21	113	5	-21	21	113	5	-21	21	113
6	-17	17	130	6	-17	17	130	6	-17	17	130
7	-17	17	147	7	-17	17	147	7	-17	17	147
8	-15	15	162	8	-15	15	162	8	-15	15	162
9	-20	20	182	9	-20	20	182	9	-20	20	182
10	-125	26	208	10	-125	26	208	10	-125	26	208
11	-20	20	228	11	-20	20	228	11	-20	20	228
12	-24	24	252	12	-24	24	252	12	-24	24	252
13	-17	17	269	13	-17	17	269	13	-17	17	269
14	-15	15	284	14	-15	15	284	14	-15	15	284
15	-17	17	301	15	-17	17	301	15	-17	17	301
16	-15	15	316	16	-15	15	316	16	-15	15	316
17	-15	15	331	17	-15	15	331	17	-15	15	331
18	-20	20	351	18	-20	20	351	18	-20	20	351
19	-17	17	368	19	-17	17	368	19	-17	17	368
20	-20	20	388	20	-20	20	388	20	-20	20	388
21	-17	17	405	21	-17	17	405	21	-17	17	405
22	-17	17	422	22	-17	17	422	22	-17	17	422
23	-19	19	441	23	-19	19	441	23	-19	19	441
24	-15	15	456	24	-15	15	456	24	-15	15	456
25	-19	19	475	25	-19	19	475	25	-19	19	475
26	-21	21	496	26	-21	21	496	26	-21	21	496
27	-16	16	512	27	-16	16	512	27	-16	16	512
28	-18	18	530	28	-18	18	530	28	-18	18	530
29	-19	19	549	29	-19	19	549	29	-19	19	549
30	-15	15	564	30	-15	15	564	30	-15	15	564
31	-17	17	581	31	-17	17	581	31	-17	17	581
32	-17	17	598	32	-17	17	598	32	-17	17	598
33	-15	15	613	33	-15	15	613	33	-15	15	613
34	-17	17	630	34	-17	17	630	34	-17	17	630
35	-17	17	647	35	-17	17	647	35	-17	17	647
36	-15	15	662	36	-15	15	662	36	-15	15	662
37	-18	18	680	37	-18	18	680	37	-18	18	680
38	-15	15	695	38	-15	15	695	38	-15	15	695
39	-15	15	710	39	-15	15	710	39	-15	15	710
40	-17	17	727	40	-17	17	727	40	-17	17	727
41	-15	15	742	41	-15	15	742	41	-15	15	742
42	-17	17	759	42	-17	17	759	42	-17	17	759
43	-21	21	780	43	-21	21	780	43	-21	21	780
44	-17	17	797	44	-17	17	797	44	-17	17	797
45	-15	15	812	45	-15	15	812	45	-15	15	812
46	-19	19	831	46	-19	19	831	46	-19	19	831
47	-21	21	852	47	-21	21	852	47	-21	21	852
48	-17	17	869	48	-17	17	869	48	-17	17	869
49	-15	15	884	49	-15	15	884	49	-15	15	884
50	-20	20	904	50	-20	20	904	50	-20	20	904
51	-15	15	919	51	-15	15	919	51	-15	15	919
52	-21	21	940	52	-21	21	940	52	-21	21	940
53	-15	15	955	53	-15	15	955	53	-15	15	955
54	-16	16	971	54	-16	16	971	54	-16	16	971
55	-18	18	989	55	-18	18	989	55	-18	18	989
56	-17	17	1006	56	-17	17	1006	56	-17	17	1006
