Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-21	21	21	0	-21	21	21	0	-21	21	21	0	-21	21	21
1	-17	17	38	1	-17	17	38	1	-17	17	38	1	-17	17	38
2	-15	15	53	2	-15	15	53	2	-15	15	53	2	-15	15	53
3	-17	17	70	3	-17	17	70	3	-17	17	70	3	-17	17	70
4	-15	15	85	4	-15	15	85	4	-15	15	85	4	-15	15	85
5	-15	15	100	5	-15	15	100	5	-15	15	100	5	-15	15	100
6	-17	17	117	6	-17	17	117	6	-17	17	117	6	-17	17	117
7	-17	17	134	7	-17	17	134	7	-17	17	134	7	-17	17	134
8	-17	17	151	8	-17	17	151	8	-17	17	151	8	-17	17	151
9	-15	15	166	9	-15	15	166	9	-15	15	166	9	-15	15	166
10	-20	20	186	10	-20	20	186	10	-20	20	186	10	-20	20	186
11	-19	19	205	11	-19	19	205	11	-19	19	205	11	-19	19	205
12	-16	16	221	12	-16	16	221	12	-16	16	221	12	-16	16	221
13	-19	19	240	13	-19	19	240	13	-19	19	240	13	-19	19	240
14	-15	15	255	14	-15	15	255	14	-15	15	255	14	-15	15	255
15	-17	17	272	15	-17	17	272	15	-17	17	272	15	-17	17	272
16	-19	19	291	16	-19	19	291	16	-19	19	291	16	-19	19	291
17	-15	15	306	17	-15	15	306	17	-15	15	306	17	-15	15	306
18	-19	19	325	18	-19	19	325	18	-19	19	325	18	-19	19	325
19	-19	19	344	19	-19	19	344	19	-19	19	344	19	-19	19	344
20	-18	18	362	20	-18	18	362	20	-18	18	362	20	-18	18	362
21	-15	15	377	21	-15	15	377	21	-15	15	377	21	-15	15	377
22	-17	17	394	22	-17	17	394	22	-17	17	394	22	-17	17	394
23	-15	15	409	23	-15	15	409	23	-15	15	409	23	-15	15	409
24	-19	19	428	24	-19	19	428	24	-19	19	428	24	-19	19	428
25	-15	15	443	25	-15	15	443	25	-15	15	443	25	-15	15	443
26	-16	16	459	26	-16	16	459	26	-16	16	459	26	-16	16	459
27	-23	23	482	27	-23	23	482	27	-23	23	482	27	-23	23	482
28	-19	19	501	28	-19	19	501	28	-19	19	501	28	-19	19	501
29	-15	15	516	29	-15	15	516	29	-15	15	516	29	-15	15	516
30	-21	21	537	30	-21	21	537	30	-21	21	537	30	-21	21	537
31	-17	17	554	31	-17	17	554	31	-17	17	554	31	-17	17	554
32	-17	17	571	32	-17	17	571	32	-17	17	571	32	-17	17	571
33	-15	15	586	33	-15	15	586	33	-15	15	586	33	-15	15	586
34	-20	20	606	34	-20	20	606	34	-20	20	606	34	-20	20	606
35	-17	17	623	35	-17	17	623	35	-17	17	623	35	-17	17	623
36	-15	15	638	36	-15	15	638	36	-15	15	638	36	-15	15	638
37	-15	15	653	37	-15	15	653	37	-15	15	653	37	-15	15	653
38	-15	15	668	38	-15	15	668	38	-15	15	668	38	-15	15	668
39	-15	15	683	39	-15	15	683	39	-15	15	683	39	-15	15	683
40	-19	19	702	40	-19	19	702	40	-19	19	702	40	-19	19	702
41	-19	19	721	41	-19	19	721	41	-19	19	721	41	-19	19	721
42	-120	21	742	42	-120	21	742	42	-120	21	742	42	-120	21	742
43	-17	17	759	43	-17	17	759	43	-17	17	759	43	-17	17	759
44	-19	19	778	44	-19	19	778	44	-19	19	778	44	-19	19	778
45	-17	17	795	45	-17	17	795	45	-17	17	795	45	-17	17	795
46	-21	21	816	46	-21	21	816	46	-21	21	816	46	-21	21	816
47	-15	15	831	47	-15	15	831	47	-15	15	831	47	-15	15	831
48	-15	15	846	48	-15	15	846	48	-15	15	846	48	-15	15	846
49	-15	15	861	49	-15	15	861	49	-15	15	861	49	-15	15	861
50	-19	19	880	50	-19	19	880	50	-19	19	880	50	-19	19	880
51	-17	17	897	51	-17	17	897	51	-17	17	897	51	-17	17	897
52	-19	19	916	52	-19	19	916	52	-19	19	916	52	-19	19	916
53	-17	17	933	53	-17	17	933	53	-17	17	933	53	-17	17	933
54	-15	15	948	54	-15	15	948	54	-15	15	948	54	-15	15	948
55	-15	15	963	55	-15	15	963	55	-15	15	963	55	-15	15	963
56	-21	21	984	56	-21	21	984	56	-21	21	984	56	-21	21	984
57	-17	17	1001	57	-17	17	1001	57	-17	17	1001	57	-17	17	1001
58	-20	20	1021	58	-20	20	1021	58	-20	20	1021	58	-20	20	1021
59	-21	21	1042	59	-21	21	1042	59	-21	21	1042	59	-21	21	1042
60	-15	15	1057	60	-15	15	1057	60	-15	15	1057	60	-15	15	1057
61	-17	17	1074	61	-17	17	1074	61	-17	17	1074	61	-17	17	1074
62	-19	19	1093	62	-19	19	1093	62	-19	19	1093	62	-19	19	1093
63	-15	15	1108	63	-15	15	1108	63	-15	15	1108	63	-15	15	1108
64	-17	17	1125	64	-17	17	1125	64	-17	17	1125	64	-17	17	1125
65	-21	21	1146	65	-21	21	1146	65	-21	21	1146	65	-21	21	1146
66	-20	20	1166	66	-20	20	1166	66	-20	20	1166	66	-20	20	1166
67	-15	15	1181	67	-15	15	1181	67	-15	15	1181	67	-15	15	1181
68	-17	17	1198	68	-17	17	1198	68	-17	17	1198	68	-17	17	1198
69	-15	15	1213	69	-15	15	1213	69	-15	15	1213	69	-15	15	1213
70	-19	19	1232	70	-19	19	1232	70	-19	19	1232	70	-19	19	1232
71	-20	20	1252	71	-20	20	1252	71	-20	20	1252	71	-20	20	1252
72	-15	15	1267	72	-15	15	1267	72	-15	15	1267	72	-15	15	1267
73	-18	18	1285	73	-18	18	1285	73	-18	18	1285	73	-18	18	1285
74	-16	16	1301	74	-16	16	1301	74	-16	16	1301	74	-16	16	1301
75	-15	15	1316	75	-15	15	1316	75	-15	15	1316	75	-15	15	1316
76	-17	17	1333	76	-17	17	1333	76	-17	17	1333	76	-17	17	1333
77	-18	18	1351	77	-18	18	1351	77	-18	18	1351	77	-18	18	1351
78	-23	23	1374	78	-23	23	1374	78	-23	23	1374	78	-23	23	1374
79	-18	18	1392	79	-18	18	1392	79	-18	18	1392	79	-18	18	1392
80	-15	15	1407	80	-15	15	1407	80	-15	15	1407	80	-15	15	1407
81	-15	15	1422	81	-15	15	1422	81	-15	15	1422	81	-15	15	1422
82	-20	20	1442	82	-20	20	1442	82	-20	20	1442	82	-20	20	1442
83	-21	21	1463	83	-21	21	1463	83	-21	21	1463	83	-21	21	1463
84	-16	16	1479	84	-16	16	1479	84	-16	16	1479	84	-16	16	1479
85	-19	19	1498	85	-19	19	1498	85	-19	19	1498	85	-19	19	1498
86	-17	17	1515	86	-17	17	1515	86	-17	17	1515	86	-17	17	1515
87	-16	16	1531	87	-16	16	1531	87	-16	16	1531	87	-16	16	1531
88	-17	17	1548	88	-17	17	1548	88	-17	17	1548	88	-17	17	1548
89	-17	17	1565	89	-17	17	1565	89	-17	17	1565	89	-17	17	1565
90	-18	18	1583	90	-18	18	1583	90	-18	18	1583	90	-18	18	1583
91	-19	19	1602	91	-19	19	1602	91	-19	19	1602	91	-19	19	1602
92	-17	17	1619	92	-17	17	1619	92	-17	17	1619	92	-17	17	1619
93	-18	18	1637	93	-18	18	1637	93	-18	18	1637	93	-18	18	1637
94	-17	17	1654	94	-17	17	1654	94	-17	17	1654	94	-17	17	1654
95	-17	17	1671	95	-17	17	1671	95	-17	17	1671	95	-17	17	1671
96	-17	17	1688	96	-17	17	1688	96	-17	17	1688	96	-17	17	1688
97	-17	17	1705	97	-17	17	1705	97	-17	17	1705	97	-17	17	1705
98	-16	16	1721	98	-16	16	1721	98	-16	16	1721	98	-16	16	1721
