Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-17	17	17	0	-17	17	17	0	-17	17	17	0	-17	17	17	0	-17	17	17
1	-21	21	38	1	-21	21	38	1	-21	21	38	1	-21	21	38	1	-21	21	38
2	-17	17	55	2	-17	17	55	2	-17	17	55	2	-17	17	55	2	-17	17	55
3	-19	19	74	3	-19	19	74	3	-19	19	74	3	-19	19	74	3	-19	19	74
4	-15	15	89	4	-15	15	89	4	-15	15	89	4	-15	15	89	4	-15	15	89
5	-15	15	104	5	-15	15	104	5	-15	15	104	5	-15	15	104	5	-15	15	104
6	-19	19	123	6	-19	19	123	6	-19	19	123	6	-19	19	123	6	-19	19	123
7	-21	21	144	7	-21	21	144	7	-21	21	144	7	-21	21	144	7	-21	21	144
8	-15	15	159	8	-15	15	159	8	-15	15	159	8	-15	15	159	8	-15	15	159
9	-15	15	174	9	-15	15	174	9	-15	15	174	9	-15	15	174	9	-15	15	174
10	-21	21	195	10	-21	21	195	10	-21	21	195	10	-21	21	195	10	-21	21	195
11	-15	15	210	11	-15	15	210	11	-15	15	210	11	-15	15	210	11	-15	15	210
12	-15	15	225	12	-15	15	225	12	-15	15	225	12	-15	15	225	12	-15	15	225
13	-15	15	240	13	-15	15	240	13	-15	15	240	13	-15	15	240	13	-15	15	240
14	-23	23	263	14	-23	23	263	14	-23	23	263	14	-23	23	263	14	-23	23	263
15	-17	17	280	15	-17	17	280	15	-17	17	280	15	-17	17	280	15	-17	17	280
16	-19	19	299	16	-19	19	299	16	-19	19	299	16	-19	19	299	16	-19	19	299
17	-17	17	316	17	-17	17	316	17	-17	17	316	17	-17	17	316	17	-17	17	316
18	-17	17	333	18	-17	17	333	18	-17	17	333	18	-17	17	333	18	-17	17	333
19	-18	18	351	19	-18	18	351	19	-18	18	351	19	-18	18	351	19	-18	18	351
20	-27	27	378	20	-27	27	378	20	-27	27	378	20	-27	27	378	20	-27	27	378
21	-19	19	397	21	-19	19	397	21	-19	19	397	21	-19	19	397	21	-19	19	397
22	-25	25	422	22	-25	25	422	22	-25	25	422	22	-25	25	422	22	-25	25	422
23	-16	16	438	23	-16	16	438	23	-16	16	438	23	-16	16	438	23	-16	16	438
24	-15	15	453	24	-15	15	453	24	-15	15	453	24	-15	15	453	24	-15	15	453
25	-22	22	475	25	-22	22	475	25	-22	22	475	25	-22	22	475	25	-22	22	475
26	-16	16	491	26	-16	16	491	26	-16	16	491	26	-16	16	491	26	-16	16	491
27	-19	19	510	27	-19	19	510	27	-19	19	510	27	-19	19	510	27	-19	19	510
28	-15	15	525	28	-15	15	525	28	-15	15	525	28	-15	15	525	28	-15	15	525
29	-19	19	544	29	-19	19	544	29	-19	19	544	29	-19	19	544	29	-19	19	544
30	-18	18	562	30	-18	18	562	30	-18	18	562	30	-18	18	562	30	-18	18	562
31	-21	21	583	31	-21	21	583	31	-21	21	583	31	-21	21	583	31	-21	21	583
32	-25	25	608	32	-25	25	608	32	-25	25	608	32	-25	25	608	32	-25	25	608
33	-17	17	625	33	-17	17	625	33	-17	17	625	33	-17	17	625	33	-17	17	625
34	-117	18	643	34	-117	18	643	34	-117	18	643	34	-117	18	643	34	-117	18	643
35	-17	17	660	35	-17	17	660	35	-17	17	660	35	-17	17	660	35	-17	17	660
36	-19	19	679	36	-19	19	679	36	-19	19	679	36	-19	19	679	36	-19	19	679
37	-21	21	700	37	-21	21	700	37	-21	21	700	37	-21	21	700	37	-21	21	700
38	-17	17	717	38	-17	17	717	38	-17	17	717	38	-17	17	717	38	-17	17	717
39	-17	17	734	39	-17	17	734	39	-17	17	734	39	-17	17	734	39	-17	17	734
40	-17	17	751	40	-17	17	751	40	-17	17	751	40	-17	17	751	40	-17	17	751
41	-19	19	770	41	-19	19	770	41	-19	19	770	41	-19	19	770	41	-19	19	770
42	-16	16	786	42	-16	16	786	42	-16	16	786	42	-16	16	786	42	-16	16	786
43	-15	15	801	43	-15	15	801	43	-15	15	801	43	-15	15	801	43	-15	15	801
44	-23	23	824	44	-23	23	824	44	-23	23	824	44	-23	23	824	44	-23	23	824
45	-15	15	839	45	-15	15	839	45	-15	15	839	45	-15	15	839	45	-15	15	839
46	-21	21	860	46	-21	21	860	46	-21	21	860	46	-21	21	860	46	-21	21	860
47	-15	15	875	47	-15	15	875	47	-15	15	875	47	-15	15	875	47	-15	15	875
48	-15	15	890	48	-15	15	890	48	-15	15	890	48	-15	15	890	48	-15	15	890
49	-15	15	905	49	-15	15	905	49	-15	15	905	49	-15	15	905	49	-15	15	905
50	-15	15	920	50	-15	15	920	50	-15	15	920	50	-15	15	920	50	-15	15	920
51	-127	28	948	51	-127	28	948	51	-127	28	948	51	-127	28	948	51	-127	28	948
52	-119	20	968	52	-119	20	968	52	-119	20	968	52	-119	20	968	52	-119	20	968
53	-15	15	983	53	-15	15	983	53	-15	15	983	53	-15	15	983	53	-15	15	983
54	-15	15	998	54	-15	15	998	54	-15	15	998	54	-15	15	998	54	-15	15	998
55	-19	19	1017	55	-19	19	1017	55	-19	19	1017	55	-19	19	1017	55	-19	19	1017
56	-15	15	1032	56	-15	15	1032	56	-15	15	1032	56	-15	15	1032	56	-15	15	1032
57	-17	17	1049	57	-17	17	1049	57	-17	17	1049	57	-17	17	1049	57	-17	17	1049
58	-17	17	1066	58	-17	17	1066	58	-17	17	1066	58	-17	17	1066	58	-17	17	1066
59	-21	21	1087	59	-21	21	1087	59	-21	21	1087	59	-21	21	1087	59	-21	21	1087
60	-15	15	1102	60	-15	15	1102	60	-15	15	1102	60	-15	15	1102	60	-15	15	1102
61	-21	21	1123	61	-21	21	1123	61	-21	21	1123	61	-21	21	1123	61	-21	21	1123
62	-23	23	1146	62	-23	23	1146	62	-23	23	1146	62	-23	23	1146	62	-23	23	1146
63	-15	15	1161	63	-15	15	1161	63	-15	15	1161	63	-15	15	1161	63	-15	15	1161
