Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-19	19	19	0	-19	19	19	0	-19	19	19	0	-19	19	19	0	-19	19	19	0	-19	19	19
1	-15	15	34	1	-15	15	34	1	-15	15	34	1	-15	15	34	1	-15	15	34	1	-15	15	34
2	-17	17	51	2	-17	17	51	2	-17	17	51	2	-17	17	51	2	-17	17	51	2	-17	17	51
3	-17	17	68	3	-17	17	68	3	-17	17	68	3	-17	17	68	3	-17	17	68	3	-17	17	68
4	-15	15	83	4	-15	15	83	4	-15	15	83	4	-15	15	83	4	-15	15	83	4	-15	15	83
5	-19	19	102	5	-19	19	102	5	-19	19	102	5	-19	19	102	5	-19	19	102	5	-19	19	102
6	-17	17	119	6	-17	17	119	6	-17	17	119	6	-17	17	119	6	-17	17	119	6	-17	17	119
7	-17	17	136	7	-17	17	136	7	-17	17	136	7	-17	17	136	7	-17	17	136	7	-17	17	136
8	-17	17	153	8	-17	17	153	8	-17	17	153	8	-17	17	153	8	-17	17	153	8	-17	17	153
9	-17	17	170	9	-17	17	170	9	-17	17	170	9	-17	17	170	9	-17	17	170	9	-17	17	170
10	-15	15	185	10	-15	15	185	10	-15	15	185	10	-15	15	185	10	-15	15	185	10	-15	15	185
11	-15	15	200	11	-15	15	200	11	-15	15	200	11	-15	15	200	11	-15	15	200	11	-15	15	200
12	-26	26	226	12	-26	26	226	12	-26	26	226	12	-26	26	226	12	-26	26	226	12	-26	26	226
13	-17	17	243	13	-17	17	243	13	-17	17	243	13	-17	17	243	13	-17	17	243	13	-17	17	243
14	-17	17	260	14	-17	17	260	14	-17	17	260	14	-17	17	260	14	-17	17	260	14	-17	17	260
15	-19	19	279	15	-19	19	279	15	-19	19	279	15	-19	19	279	15	-19	19	279	15	-19	19	279
16	-16	16	295	16	-16	16	295	16	-16	16	295	16	-16	16	295	16	-16	16	295	16	-16	16	295
17	-21	21	316	17	-21	21	316	17	-21	21	316	17	-21	21	316	17	-21	21	316	17	-21	21	316
18	-17	17	333	18	-17	17	333	18	-17	17	333	18	-17	17	333	18	-17	17	333	18	-17	17	333
19	-18	18	351	19	-18	18	351	19	-18	18	351	19	-18	18	351	19	-18	18	351	19	-18	18	351
20	-17	17	368	20	-17	17	368	20	-17	17	368	20	-17	17	368	20	-17	17	368	20	-17	17	368
21	-17	17	385	21	-17	17	385	21	-17	17	385	21	-17	17	385	21	-17	17	385	21	-17	17	385
22	-18	18	403	22	-18	18	403	22	-18	18	403	22	-18	18	403	22	-18	18	403	22	-18	18	403
23	-15	15	418	23	-15	15	418	23	-15	15	418	23	-15	15	418	23	-15	15	418	23	-15	15	418
24	-17	17	435	24	-17	17	435	24	-17	17	435	24	-17	17	435	24	-17	17	435	24	-17	17	435
