Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15
1	-17	17	32	1	-17	17	32	1	-17	17	32	1	-17	17	32	1	-17	17	32	1	-17	17	32	1	-17	17	32
2	-115	16	48	2	-115	16	48	2	-115	16	48	2	-115	16	48	2	-115	16	48	2	-115	16	48	2	-115	16	48
3	-19	19	67	3	-19	19	67	3	-19	19	67	3	-19	19	67	3	-19	19	67	3	-19	19	67	3	-19	19	67
4	-15	15	82	4	-15	15	82	4	-15	15	82	4	-15	15	82	4	-15	15	82	4	-15	15	82	4	-15	15	82
5	-19	19	101	5	-19	19	101	5	-19	19	101	5	-19	19	101	5	-19	19	101	5	-19	19	101	5	-19	19	101
6	-17	17	118	6	-17	17	118	6	-17	17	118	6	-17	17	118	6	-17	17	118	6	-17	17	118	6	-17	17	118
7	-17	17	135	7	-17	17	135	7	-17	17	135	7	-17	17	135	7	-17	17	135	7	-17	17	135	7	-17	17	135
8	-15	15	150	8	-15	15	150	8	-15	15	150	8	-15	15	150	8	-15	15	150	8	-15	15	150	8	-15	15	150
9	-15	15	165	9	-15	15	165	9	-15	15	165	9	-15	15	165	9	-15	15	165	9	-15	15	165	9	-15	15	165
10	-15	15	180	10	-15	15	180	10	-15	15	180	10	-15	15	180	10	-15	15	180	10	-15	15	180	10	-15	15	180
11	-21	21	201	11	-21	21	201	11	-21	21	201	11	-21	21	201	11	-21	21	201	11	-21	21	201	11	-21	21	201
12	-19	19	220	12	-19	19	220	12	-19	19	220	12	-19	19	220	12	-19	19	220	12	-19	19	220	12	-19	19	220
13	-15	15	235	13	-15	15	235	13	-15	15	235	13	-15	15	235	13	-15	15	235	13	-15	15	235	13	-15	15	235
14	-21	21	256	14	-21	21	256	14	-21	21	256	14	-21	21	256	14	-21	21	256	14	-21	21	256	14	-21	21	256
15	-23	23	279	15	-23	23	279	15	-23	23	279	15	-23	23	279	15	-23	23	279	15	-23	23	279	15	-23	23	279
16	-17	17	296	16	-17	17	296	16	-17	17	296	16	-17	17	296	16	-17	17	296	16	-17	17	296	16	-17	17	296
17	-15	15	311	17	-15	15	311	17	-15	15	311	17	-15	15	311	17	-15	15	311	17	-15	15	311	17	-15	15	311
18	-15	15	326	18	-15	15	326	18	-15	15	326	18	-15	15	326	18	-15	15	326	18	-15	15	326	18	-15	15	326
19	-17	17	343	19	-17	17	343	19	-17	17	343	19	-17	17	343	19	-17	17	343	19	-17	17	343	19	-17	17	343
20	-15	15	358	20	-15	15	358	20	-15	15	358	20	-15	15	358	20	-15	15	358	20	-15	15	358	20	-15	15	358
21	-15	15	373	21	-15	15	373	21	-15	15	373	21	-15	15	373	21	-15	15	373	21	-15	15	373	21	-15	15	373
22	-15	15	388	22	-15	15	388	22	-15	15	388	22	-15	15	388	22	-15	15	388	22	-15	15	388	22	-15	15	388
23	-19	19	407	23	-19	19	407	23	-19	19	407	23	-19	19	407	23	-19	19	407	23	-19	19	407	23	-19	19	407
24	-19	19	426	24	-19	19	426	24	-19	19	426	24	-19	19	426	24	-19	19	426	24	-19	19	426	24	-19	19	426
25	-115	16	442	25	-115	16	442	25	-115	16	442	25	-115	16	442	25	-115	16	442	25	-115	16	442	25	-115	16	442
26	-15	15	457	26	-15	15	457	26	-15	15	457	26	-15	15	457	26	-15	15	457	26	-15	15	457	26	-15	15	457
27	-17	17	474	27	-17	17	474	27	-17	17	474	27	-17	17	474	27	-17	17	474	27	-17	17	474	27	-17	17	474
28	-17	17	491	28	-17	17	491	28	-17	17	491	28	-17	17	491	28	-17	17	491	28	-17	17	491	28	-17	17	491
29	-18	18	509	29	-18	18	509	29	-18	18	509	29	-18	18	509	29	-18	18	509	29	-18	18	509	29	-18	18	509
30	-15	15	524	30	-15	15	524	30	-15	15	524	30	-15	15	524	30	-15	15	524	30	-15	15	524	30	-15	15	524
31	-15	15	539	31	-15	15	539	31	-15	15	539	31	-15	15	539	31	-15	15	539	31	-15	15	539	31	-15	15	539
32	-15	15	554	32	-15	15	554	32	-15	15	554	32	-15	15	554	32	-15	15	554	32	-15	15	554	32	-15	15	554
33	-15	15	569	33	-15	15	569	33	-15	15	569	33	-15	15	569	33	-15	15	569	33	-15	15	569	33	-15	15	569
34	-15	15	584	34	-15	15	584	34	-15	15	584	34	-15	15	584	34	-15	15	584	34	-15	15	584	34	-15	15	584
35	-19	19	603	35	-19	19	603	35	-19	19	603	35	-19	19	603	35	-19	19	603	35	-19	19	603	35	-19	19	603
36	-15	15	618	36	-15	15	618	36	-15	15	618	36	-15	15	618	36	-15	15	618	36	-15	15	618	36	-15	15	618
37	-17	17	635	37	-17	17	635	37	-17	17	635	37	-17	17	635	37	-17	17	635	37	-17	17	635	37	-17	17	635
38	-15	15	650	38	-15	15	650	38	-15	15	650	38	-15	15	650	38	-15	15	650	38	-15	15	650	38	-15	15	650
39	-15	15	665	39	-15	15	665	39	-15	15	665	39	-15	15	665	39	-15	15	665	39	-15	15	665	39	-15	15	665
40	-17	17	682	40	-17	17	682	40	-17	17	682	40	-17	17	682	40	-17	17	682	40	-17	17	682	40	-17	17	682
41	-17	17	699	41	-17	17	699	41	-17	17	699	41	-17	17	699	41	-17	17	699	41	-17	17	699	41	-17	17	699
42	-18	18	717	42	-18	18	717	42	-18	18	717	42	-18	18	717	42	-18	18	717	42	-18	18	717	42	-18	18	717
43	-15	15	732	43	-15	15	732	43	-15	15	732	43	-15	15	732	43	-15	15	732	43	-15	15	732	43	-15	15	732
44	-116	17	749	44	-116	17	749	44	-116	17	749	44	-116	17	749	44	-116	17	749	44	-116	17	749	44	-116	17	749
45	-22	22	771	45	-22	22	771	45	-22	22	771	45	-22	22	771	45	-22	22	771	45	-22	22	771	45	-22	22	771
46	-15	15	786	46	-15	15	786	46	-15	15	786	46	-15	15	786	46	-15	15	786	46	-15	15	786	46	-15	15	786
47	-15	15	801	47	-15	15	801	47	-15	15	801	47	-15	15	801	47	-15	15	801	47	-15	15	801	47	-15	15	801
48	-17	17	818	48	-17	17	818	48	-17	17	818	48	-17	17	818	48	-17	17	818	48	-17	17	818	48	-17	17	818
49	-15	15	833	49	-15	15	833	49	-15	15	833	49	-15	15	833	49	-15	15	833	49	-15	15	833	49	-15	15	833
50	-15	15	848	50	-15	15	848	50	-15	15	848	50	-15	15	848	50	-15	15	848	50	-15	15	848	50	-15	15	848
51	-15	15	863	51	-15	15	863	51	-15	15	863	51	-15	15	863	51	-15	15	863	51	-15	15	863	51	-15	15	863
52	-15	15	878	52	-15	15	878	52	-15	15	878	52	-15	15	878	52	-15	15	878	52	-15	15	878	52	-15	15	878
53	-18	18	896	53	-18	18	896	53	-18	18	896	53	-18	18	896	53	-18	18	896	53	-18	18	896	53	-18	18	896
54	-15	15	911	54	-15	15	911	54	-15	15	911	54	-15	15	911	54	-15	15	911	54	-15	15	911	54	-15	15	911
55	-17	17	928	55	-17	17	928	55	-17	17	928	55	-17	17	928	55	-17	17	928	55	-17	17	928	55	-17	17	928
56	-15	15	943	56	-15	15	943	56	-15	15	943	56	-15	15	943	56	-15	15	943	56	-15	15	943	56	-15	15	943
57	-17	17	960	57	-17	17	960	57	-17	17	960	57	-17	17	960	57	-17	17	960	57	-17	17	960	57	-17	17	960
58	-17	17	977	58	-17	17	977	58	-17	17	977	58	-17	17	977	58	-17	17	977	58	-17	17	977	58	-17	17	977
59	-19	19	996	59	-19	19	996	59	-19	19	996	59	-19	19	996	59	-19	19	996	59	-19	19	996	59	-19	19	996
60	-17	17	1013	60	-17	17	1013	60	-17	17	1013	60	-17	17	1013	60	-17	17	1013	60	-17	17	1013	60	-17	17	1013
61	-17	17	1030	61	-17	17	1030	61	-17	17	1030	61	-17	17	1030	61	-17	17	1030	61	-17	17	1030	61	-17	17	1030
62	-17	17	1047	62	-17	17	1047	62	-17	17	1047	62	-17	17	1047	62	-17	17	1047	62	-17	17	1047	62	-17	17	1047
63	-15	15	1062	63	-15	15	1062	63	-15	15	1062	63	-15	15	1062	63	-15	15	1062	63	-15	15	1062	63	-15	15	1062
64	-22	22	1084	64	-22	22	1084	64	-22	22	1084	64	-22	22	1084	64	-22	22	1084	64	-22	22	1084	64	-22	22	1084
65	-17	17	1101	65	-17	17	1101	65	-17	17	1101	65	-17	17	1101	65	-17	17	1101	65	-17	17	1101	65	-17	17	1101
66	-19	19	1120	66	-19	19	1120	66	-19	19	1120	66	-19	19	1120	66	-19	19	1120	66	-19	19	1120	66	-19	19	1120
67	-15	15	1135	67	-15	15	1135	67	-15	15	1135	67	-15	15	1135	67	-15	15	1135	67	-15	15	1135	67	-15	15	1135
68	-15	15	1150	68	-15	15	1150	68	-15	15	1150	68	-15	15	1150	68	-15	15	1150	68	-15	15	1150	68	-15	15	1150
69	-19	19	1169	69	-19	19	1169	69	-19	19	1169	69	-19	19	1169	69	-19	19	1169	69	-19	19	1169	69	-19	19	1169
70	-18	18	1187	70	-18	18	1187	70	-18	18	1187	70	-18	18	1187	70	-18	18	1187	70	-18	18	1187	70	-18	18	1187
71	-15	15	1202	71	-15	15	1202	71	-15	15	1202	71	-15	15	1202	71	-15	15	1202	71	-15	15	1202	71	-15	15	1202
72	-17	17	1219	72	-17	17	1219	72	-17	17	1219	72	-17	17	1219	72	-17	17	1219	72	-17	17	1219	72	-17	17	1219
73	-17	17	1236	73	-17	17	1236	73	-17	17	1236	73	-17	17	1236	73	-17	17	1236	73	-17	17	1236	73	-17	17	1236
74	-15	15	1251	74	-15	15	1251	74	-15	15	1251	74	-15	15	1251	74	-15	15	1251	74	-15	15	1251	74	-15	15	1251
75	-17	17	1268	75	-17	17	1268	75	-17	17	1268	75	-17	17	1268	75	-17	17	1268	75	-17	17	1268	75	-17	17	1268
76	-15	15	1283	76	-15	15	1283	76	-15	15	1283	76	-15	15	1283	76	-15	15	1283	76	-15	15	1283	76	-15	15	1283
77	-19	19	1302	77	-19	19	1302	77	-19	19	1302	77	-19	19	1302	77	-19	19	1302	77	-19	19	1302	77	-19	19	1302
78	-15	15	1317	78	-15	15	1317	78	-15	15	1317	78	-15	15	1317	78	-15	15	1317	78	-15	15	1317	78	-15	15	1317
79	-15	15	1332	79	-15	15	1332	79	-15	15	1332	79	-15	15	1332	79	-15	15	1332	79	-15	15	1332	79	-15	15	1332
80	-15	15	1347	80	-15	15	1347	80	-15	15	1347	80	-15	15	1347	80	-15	15	1347	80	-15	15	1347	80	-15	15	1347
81	-17	17	1364	81	-17	17	1364	81	-17	17	1364	81	-17	17	1364	81	-17	17	1364	81	-17	17	1364	81	-17	17	1364
82	-121	22	1386	82	-121	22	1386	82	-121	22	1386	82	-121	22	1386	82	-121	22	1386	82	-121	22	1386	82	-121	22	1386
83	-25	25	1411	83	-25	25	1411	83	-25	25	1411	83	-25	25	1411	83	-25	25	1411	83	-25	25	1411	83	-25	25	1411
84	-15	15	1426	84	-15	15	1426	84	-15	15	1426	84	-15	15	1426	84	-15	15	1426	84	-15	15	1426	84	-15	15	1426
85	-15	15	1441	85	-15	15	1441	85	-15	15	1441	85	-15	15	1441	85	-15	15	1441	85	-15	15	1441	85	-15	15	1441
86	-15	15	1456	86	-15	15	1456	86	-15	15	1456	86	-15	15	1456	86	-15	15	1456	86	-15	15	1456	86	-15	15	1456
87	-15	15	1471	87	-15	15	1471	87	-15	15	1471	87	-15	15	1471	87	-15	15	1471	87	-15	15	1471	87	-15	15	1471
88	-15	15	1486	88	-15	15	1486	88	-15	15	1486	88	-15	15	1486	88	-15	15	1486	88	-15	15	1486	88	-15	15	1486
89	-15	15	1501	89	-15	15	1501	89	-15	15	1501	89	-15	15	1501	89	-15	15	1501	89	-15	15	1501	89	-15	15	1501
90	-15	15	1516	90	-15	15	1516	90	-15	15	1516	90	-15	15	1516	90	-15	15	1516	90	-15	15	1516	90	-15	15	1516
91	-16	16	1532	91	-16	16	1532	91	-16	16	1532	91	-16	16	1532	91	-16	16	1532	91	-16	16	1532	91	-16	16	1532
92	-19	19	1551	92	-19	19	1551	92	-19	19	1551	92	-19	19	1551	92	-19	19	1551	92	-19	19	1551	92	-19	19	1551
93	-122	23	1574	93	-122	23	1574	93	-122	23	1574	93	-122	23	1574	93	-122	23	1574	93	-122	23	1574	93	-122	23	1574
94	-134	35	1609	94	-134	35	1609	94	-134	35	1609	94	-134	35	1609	94	-134	35	1609	94	-134	35	1609	94	-134	35	1609
95	-17	17	1626	95	-17	17	1626	95	-17	17	1626	95	-17	17	1626	95	-17	17	1626	95	-17	17	1626	95	-17	17	1626
96	-18	18	1644	96	-18	18	1644	96	-18	18	1644	96	-18	18	1644	96	-18	18	1644	96	-18	18	1644	96	-18	18	1644
97	-21	21	1665	97	-21	21	1665	97	-21	21	1665	97	-21	21	1665	97	-21	21	1665	97	-21	21	1665	97	-21	21	1665
98	-15	15	1680	98	-15	15	1680	98	-15	15	1680	98	-15	15	1680	98	-15	15	1680	98	-15	15	1680	98	-15	15	1680
99	-17	17	1697	99	-17	17	1697	99	-17	17	1697	99	-17	17	1697	99	-17	17	1697	99	-17	17	1697	99	-17	17	1697
100	-22	22	1719	100	-22	22	1719	100	-22	22	1719	100	-22	22	1719	100	-22	22	1719	100	-22	22	1719	100	-22	22	1719
101	-15	15	1734	101	-15	15	1734	101	-15	15	1734	101	-15	15	1734	101	-15	15	1734	101	-15	15	1734	101	-15	15	1734
102	-19	19	1753	102	-19	19	1753	102	-19	19	1753	102	-19	19	1753	102	-19	19	1753	102	-19	19	1753	102	-19	19	1753
103	-15	15	1768	103	-15	15	1768	103	-15	15	1768	103	-15	15	1768	103	-15	15	1768	103	-15	15	1768	103	-15	15	1768
104	-15	15	1783	104	-15	15	1783	104	-15	15	1783	104	-15	15	1783	104	-15	15	1783	104	-15	15	1783	104	-15	15	1783
105	-15	15	1798	105	-15	15	1798	105	-15	15	1798	105	-15	15	1798	105	-15	15	1798	105	-15	15	1798	105	-15	15	1798
106	-20	20	1818	106	-20	20	1818	106	-20	20	1818	106	-20	20	1818	106	-20	20	1818	106	-20	20	1818	106	-20	20	1818
107	-15	15	1833	107	-15	15	1833	107	-15	15	1833	107	-15	15	1833	107	-15	15	1833	107	-15	15	1833	107	-15	15	1833
108	-17	17	1850	108	-17	17	1850	108	-17	17	1850	108	-17	17	1850	108	-17	17	1850	108	-17	17	1850	108	-17	17	1850
109	-17	17	1867	109	-17	17	1867	109	-17	17	1867	109	-17	17	1867	109	-17	17	1867	109	-17	17	1867	109	-17	17	1867
110	-17	17	1884	110	-17	17	1884	110	-17	17	1884	110	-17	17	1884	110	-17	17	1884	110	-17	17	1884	110	-17	17	1884
111	-17	17	1901	111	-17	17	1901	111	-17	17	1901	111	-17	17	1901	111	-17	17	1901	111	-17	17	1901	111	-17	17	1901
112	-20	20	1921	112	-20	20	1921	112	-20	20	1921	112	-20	20	1921	112	-20	20	1921	112	-20	20	1921	112	-20	20	1921
113	-17	17	1938	113	-17	17	1938	113	-17	17	1938	113	-17	17	1938	113	-17	17	1938	113	-17	17	1938	113	-17	17	1938
114	-19	19	1957	114	-19	19	1957	114	-19	19	1957	114	-19	19	1957	114	-19	19	1957	114	-19	19	1957	114	-19	19	1957
115	-20	20	1977	115	-20	20	1977	115	-20	20	1977	115	-20	20	1977	115	-20	20	1977	115	-20	20	1977	115	-20	20	1977
116	-17	17	1994	116	-17	17	1994	116	-17	17	1994	116	-17	17	1994	116	-17	17	1994	116	-17	17	1994	116	-17	17	1994
117	-15	15	2009	117	-15	15	2009	117	-15	15	2009	117	-15	15	2009	117	-15	15	2009	117	-15	15	2009	117	-15	15	2009
118	-21	21	2030	118	-21	21	2030	118	-21	21	2030	118	-21	21	2030	118	-21	21	2030	118	-21	21	2030	118	-21	21	2030
119	-15	15	2045	119	-15	15	2045	119	-15	15	2045	119	-15	15	2045	119	-15	15	2045	119	-15	15	2045	119	-15	15	2045
