Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-19	19	19	0	-19	19	19	0	-19	19	19	0	-19	19	19	0	-19	19	19	0	-19	19	19	0	-19	19	19	0	-19	19	19
1	-215	17	36	1	-215	17	36	1	-215	17	36	1	-215	17	36	1	-215	17	36	1	-215	17	36	1	-215	17	36	1	-215	17	36
2	-15	15	51	2	-15	15	51	2	-15	15	51	2	-15	15	51	2	-15	15	51	2	-15	15	51	2	-15	15	51	2	-15	15	51
3	-21	21	72	3	-21	21	72	3	-21	21	72	3	-21	21	72	3	-21	21	72	3	-21	21	72	3	-21	21	72	3	-21	21	72
4	-17	17	89	4	-17	17	89	4	-17	17	89	4	-17	17	89	4	-17	17	89	4	-17	17	89	4	-17	17	89	4	-17	17	89
5	-115	16	105	5	-115	16	105	5	-115	16	105	5	-115	16	105	5	-115	16	105	5	-115	16	105	5	-115	16	105	5	-115	16	105
6	-21	21	126	6	-21	21	126	6	-21	21	126	6	-21	21	126	6	-21	21	126	6	-21	21	126	6	-21	21	126	6	-21	21	126
7	-22	22	148	7	-22	22	148	7	-22	22	148	7	-22	22	148	7	-22	22	148	7	-22	22	148	7	-22	22	148	7	-22	22	148
8	-15	15	163	8	-15	15	163	8	-15	15	163	8	-15	15	163	8	-15	15	163	8	-15	15	163	8	-15	15	163	8	-15	15	163
9	-15	15	178	9	-15	15	178	9	-15	15	178	9	-15	15	178	9	-15	15	178	9	-15	15	178	9	-15	15	178	9	-15	15	178
10	-17	17	195	10	-17	17	195	10	-17	17	195	10	-17	17	195	10	-17	17	195	10	-17	17	195	10	-17	17	195	10	-17	17	195
11	-15	15	210	11	-15	15	210	11	-15	15	210	11	-15	15	210	11	-15	15	210	11	-15	15	210	11	-15	15	210	11	-15	15	210
12	-15	15	225	12	-15	15	225	12	-15	15	225	12	-15	15	225	12	-15	15	225	12	-15	15	225	12	-15	15	225	12	-15	15	225
13	-15	15	240	13	-15	15	240	13	-15	15	240	13	-15	15	240	13	-15	15	240	13	-15	15	240	13	-15	15	240	13	-15	15	240
14	-17	17	257	14	-17	17	257	14	-17	17	257	14	-17	17	257	14	-17	17	257	14	-17	17	257	14	-17	17	257	14	-17	17	257
15	-19	19	276	15	-19	19	276	15	-19	19	276	15	-19	19	276	15	-19	19	276	15	-19	19	276	15	-19	19	276	15	-19	19	276
16	-21	21	297	16	-21	21	297	16	-21	21	297	16	-21	21	297	16	-21	21	297	16	-21	21	297	16	-21	21	297	16	-21	21	297
17	-15	15	312	17	-15	15	312	17	-15	15	312	17	-15	15	312	17	-15	15	312	17	-15	15	312	17	-15	15	312	17	-15	15	312
18	-15	15	327	18	-15	15	327	18	-15	15	327	18	-15	15	327	18	-15	15	327	18	-15	15	327	18	-15	15	327	18	-15	15	327
19	-15	15	342	19	-15	15	342	19	-15	15	342	19	-15	15	342	19	-15	15	342	19	-15	15	342	19	-15	15	342	19	-15	15	342
20	-17	17	359	20	-17	17	359	20	-17	17	359	20	-17	17	359	20	-17	17	359	20	-17	17	359	20	-17	17	359	20	-17	17	359
21	-15	15	374	21	-15	15	374	21	-15	15	374	21	-15	15	374	21	-15	15	374	21	-15	15	374	21	-15	15	374	21	-15	15	374
22	-15	15	389	22	-15	15	389	22	-15	15	389	22	-15	15	389	22	-15	15	389	22	-15	15	389	22	-15	15	389	22	-15	15	389
23	-15	15	404	23	-15	15	404	23	-15	15	404	23	-15	15	404	23	-15	15	404	23	-15	15	404	23	-15	15	404	23	-15	15	404
24	-23	23	427	24	-23	23	427	24	-23	23	427	24	-23	23	427	24	-23	23	427	24	-23	23	427	24	-23	23	427	24	-23	23	427
25	-17	17	444	25	-17	17	444	25	-17	17	444	25	-17	17	444	25	-17	17	444	25	-17	17	444	25	-17	17	444	25	-17	17	444
26	-15	15	459	26	-15	15	459	26	-15	15	459	26	-15	15	459	26	-15	15	459	26	-15	15	459	26	-15	15	459	26	-15	15	459
27	-16	16	475	27	-16	16	475	27	-16	16	475	27	-16	16	475	27	-16	16	475	27	-16	16	475	27	-16	16	475	27	-16	16	475
28	-17	17	492	28	-17	17	492	28	-17	17	492	28	-17	17	492	28	-17	17	492	28	-17	17	492	28	-17	17	492	28	-17	17	492
29	-15	15	507	29	-15	15	507	29	-15	15	507	29	-15	15	507	29	-15	15	507	29	-15	15	507	29	-15	15	507	29	-15	15	507
30	-17	17	524	30	-17	17	524	30	-17	17	524	30	-17	17	524	30	-17	17	524	30	-17	17	524	30	-17	17	524	30	-17	17	524
31	-17	17	541	31	-17	17	541	31	-17	17	541	31	-17	17	541	31	-17	17	541	31	-17	17	541	31	-17	17	541	31	-17	17	541
32	-17	17	558	32	-17	17	558	32	-17	17	558	32	-17	17	558	32	-17	17	558	32	-17	17	558	32	-17	17	558	32	-17	17	558
33	-15	15	573	33	-15	15	573	33	-15	15	573	33	-15	15	573	33	-15	15	573	33	-15	15	573	33	-15	15	573	33	-15	15	573
34	-19	19	592	34	-19	19	592	34	-19	19	592	34	-19	19	592	34	-19	19	592	34	-19	19	592	34	-19	19	592	34	-19	19	592
35	-15	15	607	35	-15	15	607	35	-15	15	607	35	-15	15	607	35	-15	15	607	35	-15	15	607	35	-15	15	607	35	-15	15	607
36	-17	17	624	36	-17	17	624	36	-17	17	624	36	-17	17	624	36	-17	17	624	36	-17	17	624	36	-17	17	624	36	-17	17	624
37	-15	15	639	37	-15	15	639	37	-15	15	639	37	-15	15	639	37	-15	15	639	37	-15	15	639	37	-15	15	639	37	-15	15	639
38	-15	15	654	38	-15	15	654	38	-15	15	654	38	-15	15	654	38	-15	15	654	38	-15	15	654	38	-15	15	654	38	-15	15	654
39	-15	15	669	39	-15	15	669	39	-15	15	669	39	-15	15	669	39	-15	15	669	39	-15	15	669	39	-15	15	669	39	-15	15	669
40	-17	17	686	40	-17	17	686	40	-17	17	686	40	-17	17	686	40	-17	17	686	40	-17	17	686	40	-17	17	686	40	-17	17	686
41	-16	16	702	41	-16	16	702	41	-16	16	702	41	-16	16	702	41	-16	16	702	41	-16	16	702	41	-16	16	702	41	-16	16	702
42	-17	17	719	42	-17	17	719	42	-17	17	719	42	-17	17	719	42	-17	17	719	42	-17	17	719	42	-17	17	719	42	-17	17	719
