Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15
1	-15	15	30	1	-15	15	30	1	-15	15	30	1	-15	15	30	1	-15	15	30	1	-15	15	30	1	-15	15	30	1	-15	15	30	1	-15	15	30
2	-15	15	45	2	-15	15	45	2	-15	15	45	2	-15	15	45	2	-15	15	45	2	-15	15	45	2	-15	15	45	2	-15	15	45	2	-15	15	45
3	-17	17	62	3	-17	17	62	3	-17	17	62	3	-17	17	62	3	-17	17	62	3	-17	17	62	3	-17	17	62	3	-17	17	62	3	-17	17	62
4	-15	15	77	4	-15	15	77	4	-15	15	77	4	-15	15	77	4	-15	15	77	4	-15	15	77	4	-15	15	77	4	-15	15	77	4	-15	15	77
5	-15	15	92	5	-15	15	92	5	-15	15	92	5	-15	15	92	5	-15	15	92	5	-15	15	92	5	-15	15	92	5	-15	15	92	5	-15	15	92
6	-17	17	109	6	-17	17	109	6	-17	17	109	6	-17	17	109	6	-17	17	109	6	-17	17	109	6	-17	17	109	6	-17	17	109	6	-17	17	109
7	-17	17	126	7	-17	17	126	7	-17	17	126	7	-17	17	126	7	-17	17	126	7	-17	17	126	7	-17	17	126	7	-17	17	126	7	-17	17	126
8	-19	19	145	8	-19	19	145	8	-19	19	145	8	-19	19	145	8	-19	19	145	8	-19	19	145	8	-19	19	145	8	-19	19	145	8	-19	19	145
9	-19	19	164	9	-19	19	164	9	-19	19	164	9	-19	19	164	9	-19	19	164	9	-19	19	164	9	-19	19	164	9	-19	19	164	9	-19	19	164
10	-23	23	187	10	-23	23	187	10	-23	23	187	10	-23	23	187	10	-23	23	187	10	-23	23	187	10	-23	23	187	10	-23	23	187	10	-23	23	187
11	-17	17	204	11	-17	17	204	11	-17	17	204	11	-17	17	204	11	-17	17	204	11	-17	17	204	11	-17	17	204	11	-17	17	204	11	-17	17	204
12	-15	15	219	12	-15	15	219	12	-15	15	219	12	-15	15	219	12	-15	15	219	12	-15	15	219	12	-15	15	219	12	-15	15	219	12	-15	15	219
13	-21	21	240	13	-21	21	240	13	-21	21	240	13	-21	21	240	13	-21	21	240	13	-21	21	240	13	-21	21	240	13	-21	21	240	13	-21	21	240
14	-20	20	260	14	-20	20	260	14	-20	20	260	14	-20	20	260	14	-20	20	260	14	-20	20	260	14	-20	20	260	14	-20	20	260	14	-20	20	260
15	-19	19	279	15	-19	19	279	15	-19	19	279	15	-19	19	279	15	-19	19	279	15	-19	19	279	15	-19	19	279	15	-19	19	279	15	-19	19	279
16	-20	20	299	16	-20	20	299	16	-20	20	299	16	-20	20	299	16	-20	20	299	16	-20	20	299	16	-20	20	299	16	-20	20	299	16	-20	20	299
17	-17	17	316	17	-17	17	316	17	-17	17	316	17	-17	17	316	17	-17	17	316	17	-17	17	316	17	-17	17	316	17	-17	17	316	17	-17	17	316
18	-15	15	331	18	-15	15	331	18	-15	15	331	18	-15	15	331	18	-15	15	331	18	-15	15	331	18	-15	15	331	18	-15	15	331	18	-15	15	331
19	-16	16	347	19	-16	16	347	19	-16	16	347	19	-16	16	347	19	-16	16	347	19	-16	16	347	19	-16	16	347	19	-16	16	347	19	-16	16	347
20	-17	17	364	20	-17	17	364	20	-17	17	364	20	-17	17	364	20	-17	17	364	20	-17	17	364	20	-17	17	364	20	-17	17	364	20	-17	17	364
21	-15	15	379	21	-15	15	379	21	-15	15	379	21	-15	15	379	21	-15	15	379	21	-15	15	379	21	-15	15	379	21	-15	15	379	21	-15	15	379
22	-15	15	394	22	-15	15	394	22	-15	15	394	22	-15	15	394	22	-15	15	394	22	-15	15	394	22	-15	15	394	22	-15	15	394	22	-15	15	394
23	-17	17	411	23	-17	17	411	23	-17	17	411	23	-17	17	411	23	-17	17	411	23	-17	17	411	23	-17	17	411	23	-17	17	411	23	-17	17	411
24	-17	17	428	24	-17	17	428	24	-17	17	428	24	-17	17	428	24	-17	17	428	24	-17	17	428	24	-17	17	428	24	-17	17	428	24	-17	17	428
