Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15
1	-15	15	30	1	-15	15	30	1	-15	15	30	1	-15	15	30	1	-15	15	30	1	-15	15	30	1	-15	15	30	1	-15	15	30	1	-15	15	30	1	-15	15	30
2	-23	23	53	2	-23	23	53	2	-23	23	53	2	-23	23	53	2	-23	23	53	2	-23	23	53	2	-23	23	53	2	-23	23	53	2	-23	23	53	2	-23	23	53
3	-17	17	70	3	-17	17	70	3	-17	17	70	3	-17	17	70	3	-17	17	70	3	-17	17	70	3	-17	17	70	3	-17	17	70	3	-17	17	70	3	-17	17	70
4	-18	18	88	4	-18	18	88	4	-18	18	88	4	-18	18	88	4	-18	18	88	4	-18	18	88	4	-18	18	88	4	-18	18	88	4	-18	18	88	4	-18	18	88
5	-16	16	104	5	-16	16	104	5	-16	16	104	5	-16	16	104	5	-16	16	104	5	-16	16	104	5	-16	16	104	5	-16	16	104	5	-16	16	104	5	-16	16	104
6	-21	21	125	6	-21	21	125	6	-21	21	125	6	-21	21	125	6	-21	21	125	6	-21	21	125	6	-21	21	125	6	-21	21	125	6	-21	21	125	6	-21	21	125
7	-19	19	144	7	-19	19	144	7	-19	19	144	7	-19	19	144	7	-19	19	144	7	-19	19	144	7	-19	19	144	7	-19	19	144	7	-19	19	144	7	-19	19	144
8	-130	31	175	8	-130	31	175	8	-130	31	175	8	-130	31	175	8	-130	31	175	8	-130	31	175	8	-130	31	175	8	-130	31	175	8	-130	31	175	8	-130	31	175
9	-15	15	190	9	-15	15	190	9	-15	15	190	9	-15	15	190	9	-15	15	190	9	-15	15	190	9	-15	15	190	9	-15	15	190	9	-15	15	190	9	-15	15	190
10	-17	17	207	10	-17	17	207	10	-17	17	207	10	-17	17	207	10	-17	17	207	10	-17	17	207	10	-17	17	207	10	-17	17	207	10	-17	17	207	10	-17	17	207
11	-15	15	222	11	-15	15	222	11	-15	15	222	11	-15	15	222	11	-15	15	222	11	-15	15	222	11	-15	15	222	11	-15	15	222	11	-15	15	222	11	-15	15	222
