Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-14	14	14	0	-14	14	14
1	-13	13	27	1	-13	13	27
2	-14	14	41	2	-14	14	41
3	-13	13	54	3	-13	13	54
4	-15	15	69	4	-15	15	69
5	-20	20	89	5	-20	20	89
6	-14	14	103	6	-14	14	103
7	-121	22	125	7	-121	22	125
8	-19	19	144	8	-19	19	144
9	-15	15	159	9	-15	15	159
10	-119	20	179	10	-119	20	179
11	-234	36	215	11	-234	36	215
12	-21	21	236	12	-21	21	236
13	-15	15	251	13	-15	15	251
14	-238	40	291	14	-238	40	291
15	-15	15	306	15	-15	15	306
16	-13	13	319	16	-13	13	319
17	-118	19	338	17	-118	19	338
18	-15	15	353	18	-15	15	353
19	-13	13	366	19	-13	13	366
20	-15	15	381	20	-15	15	381
21	-15	15	396	21	-15	15	396
22	-228	30	426	22	-228	30	426
23	-13	13	439	23	-13	13	439
24	-122	23	462	24	-122	23	462
25	-13	13	475	25	-13	13	475
26	-16	16	491	26	-16	16	491
27	-13	13	504	27	-13	13	504
28	-13	13	517	28	-13	13	517
29	-13	13	530	29	-13	13	530
30	-15	15	545	30	-15	15	545
31	-13	13	558	31	-13	13	558
32	-13	13	571	32	-13	13	571
33	-14	14	585	33	-14	14	585
34	-17	17	602	34	-17	17	602
35	-13	13	615	35	-13	13	615
36	-13	13	628	36	-13	13	628
37	-15	15	643	37	-15	15	643
38	-15	15	658	38	-15	15	658
39	-20	20	678	39	-20	20	678
40	-13	13	691	40	-13	13	691
41	-15	15	706	41	-15	15	706
42	-221	23	729	42	-221	23	729
43	-15	15	744	43	-15	15	744
44	-119	20	764	44	-119	20	764
45	-16	16	780	45	-16	16	780
46	-15	15	795	46	-15	15	795
47	-115	16	811	47	-115	16	811
48	-121	22	833	48	-121	22	833
49	-117	18	851	49	-117	18	851
50	-120	21	872	50	-120	21	872
51	-122	23	895	51	-122	23	895
52	-13	13	908	52	-13	13	908
53	-123	24	932	53	-123	24	932
54	-15	15	947	54	-15	15	947
55	-13	13	960	55	-13	13	960
56	-13	13	973	56	-13	13	973
57	-13	13	986	57	-13	13	986
58	-118	19	1005	58	-118	19	1005
59	-13	13	1018	59	-13	13	1018
60	-13	13	1031	60	-13	13	1031
61	-13	13	1044	61	-13	13	1044
62	-115	16	1060	62	-115	16	1060
63	-13	13	1073	63	-13	13	1073
64	-14	14	1087	64	-14	14	1087
65	-17	17	1104	65	-17	17	1104
66	-15	15	1119	66	-15	15	1119
67	-16	16	1135	67	-16	16	1135
68	-123	24	1159	68	-123	24	1159
69	-331	34	1193	69	-331	34	1193
70	-13	13	1206	70	-13	13	1206
71	-13	13	1219	71	-13	13	1219
72	-15	15	1234	72	-15	15	1234
73	-17	17	1251	73	-17	17	1251
74	-119	20	1271	74	-119	20	1271
75	-13	13	1284	75	-13	13	1284
76	-15	15	1299	76	-15	15	1299
77	-18	18	1317	77	-18	18	1317
78	-15	15	1332	78	-15	15	1332
79	-13	13	1345	79	-13	13	1345
80	-15	15	1360	80	-15	15	1360
81	-14	14	1374	81	-14	14	1374
82	-13	13	1387	82	-13	13	1387
83	-113	14	1401	83	-113	14	1401
84	-15	15	1416	84	-15	15	1416
85	-325	28	1444	85	-325	28	1444
86	-225	27	1471	86	-225	27	1471
87	-13	13	1484	87	-13	13	1484
88	-14	14	1498	88	-14	14	1498
89	-15	15	1513	89	-15	15	1513
90	-13	13	1526	90	-13	13	1526
91	-16	16	1542	91	-16	16	1542
92	-15	15	1557	92	-15	15	1557
93	-123	24	1581	93	-123	24	1581
