Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-19	19	19	0	-19	19	19	0	-19	19	19	0	-19	19	19	0	-19	19	19
1	-13	13	32	1	-13	13	32	1	-13	13	32	1	-13	13	32	1	-13	13	32
2	-21	21	53	2	-21	21	53	2	-21	21	53	2	-21	21	53	2	-21	21	53
3	-15	15	68	3	-15	15	68	3	-15	15	68	3	-15	15	68	3	-15	15	68
4	-17	17	85	4	-17	17	85	4	-17	17	85	4	-17	17	85	4	-17	17	85
5	-15	15	100	5	-15	15	100	5	-15	15	100	5	-15	15	100	5	-15	15	100
6	-13	13	113	6	-13	13	113	6	-13	13	113	6	-13	13	113	6	-13	13	113
7	-13	13	126	7	-13	13	126	7	-13	13	126	7	-13	13	126	7	-13	13	126
8	-15	15	141	8	-15	15	141	8	-15	15	141	8	-15	15	141	8	-15	15	141
9	-15	15	156	9	-15	15	156	9	-15	15	156	9	-15	15	156	9	-15	15	156
10	-15	15	171	10	-15	15	171	10	-15	15	171	10	-15	15	171	10	-15	15	171
11	-122	23	194	11	-122	23	194	11	-122	23	194	11	-122	23	194	11	-122	23	194
12	-13	13	207	12	-13	13	207	12	-13	13	207	12	-13	13	207	12	-13	13	207
13	-119	20	227	13	-119	20	227	13	-119	20	227	13	-119	20	227	13	-119	20	227
14	-19	19	246	14	-19	19	246	14	-19	19	246	14	-19	19	246	14	-19	19	246
15	-15	15	261	15	-15	15	261	15	-15	15	261	15	-15	15	261	15	-15	15	261
16	-17	17	278	16	-17	17	278	16	-17	17	278	16	-17	17	278	16	-17	17	278
17	-118	19	297	17	-118	19	297	17	-118	19	297	17	-118	19	297	17	-118	19	297
18	-13	13	310	18	-13	13	310	18	-13	13	310	18	-13	13	310	18	-13	13	310
19	-15	15	325	19	-15	15	325	19	-15	15	325	19	-15	15	325	19	-15	15	325
20	-15	15	340	20	-15	15	340	20	-15	15	340	20	-15	15	340	20	-15	15	340
21	-113	14	354	21	-113	14	354	21	-113	14	354	21	-113	14	354	21	-113	14	354
