Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15
1	-13	13	28	1	-13	13	28	1	-13	13	28	1	-13	13	28	1	-13	13	28	1	-13	13	28	1	-13	13	28	1	-13	13	28
2	-18	18	46	2	-18	18	46	2	-18	18	46	2	-18	18	46	2	-18	18	46	2	-18	18	46	2	-18	18	46	2	-18	18	46
3	-223	25	71	3	-223	25	71	3	-223	25	71	3	-223	25	71	3	-223	25	71	3	-223	25	71	3	-223	25	71	3	-223	25	71
4	-13	13	84	4	-13	13	84	4	-13	13	84	4	-13	13	84	4	-13	13	84	4	-13	13	84	4	-13	13	84	4	-13	13	84
5	-13	13	97	5	-13	13	97	5	-13	13	97	5	-13	13	97	5	-13	13	97	5	-13	13	97	5	-13	13	97	5	-13	13	97
6	-222	24	121	6	-222	24	121	6	-222	24	121	6	-222	24	121	6	-222	24	121	6	-222	24	121	6	-222	24	121	6	-222	24	121
7	-15	15	136	7	-15	15	136	7	-15	15	136	7	-15	15	136	7	-15	15	136	7	-15	15	136	7	-15	15	136	7	-15	15	136
8	-13	13	149	8	-13	13	149	8	-13	13	149	8	-13	13	149	8	-13	13	149	8	-13	13	149	8	-13	13	149	8	-13	13	149
9	-13	13	162	9	-13	13	162	9	-13	13	162	9	-13	13	162	9	-13	13	162	9	-13	13	162	9	-13	13	162	9	-13	13	162
10	-127	28	190	10	-127	28	190	10	-127	28	190	10	-127	28	190	10	-127	28	190	10	-127	28	190	10	-127	28	190	10	-127	28	190
11	-16	16	206	11	-16	16	206	11	-16	16	206	11	-16	16	206	11	-16	16	206	11	-16	16	206	11	-16	16	206	11	-16	16	206
12	-13	13	219	12	-13	13	219	12	-13	13	219	12	-13	13	219	12	-13	13	219	12	-13	13	219	12	-13	13	219	12	-13	13	219
13	-116	17	236	13	-116	17	236	13	-116	17	236	13	-116	17	236	13	-116	17	236	13	-116	17	236	13	-116	17	236	13	-116	17	236
14	-121	22	258	14	-121	22	258	14	-121	22	258	14	-121	22	258	14	-121	22	258	14	-121	22	258	14	-121	22	258	14	-121	22	258
15	-15	15	273	15	-15	15	273	15	-15	15	273	15	-15	15	273	15	-15	15	273	15	-15	15	273	15	-15	15	273	15	-15	15	273
16	-15	15	288	16	-15	15	288	16	-15	15	288	16	-15	15	288	16	-15	15	288	16	-15	15	288	16	-15	15	288	16	-15	15	288
17	-17	17	305	17	-17	17	305	17	-17	17	305	17	-17	17	305	17	-17	17	305	17	-17	17	305	17	-17	17	305	17	-17	17	305
18	-15	15	320	18	-15	15	320	18	-15	15	320	18	-15	15	320	18	-15	15	320	18	-15	15	320	18	-15	15	320	18	-15	15	320
19	-13	13	333	19	-13	13	333	19	-13	13	333	19	-13	13	333	19	-13	13	333	19	-13	13	333	19	-13	13	333	19	-13	13	333
20	-13	13	346	20	-13	13	346	20	-13	13	346	20	-13	13	346	20	-13	13	346	20	-13	13	346	20	-13	13	346	20	-13	13	346
21	-13	13	359	21	-13	13	359	21	-13	13	359	21	-13	13	359	21	-13	13	359	21	-13	13	359	21	-13	13	359	21	-13	13	359
22	-13	13	372	22	-13	13	372	22	-13	13	372	22	-13	13	372	22	-13	13	372	22	-13	13	372	22	-13	13	372	22	-13	13	372
23	-13	13	385	23	-13	13	385	23	-13	13	385	23	-13	13	385	23	-13	13	385	23	-13	13	385	23	-13	13	385	23	-13	13	385
