Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15
1	-15	15	30	1	-15	15	30	1	-15	15	30	1	-15	15	30	1	-15	15	30	1	-15	15	30	1	-15	15	30	1	-15	15	30	1	-15	15	30	1	-15	15	30	1	-15	15	30
2	-13	13	43	2	-13	13	43	2	-13	13	43	2	-13	13	43	2	-13	13	43	2	-13	13	43	2	-13	13	43	2	-13	13	43	2	-13	13	43	2	-13	13	43	2	-13	13	43
3	-15	15	58	3	-15	15	58	3	-15	15	58	3	-15	15	58	3	-15	15	58	3	-15	15	58	3	-15	15	58	3	-15	15	58	3	-15	15	58	3	-15	15	58	3	-15	15	58
4	-13	13	71	4	-13	13	71	4	-13	13	71	4	-13	13	71	4	-13	13	71	4	-13	13	71	4	-13	13	71	4	-13	13	71	4	-13	13	71	4	-13	13	71	4	-13	13	71
5	-13	13	84	5	-13	13	84	5	-13	13	84	5	-13	13	84	5	-13	13	84	5	-13	13	84	5	-13	13	84	5	-13	13	84	5	-13	13	84	5	-13	13	84	5	-13	13	84
6	-14	14	98	6	-14	14	98	6	-14	14	98	6	-14	14	98	6	-14	14	98	6	-14	14	98	6	-14	14	98	6	-14	14	98	6	-14	14	98	6	-14	14	98	6	-14	14	98
7	-13	13	111	7	-13	13	111	7	-13	13	111	7	-13	13	111	7	-13	13	111	7	-13	13	111	7	-13	13	111	7	-13	13	111	7	-13	13	111	7	-13	13	111	7	-13	13	111
8	-15	15	126	8	-15	15	126	8	-15	15	126	8	-15	15	126	8	-15	15	126	8	-15	15	126	8	-15	15	126	8	-15	15	126	8	-15	15	126	8	-15	15	126	8	-15	15	126
9	-13	13	139	9	-13	13	139	9	-13	13	139	9	-13	13	139	9	-13	13	139	9	-13	13	139	9	-13	13	139	9	-13	13	139	9	-13	13	139	9	-13	13	139	9	-13	13	139
10	-17	17	156	10	-17	17	156	10	-17	17	156	10	-17	17	156	10	-17	17	156	10	-17	17	156	10	-17	17	156	10	-17	17	156	10	-17	17	156	10	-17	17	156	10	-17	17	156
11	-15	15	171	11	-15	15	171	11	-15	15	171	11	-15	15	171	11	-15	15	171	11	-15	15	171	11	-15	15	171	11	-15	15	171	11	-15	15	171	11	-15	15	171	11	-15	15	171
12	-17	17	188	12	-17	17	188	12	-17	17	188	12	-17	17	188	12	-17	17	188	12	-17	17	188	12	-17	17	188	12	-17	17	188	12	-17	17	188	12	-17	17	188	12	-17	17	188
13	-13	13	201	13	-13	13	201	13	-13	13	201	13	-13	13	201	13	-13	13	201	13	-13	13	201	13	-13	13	201	13	-13	13	201	13	-13	13	201	13	-13	13	201	13	-13	13	201
14	-13	13	214	14	-13	13	214	14	-13	13	214	14	-13	13	214	14	-13	13	214	14	-13	13	214	14	-13	13	214	14	-13	13	214	14	-13	13	214	14	-13	13	214	14	-13	13	214
15	-119	20	234	15	-119	20	234	15	-119	20	234	15	-119	20	234	15	-119	20	234	15	-119	20	234	15	-119	20	234	15	-119	20	234	15	-119	20	234	15	-119	20	234	15	-119	20	234
16	-13	13	247	16	-13	13	247	16	-13	13	247	16	-13	13	247	16	-13	13	247	16	-13	13	247	16	-13	13	247	16	-13	13	247	16	-13	13	247	16	-13	13	247	16	-13	13	247
17	-13	13	260	17	-13	13	260	17	-13	13	260	17	-13	13	260	17	-13	13	260	17	-13	13	260	17	-13	13	260	17	-13	13	260	17	-13	13	260	17	-13	13	260	17	-13	13	260
18	-15	15	275	18	-15	15	275	18	-15	15	275	18	-15	15	275	18	-15	15	275	18	-15	15	275	18	-15	15	275	18	-15	15	275	18	-15	15	275	18	-15	15	275	18	-15	15	275
