Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15
1	-17	17	32	1	-17	17	32	1	-17	17	32	1	-17	17	32	1	-17	17	32	1	-17	17	32	1	-17	17	32	1	-17	17	32	1	-17	17	32	1	-17	17	32	1	-17	17	32	1	-17	17	32	1	-17	17	32	1	-17	17	32
2	-13	13	45	2	-13	13	45	2	-13	13	45	2	-13	13	45	2	-13	13	45	2	-13	13	45	2	-13	13	45	2	-13	13	45	2	-13	13	45	2	-13	13	45	2	-13	13	45	2	-13	13	45	2	-13	13	45	2	-13	13	45
3	-226	28	73	3	-226	28	73	3	-226	28	73	3	-226	28	73	3	-226	28	73	3	-226	28	73	3	-226	28	73	3	-226	28	73	3	-226	28	73	3	-226	28	73	3	-226	28	73	3	-226	28	73	3	-226	28	73	3	-226	28	73
4	-15	15	88	4	-15	15	88	4	-15	15	88	4	-15	15	88	4	-15	15	88	4	-15	15	88	4	-15	15	88	4	-15	15	88	4	-15	15	88	4	-15	15	88	4	-15	15	88	4	-15	15	88	4	-15	15	88	4	-15	15	88
5	-128	29	117	5	-128	29	117	5	-128	29	117	5	-128	29	117	5	-128	29	117	5	-128	29	117	5	-128	29	117	5	-128	29	117	5	-128	29	117	5	-128	29	117	5	-128	29	117	5	-128	29	117	5	-128	29	117	5	-128	29	117
6	-123	24	141	6	-123	24	141	6	-123	24	141	6	-123	24	141	6	-123	24	141	6	-123	24	141	6	-123	24	141	6	-123	24	141	6	-123	24	141	6	-123	24	141	6	-123	24	141	6	-123	24	141	6	-123	24	141	6	-123	24	141
7	-13	13	154	7	-13	13	154	7	-13	13	154	7	-13	13	154	7	-13	13	154	7	-13	13	154	7	-13	13	154	7	-13	13	154	7	-13	13	154	7	-13	13	154	7	-13	13	154	7	-13	13	154	7	-13	13	154	7	-13	13	154
8	-15	15	169	8	-15	15	169	8	-15	15	169	8	-15	15	169	8	-15	15	169	8	-15	15	169	8	-15	15	169	8	-15	15	169	8	-15	15	169	8	-15	15	169	8	-15	15	169	8	-15	15	169	8	-15	15	169	8	-15	15	169
9	-13	13	182	9	-13	13	182	9	-13	13	182	9	-13	13	182	9	-13	13	182	9	-13	13	182	9	-13	13	182	9	-13	13	182	9	-13	13	182	9	-13	13	182	9	-13	13	182	9	-13	13	182	9	-13	13	182	9	-13	13	182
10	-230	32	214	10	-230	32	214	10	-230	32	214	10	-230	32	214	10	-230	32	214	10	-230	32	214	10	-230	32	214	10	-230	32	214	10	-230	32	214	10	-230	32	214	10	-230	32	214	10	-230	32	214	10	-230	32	214	10	-230	32	214
11	-15	15	229	11	-15	15	229	11	-15	15	229	11	-15	15	229	11	-15	15	229	11	-15	15	229	11	-15	15	229	11	-15	15	229	11	-15	15	229	11	-15	15	229	11	-15	15	229	11	-15	15	229	11	-15	15	229	11	-15	15	229
12	-13	13	242	12	-13	13	242	12	-13	13	242	12	-13	13	242	12	-13	13	242	12	-13	13	242	12	-13	13	242	12	-13	13	242	12	-13	13	242	12	-13	13	242	12	-13	13	242	12	-13	13	242	12	-13	13	242	12	-13	13	242
13	-13	13	255	13	-13	13	255	13	-13	13	255	13	-13	13	255	13	-13	13	255	13	-13	13	255	13	-13	13	255	13	-13	13	255	13	-13	13	255	13	-13	13	255	13	-13	13	255	13	-13	13	255	13	-13	13	255	13	-13	13	255
14	-13	13	268	14	-13	13	268	14	-13	13	268	14	-13	13	268	14	-13	13	268	14	-13	13	268	14	-13	13	268	14	-13	13	268	14	-13	13	268	14	-13	13	268	14	-13	13	268	14	-13	13	268	14	-13	13	268	14	-13	13	268
15	-13	13	281	15	-13	13	281	15	-13	13	281	15	-13	13	281	15	-13	13	281	15	-13	13	281	15	-13	13	281	15	-13	13	281	15	-13	13	281	15	-13	13	281	15	-13	13	281	15	-13	13	281	15	-13	13	281	15	-13	13	281
16	-13	13	294	16	-13	13	294	16	-13	13	294	16	-13	13	294	16	-13	13	294	16	-13	13	294	16	-13	13	294	16	-13	13	294	16	-13	13	294	16	-13	13	294	16	-13	13	294	16	-13	13	294	16	-13	13	294	16	-13	13	294
17	-13	13	307	17	-13	13	307	17	-13	13	307	17	-13	13	307	17	-13	13	307	17	-13	13	307	17	-13	13	307	17	-13	13	307	17	-13	13	307	17	-13	13	307	17	-13	13	307	17	-13	13	307	17	-13	13	307	17	-13	13	307
18	-13	13	320	18	-13	13	320	18	-13	13	320	18	-13	13	320	18	-13	13	320	18	-13	13	320	18	-13	13	320	18	-13	13	320	18	-13	13	320	18	-13	13	320	18	-13	13	320	18	-13	13	320	18	-13	13	320	18	-13	13	320
19	-15	15	335	19	-15	15	335	19	-15	15	335	19	-15	15	335	19	-15	15	335	19	-15	15	335	19	-15	15	335	19	-15	15	335	19	-15	15	335	19	-15	15	335	19	-15	15	335	19	-15	15	335	19	-15	15	335	19	-15	15	335
20	-226	28	363	20	-226	28	363	20	-226	28	363	20	-226	28	363	20	-226	28	363	20	-226	28	363	20	-226	28	363	20	-226	28	363	20	-226	28	363	20	-226	28	363	20	-226	28	363	20	-226	28	363	20	-226	28	363	20	-226	28	363
21	-16	16	379	21	-16	16	379	21	-16	16	379	21	-16	16	379	21	-16	16	379	21	-16	16	379	21	-16	16	379	21	-16	16	379	21	-16	16	379	21	-16	16	379	21	-16	16	379	21	-16	16	379	21	-16	16	379	21	-16	16	379
22	-13	13	392	22	-13	13	392	22	-13	13	392	22	-13	13	392	22	-13	13	392	22	-13	13	392	22	-13	13	392	22	-13	13	392	22	-13	13	392	22	-13	13	392	22	-13	13	392	22	-13	13	392	22	-13	13	392	22	-13	13	392
23	-13	13	405	23	-13	13	405	23	-13	13	405	23	-13	13	405	23	-13	13	405	23	-13	13	405	23	-13	13	405	23	-13	13	405	23	-13	13	405	23	-13	13	405	23	-13	13	405	23	-13	13	405	23	-13	13	405	23	-13	13	405
24	-15	15	420	24	-15	15	420	24	-15	15	420	24	-15	15	420	24	-15	15	420	24	-15	15	420	24	-15	15	420	24	-15	15	420	24	-15	15	420	24	-15	15	420	24	-15	15	420	24	-15	15	420	24	-15	15	420	24	-15	15	420
25	-113	14	434	25	-113	14	434	25	-113	14	434	25	-113	14	434	25	-113	14	434	25	-113	14	434	25	-113	14	434	25	-113	14	434	25	-113	14	434	25	-113	14	434	25	-113	14	434	25	-113	14	434	25	-113	14	434	25	-113	14	434
