Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-219	21	21	0	-219	21	21	0	-219	21	21	0	-219	21	21	0	-219	21	21	0	-219	21	21	0	-219	21	21	0	-219	21	21	0	-219	21	21	0	-219	21	21	0	-219	21	21	0	-219	21	21	0	-219	21	21	0	-219	21	21	0	-219	21	21	0	-219	21	21	0	-219	21	21
1	-220	22	43	1	-220	22	43	1	-220	22	43	1	-220	22	43	1	-220	22	43	1	-220	22	43	1	-220	22	43	1	-220	22	43	1	-220	22	43	1	-220	22	43	1	-220	22	43	1	-220	22	43	1	-220	22	43	1	-220	22	43	1	-220	22	43	1	-220	22	43	1	-220	22	43
2	-13	13	56	2	-13	13	56	2	-13	13	56	2	-13	13	56	2	-13	13	56	2	-13	13	56	2	-13	13	56	2	-13	13	56	2	-13	13	56	2	-13	13	56	2	-13	13	56	2	-13	13	56	2	-13	13	56	2	-13	13	56	2	-13	13	56	2	-13	13	56	2	-13	13	56
3	-15	15	71	3	-15	15	71	3	-15	15	71	3	-15	15	71	3	-15	15	71	3	-15	15	71	3	-15	15	71	3	-15	15	71	3	-15	15	71	3	-15	15	71	3	-15	15	71	3	-15	15	71	3	-15	15	71	3	-15	15	71	3	-15	15	71	3	-15	15	71	3	-15	15	71
4	-13	13	84	4	-13	13	84	4	-13	13	84	4	-13	13	84	4	-13	13	84	4	-13	13	84	4	-13	13	84	4	-13	13	84	4	-13	13	84	4	-13	13	84	4	-13	13	84	4	-13	13	84	4	-13	13	84	4	-13	13	84	4	-13	13	84	4	-13	13	84	4	-13	13	84
5	-13	13	97	5	-13	13	97	5	-13	13	97	5	-13	13	97	5	-13	13	97	5	-13	13	97	5	-13	13	97	5	-13	13	97	5	-13	13	97	5	-13	13	97	5	-13	13	97	5	-13	13	97	5	-13	13	97	5	-13	13	97	5	-13	13	97	5	-13	13	97	5	-13	13	97
6	-13	13	110	6	-13	13	110	6	-13	13	110	6	-13	13	110	6	-13	13	110	6	-13	13	110	6	-13	13	110	6	-13	13	110	6	-13	13	110	6	-13	13	110	6	-13	13	110	6	-13	13	110	6	-13	13	110	6	-13	13	110	6	-13	13	110	6	-13	13	110	6	-13	13	110
7	-17	17	127	7	-17	17	127	7	-17	17	127	7	-17	17	127	7	-17	17	127	7	-17	17	127	7	-17	17	127	7	-17	17	127	7	-17	17	127	7	-17	17	127	7	-17	17	127	7	-17	17	127	7	-17	17	127	7	-17	17	127	7	-17	17	127	7	-17	17	127	7	-17	17	127
8	-13	13	140	8	-13	13	140	8	-13	13	140	8	-13	13	140	8	-13	13	140	8	-13	13	140	8	-13	13	140	8	-13	13	140	8	-13	13	140	8	-13	13	140	8	-13	13	140	8	-13	13	140	8	-13	13	140	8	-13	13	140	8	-13	13	140	8	-13	13	140	8	-13	13	140
9	-117	18	158	9	-117	18	158	9	-117	18	158	9	-117	18	158	9	-117	18	158	9	-117	18	158	9	-117	18	158	9	-117	18	158	9	-117	18	158	9	-117	18	158	9	-117	18	158	9	-117	18	158	9	-117	18	158	9	-117	18	158	9	-117	18	158	9	-117	18	158	9	-117	18	158
10	-21	21	179	10	-21	21	179	10	-21	21	179	10	-21	21	179	10	-21	21	179	10	-21	21	179	10	-21	21	179	10	-21	21	179	10	-21	21	179	10	-21	21	179	10	-21	21	179	10	-21	21	179	10	-21	21	179	10	-21	21	179	10	-21	21	179	10	-21	21	179	10	-21	21	179
11	-122	23	202	11	-122	23	202	11	-122	23	202	11	-122	23	202	11	-122	23	202	11	-122	23	202	11	-122	23	202	11	-122	23	202	11	-122	23	202	11	-122	23	202	11	-122	23	202	11	-122	23	202	11	-122	23	202	11	-122	23	202	11	-122	23	202	11	-122	23	202	11	-122	23	202
