Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13
1	-13	13	26	1	-13	13	26	1	-13	13	26	1	-13	13	26	1	-13	13	26	1	-13	13	26	1	-13	13	26	1	-13	13	26	1	-13	13	26	1	-13	13	26	1	-13	13	26	1	-13	13	26	1	-13	13	26	1	-13	13	26	1	-13	13	26	1	-13	13	26	1	-13	13	26	1	-13	13	26	1	-13	13	26	1	-13	13	26
2	-15	15	41	2	-15	15	41	2	-15	15	41	2	-15	15	41	2	-15	15	41	2	-15	15	41	2	-15	15	41	2	-15	15	41	2	-15	15	41	2	-15	15	41	2	-15	15	41	2	-15	15	41	2	-15	15	41	2	-15	15	41	2	-15	15	41	2	-15	15	41	2	-15	15	41	2	-15	15	41	2	-15	15	41	2	-15	15	41
3	-13	13	54	3	-13	13	54	3	-13	13	54	3	-13	13	54	3	-13	13	54	3	-13	13	54	3	-13	13	54	3	-13	13	54	3	-13	13	54	3	-13	13	54	3	-13	13	54	3	-13	13	54	3	-13	13	54	3	-13	13	54	3	-13	13	54	3	-13	13	54	3	-13	13	54	3	-13	13	54	3	-13	13	54	3	-13	13	54
4	-19	19	73	4	-19	19	73	4	-19	19	73	4	-19	19	73	4	-19	19	73	4	-19	19	73	4	-19	19	73	4	-19	19	73	4	-19	19	73	4	-19	19	73	4	-19	19	73	4	-19	19	73	4	-19	19	73	4	-19	19	73	4	-19	19	73	4	-19	19	73	4	-19	19	73	4	-19	19	73	4	-19	19	73	4	-19	19	73
5	-13	13	86	5	-13	13	86	5	-13	13	86	5	-13	13	86	5	-13	13	86	5	-13	13	86	5	-13	13	86	5	-13	13	86	5	-13	13	86	5	-13	13	86	5	-13	13	86	5	-13	13	86	5	-13	13	86	5	-13	13	86	5	-13	13	86	5	-13	13	86	5	-13	13	86	5	-13	13	86	5	-13	13	86	5	-13	13	86
6	-18	18	104	6	-18	18	104	6	-18	18	104	6	-18	18	104	6	-18	18	104	6	-18	18	104	6	-18	18	104	6	-18	18	104	6	-18	18	104	6	-18	18	104	6	-18	18	104	6	-18	18	104	6	-18	18	104	6	-18	18	104	6	-18	18	104	6	-18	18	104	6	-18	18	104	6	-18	18	104	6	-18	18	104	6	-18	18	104
7	-15	15	119	7	-15	15	119	7	-15	15	119	7	-15	15	119	7	-15	15	119	7	-15	15	119	7	-15	15	119	7	-15	15	119	7	-15	15	119	7	-15	15	119	7	-15	15	119	7	-15	15	119	7	-15	15	119	7	-15	15	119	7	-15	15	119	7	-15	15	119	7	-15	15	119	7	-15	15	119	7	-15	15	119	7	-15	15	119
8	-15	15	134	8	-15	15	134	8	-15	15	134	8	-15	15	134	8	-15	15	134	8	-15	15	134	8	-15	15	134	8	-15	15	134	8	-15	15	134	8	-15	15	134	8	-15	15	134	8	-15	15	134	8	-15	15	134	8	-15	15	134	8	-15	15	134	8	-15	15	134	8	-15	15	134	8	-15	15	134	8	-15	15	134	8	-15	15	134
9	-13	13	147	9	-13	13	147	9	-13	13	147	9	-13	13	147	9	-13	13	147	9	-13	13	147	9	-13	13	147	9	-13	13	147	9	-13	13	147	9	-13	13	147	9	-13	13	147	9	-13	13	147	9	-13	13	147	9	-13	13	147	9	-13	13	147	9	-13	13	147	9	-13	13	147	9	-13	13	147	9	-13	13	147	9	-13	13	147
10	-13	13	160	10	-13	13	160	10	-13	13	160	10	-13	13	160	10	-13	13	160	10	-13	13	160	10	-13	13	160	10	-13	13	160	10	-13	13	160	10	-13	13	160	10	-13	13	160	10	-13	13	160	10	-13	13	160	10	-13	13	160	10	-13	13	160	10	-13	13	160	10	-13	13	160	10	-13	13	160	10	-13	13	160	10	-13	13	160
11	-13	13	173	11	-13	13	173	11	-13	13	173	11	-13	13	173	11	-13	13	173	11	-13	13	173	11	-13	13	173	11	-13	13	173	11	-13	13	173	11	-13	13	173	11	-13	13	173	11	-13	13	173	11	-13	13	173	11	-13	13	173	11	-13	13	173	11	-13	13	173	11	-13	13	173	11	-13	13	173	11	-13	13	173	11	-13	13	173
12	-13	13	186	12	-13	13	186	12	-13	13	186	12	-13	13	186	12	-13	13	186	12	-13	13	186	12	-13	13	186	12	-13	13	186	12	-13	13	186	12	-13	13	186	12	-13	13	186	12	-13	13	186	12	-13	13	186	12	-13	13	186	12	-13	13	186	12	-13	13	186	12	-13	13	186	12	-13	13	186	12	-13	13	186	12	-13	13	186
13	-13	13	199	13	-13	13	199	13	-13	13	199	13	-13	13	199	13	-13	13	199	13	-13	13	199	13	-13	13	199	13	-13	13	199	13	-13	13	199	13	-13	13	199	13	-13	13	199	13	-13	13	199	13	-13	13	199	13	-13	13	199	13	-13	13	199	13	-13	13	199	13	-13	13	199	13	-13	13	199	13	-13	13	199	13	-13	13	199
14	-17	17	216	14	-17	17	216	14	-17	17	216	14	-17	17	216	14	-17	17	216	14	-17	17	216	14	-17	17	216	14	-17	17	216	14	-17	17	216	14	-17	17	216	14	-17	17	216	14	-17	17	216	14	-17	17	216	14	-17	17	216	14	-17	17	216	14	-17	17	216	14	-17	17	216	14	-17	17	216	14	-17	17	216	14	-17	17	216
15	-120	21	237	15	-120	21	237	15	-120	21	237	15	-120	21	237	15	-120	21	237	15	-120	21	237	15	-120	21	237	15	-120	21	237	15	-120	21	237	15	-120	21	237	15	-120	21	237	15	-120	21	237	15	-120	21	237	15	-120	21	237	15	-120	21	237	15	-120	21	237	15	-120	21	237	15	-120	21	237	15	-120	21	237	15	-120	21	237
16	-13	13	250	16	-13	13	250	16	-13	13	250	16	-13	13	250	16	-13	13	250	16	-13	13	250	16	-13	13	250	16	-13	13	250	16	-13	13	250	16	-13	13	250	16	-13	13	250	16	-13	13	250	16	-13	13	250	16	-13	13	250	16	-13	13	250	16	-13	13	250	16	-13	13	250	16	-13	13	250	16	-13	13	250	16	-13	13	250
17	-224	26	276	17	-224	26	276	17	-224	26	276	17	-224	26	276	17	-224	26	276	17	-224	26	276	17	-224	26	276	17	-224	26	276	17	-224	26	276	17	-224	26	276	17	-224	26	276	17	-224	26	276	17	-224	26	276	17	-224	26	276	17	-224	26	276	17	-224	26	276	17	-224	26	276	17	-224	26	276	17	-224	26	276	17	-224	26	276
18	-17	17	293	18	-17	17	293	18	-17	17	293	18	-17	17	293	18	-17	17	293	18	-17	17	293	18	-17	17	293	18	-17	17	293	18	-17	17	293	18	-17	17	293	18	-17	17	293	18	-17	17	293	18	-17	17	293	18	-17	17	293	18	-17	17	293	18	-17	17	293	18	-17	17	293	18	-17	17	293	18	-17	17	293	18	-17	17	293
19	-13	13	306	19	-13	13	306	19	-13	13	306	19	-13	13	306	19	-13	13	306	19	-13	13	306	19	-13	13	306	19	-13	13	306	19	-13	13	306	19	-13	13	306	19	-13	13	306	19	-13	13	306	19	-13	13	306	19	-13	13	306	19	-13	13	306	19	-13	13	306	19	-13	13	306	19	-13	13	306	19	-13	13	306	19	-13	13	306
20	-15	15	321	20	-15	15	321	20	-15	15	321	20	-15	15	321	20	-15	15	321	20	-15	15	321	20	-15	15	321	20	-15	15	321	20	-15	15	321	20	-15	15	321	20	-15	15	321	20	-15	15	321	20	-15	15	321	20	-15	15	321	20	-15	15	321	20	-15	15	321	20	-15	15	321	20	-15	15	321	20	-15	15	321	20	-15	15	321
