Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13
1	-13	13	26	1	-13	13	26	1	-13	13	26	1	-13	13	26	1	-13	13	26	1	-13	13	26	1	-13	13	26	1	-13	13	26	1	-13	13	26	1	-13	13	26	1	-13	13	26	1	-13	13	26	1	-13	13	26	1	-13	13	26	1	-13	13	26	1	-13	13	26	1	-13	13	26	1	-13	13	26	1	-13	13	26	1	-13	13	26	1	-13	13	26	1	-13	13	26	1	-13	13	26
2	-25	25	51	2	-25	25	51	2	-25	25	51	2	-25	25	51	2	-25	25	51	2	-25	25	51	2	-25	25	51	2	-25	25	51	2	-25	25	51	2	-25	25	51	2	-25	25	51	2	-25	25	51	2	-25	25	51	2	-25	25	51	2	-25	25	51	2	-25	25	51	2	-25	25	51	2	-25	25	51	2	-25	25	51	2	-25	25	51	2	-25	25	51	2	-25	25	51	2	-25	25	51
3	-13	13	64	3	-13	13	64	3	-13	13	64	3	-13	13	64	3	-13	13	64	3	-13	13	64	3	-13	13	64	3	-13	13	64	3	-13	13	64	3	-13	13	64	3	-13	13	64	3	-13	13	64	3	-13	13	64	3	-13	13	64	3	-13	13	64	3	-13	13	64	3	-13	13	64	3	-13	13	64	3	-13	13	64	3	-13	13	64	3	-13	13	64	3	-13	13	64	3	-13	13	64
4	-234	36	100	4	-234	36	100	4	-234	36	100	4	-234	36	100	4	-234	36	100	4	-234	36	100	4	-234	36	100	4	-234	36	100	4	-234	36	100	4	-234	36	100	4	-234	36	100	4	-234	36	100	4	-234	36	100	4	-234	36	100	4	-234	36	100	4	-234	36	100	4	-234	36	100	4	-234	36	100	4	-234	36	100	4	-234	36	100	4	-234	36	100	4	-234	36	100	4	-234	36	100
5	-15	15	115	5	-15	15	115	5	-15	15	115	5	-15	15	115	5	-15	15	115	5	-15	15	115	5	-15	15	115	5	-15	15	115	5	-15	15	115	5	-15	15	115	5	-15	15	115	5	-15	15	115	5	-15	15	115	5	-15	15	115	5	-15	15	115	5	-15	15	115	5	-15	15	115	5	-15	15	115	5	-15	15	115	5	-15	15	115	5	-15	15	115	5	-15	15	115	5	-15	15	115
6	-15	15	130	6	-15	15	130	6	-15	15	130	6	-15	15	130	6	-15	15	130	6	-15	15	130	6	-15	15	130	6	-15	15	130	6	-15	15	130	6	-15	15	130	6	-15	15	130	6	-15	15	130	6	-15	15	130	6	-15	15	130	6	-15	15	130	6	-15	15	130	6	-15	15	130	6	-15	15	130	6	-15	15	130	6	-15	15	130	6	-15	15	130	6	-15	15	130	6	-15	15	130
7	-124	25	155	7	-124	25	155	7	-124	25	155	7	-124	25	155	7	-124	25	155	7	-124	25	155	7	-124	25	155	7	-124	25	155	7	-124	25	155	7	-124	25	155	7	-124	25	155	7	-124	25	155	7	-124	25	155	7	-124	25	155	7	-124	25	155	7	-124	25	155	7	-124	25	155	7	-124	25	155	7	-124	25	155	7	-124	25	155	7	-124	25	155	7	-124	25	155	7	-124	25	155
8	-16	16	171	8	-16	16	171	8	-16	16	171	8	-16	16	171	8	-16	16	171	8	-16	16	171	8	-16	16	171	8	-16	16	171	8	-16	16	171	8	-16	16	171	8	-16	16	171	8	-16	16	171	8	-16	16	171	8	-16	16	171	8	-16	16	171	8	-16	16	171	8	-16	16	171	8	-16	16	171	8	-16	16	171	8	-16	16	171	8	-16	16	171	8	-16	16	171	8	-16	16	171
9	-15	15	186	9	-15	15	186	9	-15	15	186	9	-15	15	186	9	-15	15	186	9	-15	15	186	9	-15	15	186	9	-15	15	186	9	-15	15	186	9	-15	15	186	9	-15	15	186	9	-15	15	186	9	-15	15	186	9	-15	15	186	9	-15	15	186	9	-15	15	186	9	-15	15	186	9	-15	15	186	9	-15	15	186	9	-15	15	186	9	-15	15	186	9	-15	15	186	9	-15	15	186
