Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15
1	-116	17	32	1	-116	17	32	1	-116	17	32	1	-116	17	32	1	-116	17	32	1	-116	17	32	1	-116	17	32	1	-116	17	32	1	-116	17	32	1	-116	17	32	1	-116	17	32	1	-116	17	32	1	-116	17	32	1	-116	17	32	1	-116	17	32	1	-116	17	32	1	-116	17	32	1	-116	17	32	1	-116	17	32	1	-116	17	32	1	-116	17	32	1	-116	17	32	1	-116	17	32	1	-116	17	32	1	-116	17	32	1	-116	17	32
2	-20	20	52	2	-20	20	52	2	-20	20	52	2	-20	20	52	2	-20	20	52	2	-20	20	52	2	-20	20	52	2	-20	20	52	2	-20	20	52	2	-20	20	52	2	-20	20	52	2	-20	20	52	2	-20	20	52	2	-20	20	52	2	-20	20	52	2	-20	20	52	2	-20	20	52	2	-20	20	52	2	-20	20	52	2	-20	20	52	2	-20	20	52	2	-20	20	52	2	-20	20	52	2	-20	20	52	2	-20	20	52	2	-20	20	52
3	-13	13	65	3	-13	13	65	3	-13	13	65	3	-13	13	65	3	-13	13	65	3	-13	13	65	3	-13	13	65	3	-13	13	65	3	-13	13	65	3	-13	13	65	3	-13	13	65	3	-13	13	65	3	-13	13	65	3	-13	13	65	3	-13	13	65	3	-13	13	65	3	-13	13	65	3	-13	13	65	3	-13	13	65	3	-13	13	65	3	-13	13	65	3	-13	13	65	3	-13	13	65	3	-13	13	65	3	-13	13	65	3	-13	13	65
4	-13	13	78	4	-13	13	78	4	-13	13	78	4	-13	13	78	4	-13	13	78	4	-13	13	78	4	-13	13	78	4	-13	13	78	4	-13	13	78	4	-13	13	78	4	-13	13	78	4	-13	13	78	4	-13	13	78	4	-13	13	78	4	-13	13	78	4	-13	13	78	4	-13	13	78	4	-13	13	78	4	-13	13	78	4	-13	13	78	4	-13	13	78	4	-13	13	78	4	-13	13	78	4	-13	13	78	4	-13	13	78	4	-13	13	78
5	-15	15	93	5	-15	15	93	5	-15	15	93	5	-15	15	93	5	-15	15	93	5	-15	15	93	5	-15	15	93	5	-15	15	93	5	-15	15	93	5	-15	15	93	5	-15	15	93	5	-15	15	93	5	-15	15	93	5	-15	15	93	5	-15	15	93	5	-15	15	93	5	-15	15	93	5	-15	15	93	5	-15	15	93	5	-15	15	93	5	-15	15	93	5	-15	15	93	5	-15	15	93	5	-15	15	93	5	-15	15	93	5	-15	15	93
6	-13	13	106	6	-13	13	106	6	-13	13	106	6	-13	13	106	6	-13	13	106	6	-13	13	106	6	-13	13	106	6	-13	13	106	6	-13	13	106	6	-13	13	106	6	-13	13	106	6	-13	13	106	6	-13	13	106	6	-13	13	106	6	-13	13	106	6	-13	13	106	6	-13	13	106	6	-13	13	106	6	-13	13	106	6	-13	13	106	6	-13	13	106	6	-13	13	106	6	-13	13	106	6	-13	13	106	6	-13	13	106	6	-13	13	106
7	-19	19	125	7	-19	19	125	7	-19	19	125	7	-19	19	125	7	-19	19	125	7	-19	19	125	7	-19	19	125	7	-19	19	125	7	-19	19	125	7	-19	19	125	7	-19	19	125	7	-19	19	125	7	-19	19	125	7	-19	19	125	7	-19	19	125	7	-19	19	125	7	-19	19	125	7	-19	19	125	7	-19	19	125	7	-19	19	125	7	-19	19	125	7	-19	19	125	7	-19	19	125	7	-19	19	125	7	-19	19	125	7	-19	19	125
8	-15	15	140	8	-15	15	140	8	-15	15	140	8	-15	15	140	8	-15	15	140	8	-15	15	140	8	-15	15	140	8	-15	15	140	8	-15	15	140	8	-15	15	140	8	-15	15	140	8	-15	15	140	8	-15	15	140	8	-15	15	140	8	-15	15	140	8	-15	15	140	8	-15	15	140	8	-15	15	140	8	-15	15	140	8	-15	15	140	8	-15	15	140	8	-15	15	140	8	-15	15	140	8	-15	15	140	8	-15	15	140	8	-15	15	140
9	-15	15	155	9	-15	15	155	9	-15	15	155	9	-15	15	155	9	-15	15	155	9	-15	15	155	9	-15	15	155	9	-15	15	155	9	-15	15	155	9	-15	15	155	9	-15	15	155	9	-15	15	155	9	-15	15	155	9	-15	15	155	9	-15	15	155	9	-15	15	155	9	-15	15	155	9	-15	15	155	9	-15	15	155	9	-15	15	155	9	-15	15	155	9	-15	15	155	9	-15	15	155	9	-15	15	155	9	-15	15	155	9	-15	15	155
