Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-115	16	16	0	-115	16	16	0	-115	16	16	0	-115	16	16	0	-115	16	16	0	-115	16	16	0	-115	16	16	0	-115	16	16	0	-115	16	16	0	-115	16	16	0	-115	16	16	0	-115	16	16	0	-115	16	16	0	-115	16	16	0	-115	16	16	0	-115	16	16	0	-115	16	16	0	-115	16	16	0	-115	16	16	0	-115	16	16	0	-115	16	16	0	-115	16	16	0	-115	16	16	0	-115	16	16	0	-115	16	16	0	-115	16	16	0	-115	16	16	0	-115	16	16	0	-115	16	16
1	-17	17	33	1	-17	17	33	1	-17	17	33	1	-17	17	33	1	-17	17	33	1	-17	17	33	1	-17	17	33	1	-17	17	33	1	-17	17	33	1	-17	17	33	1	-17	17	33	1	-17	17	33	1	-17	17	33	1	-17	17	33	1	-17	17	33	1	-17	17	33	1	-17	17	33	1	-17	17	33	1	-17	17	33	1	-17	17	33	1	-17	17	33	1	-17	17	33	1	-17	17	33	1	-17	17	33	1	-17	17	33	1	-17	17	33	1	-17	17	33	1	-17	17	33	1	-17	17	33
2	-13	13	46	2	-13	13	46	2	-13	13	46	2	-13	13	46	2	-13	13	46	2	-13	13	46	2	-13	13	46	2	-13	13	46	2	-13	13	46	2	-13	13	46	2	-13	13	46	2	-13	13	46	2	-13	13	46	2	-13	13	46	2	-13	13	46	2	-13	13	46	2	-13	13	46	2	-13	13	46	2	-13	13	46	2	-13	13	46	2	-13	13	46	2	-13	13	46	2	-13	13	46	2	-13	13	46	2	-13	13	46	2	-13	13	46	2	-13	13	46	2	-13	13	46	2	-13	13	46
3	-13	13	59	3	-13	13	59	3	-13	13	59	3	-13	13	59	3	-13	13	59	3	-13	13	59	3	-13	13	59	3	-13	13	59	3	-13	13	59	3	-13	13	59	3	-13	13	59	3	-13	13	59	3	-13	13	59	3	-13	13	59	3	-13	13	59	3	-13	13	59	3	-13	13	59	3	-13	13	59	3	-13	13	59	3	-13	13	59	3	-13	13	59	3	-13	13	59	3	-13	13	59	3	-13	13	59	3	-13	13	59	3	-13	13	59	3	-13	13	59	3	-13	13	59	3	-13	13	59
4	-15	15	74	4	-15	15	74	4	-15	15	74	4	-15	15	74	4	-15	15	74	4	-15	15	74	4	-15	15	74	4	-15	15	74	4	-15	15	74	4	-15	15	74	4	-15	15	74	4	-15	15	74	4	-15	15	74	4	-15	15	74	4	-15	15	74	4	-15	15	74	4	-15	15	74	4	-15	15	74	4	-15	15	74	4	-15	15	74	4	-15	15	74	4	-15	15	74	4	-15	15	74	4	-15	15	74	4	-15	15	74	4	-15	15	74	4	-15	15	74	4	-15	15	74	4	-15	15	74
5	-113	14	88	5	-113	14	88	5	-113	14	88	5	-113	14	88	5	-113	14	88	5	-113	14	88	5	-113	14	88	5	-113	14	88	5	-113	14	88	5	-113	14	88	5	-113	14	88	5	-113	14	88	5	-113	14	88	5	-113	14	88	5	-113	14	88	5	-113	14	88	5	-113	14	88	5	-113	14	88	5	-113	14	88	5	-113	14	88	5	-113	14	88	5	-113	14	88	5	-113	14	88	5	-113	14	88	5	-113	14	88	5	-113	14	88	5	-113	14	88	5	-113	14	88	5	-113	14	88
6	-121	22	110	6	-121	22	110	6	-121	22	110	6	-121	22	110	6	-121	22	110	6	-121	22	110	6	-121	22	110	6	-121	22	110	6	-121	22	110	6	-121	22	110	6	-121	22	110	6	-121	22	110	6	-121	22	110	6	-121	22	110	6	-121	22	110	6	-121	22	110	6	-121	22	110	6	-121	22	110	6	-121	22	110	6	-121	22	110	6	-121	22	110	6	-121	22	110	6	-121	22	110	6	-121	22	110	6	-121	22	110	6	-121	22	110	6	-121	22	110	6	-121	22	110	6	-121	22	110
7	-15	15	125	7	-15	15	125	7	-15	15	125	7	-15	15	125	7	-15	15	125	7	-15	15	125	7	-15	15	125	7	-15	15	125	7	-15	15	125	7	-15	15	125	7	-15	15	125	7	-15	15	125	7	-15	15	125	7	-15	15	125	7	-15	15	125	7	-15	15	125	7	-15	15	125	7	-15	15	125	7	-15	15	125	7	-15	15	125	7	-15	15	125	7	-15	15	125	7	-15	15	125	7	-15	15	125	7	-15	15	125	7	-15	15	125	7	-15	15	125	7	-15	15	125	7	-15	15	125
8	-13	13	138	8	-13	13	138	8	-13	13	138	8	-13	13	138	8	-13	13	138	8	-13	13	138	8	-13	13	138	8	-13	13	138	8	-13	13	138	8	-13	13	138	8	-13	13	138	8	-13	13	138	8	-13	13	138	8	-13	13	138	8	-13	13	138	8	-13	13	138	8	-13	13	138	8	-13	13	138	8	-13	13	138	8	-13	13	138	8	-13	13	138	8	-13	13	138	8	-13	13	138	8	-13	13	138	8	-13	13	138	8	-13	13	138	8	-13	13	138	8	-13	13	138	8	-13	13	138
9	-19	19	157	9	-19	19	157	9	-19	19	157	9	-19	19	157	9	-19	19	157	9	-19	19	157	9	-19	19	157	9	-19	19	157	9	-19	19	157	9	-19	19	157	9	-19	19	157	9	-19	19	157	9	-19	19	157	9	-19	19	157	9	-19	19	157	9	-19	19	157	9	-19	19	157	9	-19	19	157	9	-19	19	157	9	-19	19	157	9	-19	19	157	9	-19	19	157	9	-19	19	157	9	-19	19	157	9	-19	19	157	9	-19	19	157	9	-19	19	157	9	-19	19	157	9	-19	19	157
10	-13	13	170	10	-13	13	170	10	-13	13	170	10	-13	13	170	10	-13	13	170	10	-13	13	170	10	-13	13	170	10	-13	13	170	10	-13	13	170	10	-13	13	170	10	-13	13	170	10	-13	13	170	10	-13	13	170	10	-13	13	170	10	-13	13	170	10	-13	13	170	10	-13	13	170	10	-13	13	170	10	-13	13	170	10	-13	13	170	10	-13	13	170	10	-13	13	170	10	-13	13	170	10	-13	13	170	10	-13	13	170	10	-13	13	170	10	-13	13	170	10	-13	13	170	10	-13	13	170
11	-122	23	193	11	-122	23	193	11	-122	23	193	11	-122	23	193	11	-122	23	193	11	-122	23	193	11	-122	23	193	11	-122	23	193	11	-122	23	193	11	-122	23	193	11	-122	23	193	11	-122	23	193	11	-122	23	193	11	-122	23	193	11	-122	23	193	11	-122	23	193	11	-122	23	193	11	-122	23	193	11	-122	23	193	11	-122	23	193	11	-122	23	193	11	-122	23	193	11	-122	23	193	11	-122	23	193	11	-122	23	193	11	-122	23	193	11	-122	23	193	11	-122	23	193	11	-122	23	193
12	-15	15	208	12	-15	15	208	12	-15	15	208	12	-15	15	208	12	-15	15	208	12	-15	15	208	12	-15	15	208	12	-15	15	208	12	-15	15	208	12	-15	15	208	12	-15	15	208	12	-15	15	208	12	-15	15	208	12	-15	15	208	12	-15	15	208	12	-15	15	208	12	-15	15	208	12	-15	15	208	12	-15	15	208	12	-15	15	208	12	-15	15	208	12	-15	15	208	12	-15	15	208	12	-15	15	208	12	-15	15	208	12	-15	15	208	12	-15	15	208	12	-15	15	208	12	-15	15	208
13	-113	14	222	13	-113	14	222	13	-113	14	222	13	-113	14	222	13	-113	14	222	13	-113	14	222	13	-113	14	222	13	-113	14	222	13	-113	14	222	13	-113	14	222	13	-113	14	222	13	-113	14	222	13	-113	14	222	13	-113	14	222	13	-113	14	222	13	-113	14	222	13	-113	14	222	13	-113	14	222	13	-113	14	222	13	-113	14	222	13	-113	14	222	13	-113	14	222	13	-113	14	222	13	-113	14	222	13	-113	14	222	13	-113	14	222	13	-113	14	222	13	-113	14	222	13	-113	14	222
14	-15	15	237	14	-15	15	237	14	-15	15	237	14	-15	15	237	14	-15	15	237	14	-15	15	237	14	-15	15	237	14	-15	15	237	14	-15	15	237	14	-15	15	237	14	-15	15	237	14	-15	15	237	14	-15	15	237	14	-15	15	237	14	-15	15	237	14	-15	15	237	14	-15	15	237	14	-15	15	237	14	-15	15	237	14	-15	15	237	14	-15	15	237	14	-15	15	237	14	-15	15	237	14	-15	15	237	14	-15	15	237	14	-15	15	237	14	-15	15	237	14	-15	15	237	14	-15	15	237
15	-17	17	254	15	-17	17	254	15	-17	17	254	15	-17	17	254	15	-17	17	254	15	-17	17	254	15	-17	17	254	15	-17	17	254	15	-17	17	254	15	-17	17	254	15	-17	17	254	15	-17	17	254	15	-17	17	254	15	-17	17	254	15	-17	17	254	15	-17	17	254	15	-17	17	254	15	-17	17	254	15	-17	17	254	15	-17	17	254	15	-17	17	254	15	-17	17	254	15	-17	17	254	15	-17	17	254	15	-17	17	254	15	-17	17	254	15	-17	17	254	15	-17	17	254	15	-17	17	254
16	-13	13	267	16	-13	13	267	16	-13	13	267	16	-13	13	267	16	-13	13	267	16	-13	13	267	16	-13	13	267	16	-13	13	267	16	-13	13	267	16	-13	13	267	16	-13	13	267	16	-13	13	267	16	-13	13	267	16	-13	13	267	16	-13	13	267	16	-13	13	267	16	-13	13	267	16	-13	13	267	16	-13	13	267	16	-13	13	267	16	-13	13	267	16	-13	13	267	16	-13	13	267	16	-13	13	267	16	-13	13	267	16	-13	13	267	16	-13	13	267	16	-13	13	267	16	-13	13	267
17	-15	15	282	17	-15	15	282	17	-15	15	282	17	-15	15	282	17	-15	15	282	17	-15	15	282	17	-15	15	282	17	-15	15	282	17	-15	15	282	17	-15	15	282	17	-15	15	282	17	-15	15	282	17	-15	15	282	17	-15	15	282	17	-15	15	282	17	-15	15	282	17	-15	15	282	17	-15	15	282	17	-15	15	282	17	-15	15	282	17	-15	15	282	17	-15	15	282	17	-15	15	282	17	-15	15	282	17	-15	15	282	17	-15	15	282	17	-15	15	282	17	-15	15	282	17	-15	15	282
18	-13	13	295	18	-13	13	295	18	-13	13	295	18	-13	13	295	18	-13	13	295	18	-13	13	295	18	-13	13	295	18	-13	13	295	18	-13	13	295	18	-13	13	295	18	-13	13	295	18	-13	13	295	18	-13	13	295	18	-13	13	295	18	-13	13	295	18	-13	13	295	18	-13	13	295	18	-13	13	295	18	-13	13	295	18	-13	13	295	18	-13	13	295	18	-13	13	295	18	-13	13	295	18	-13	13	295	18	-13	13	295	18	-13	13	295	18	-13	13	295	18	-13	13	295	18	-13	13	295
19	-113	14	309	19	-113	14	309	19	-113	14	309	19	-113	14	309	19	-113	14	309	19	-113	14	309	19	-113	14	309	19	-113	14	309	19	-113	14	309	19	-113	14	309	19	-113	14	309	19	-113	14	309	19	-113	14	309	19	-113	14	309	19	-113	14	309	19	-113	14	309	19	-113	14	309	19	-113	14	309	19	-113	14	309	19	-113	14	309	19	-113	14	309	19	-113	14	309	19	-113	14	309	19	-113	14	309	19	-113	14	309	19	-113	14	309	19	-113	14	309	19	-113	14	309	19	-113	14	309
20	-13	13	322	20	-13	13	322	20	-13	13	322	20	-13	13	322	20	-13	13	322	20	-13	13	322	20	-13	13	322	20	-13	13	322	20	-13	13	322	20	-13	13	322	20	-13	13	322	20	-13	13	322	20	-13	13	322	20	-13	13	322	20	-13	13	322	20	-13	13	322	20	-13	13	322	20	-13	13	322	20	-13	13	322	20	-13	13	322	20	-13	13	322	20	-13	13	322	20	-13	13	322	20	-13	13	322	20	-13	13	322	20	-13	13	322	20	-13	13	322	20	-13	13	322	20	-13	13	322
21	-119	20	342	21	-119	20	342	21	-119	20	342	21	-119	20	342	21	-119	20	342	21	-119	20	342	21	-119	20	342	21	-119	20	342	21	-119	20	342	21	-119	20	342	21	-119	20	342	21	-119	20	342	21	-119	20	342	21	-119	20	342	21	-119	20	342	21	-119	20	342	21	-119	20	342	21	-119	20	342	21	-119	20	342	21	-119	20	342	21	-119	20	342	21	-119	20	342	21	-119	20	342	21	-119	20	342	21	-119	20	342	21	-119	20	342	21	-119	20	342	21	-119	20	342	21	-119	20	342
22	-14	14	356	22	-14	14	356	22	-14	14	356	22	-14	14	356	22	-14	14	356	22	-14	14	356	22	-14	14	356	22	-14	14	356	22	-14	14	356	22	-14	14	356	22	-14	14	356	22	-14	14	356	22	-14	14	356	22	-14	14	356	22	-14	14	356	22	-14	14	356	22	-14	14	356	22	-14	14	356	22	-14	14	356	22	-14	14	356	22	-14	14	356	22	-14	14	356	22	-14	14	356	22	-14	14	356	22	-14	14	356	22	-14	14	356	22	-14	14	356	22	-14	14	356	22	-14	14	356
23	-15	15	371	23	-15	15	371	23	-15	15	371	23	-15	15	371	23	-15	15	371	23	-15	15	371	23	-15	15	371	23	-15	15	371	23	-15	15	371	23	-15	15	371	23	-15	15	371	23	-15	15	371	23	-15	15	371	23	-15	15	371	23	-15	15	371	23	-15	15	371	23	-15	15	371	23	-15	15	371	23	-15	15	371	23	-15	15	371	23	-15	15	371	23	-15	15	371	23	-15	15	371	23	-15	15	371	23	-15	15	371	23	-15	15	371	23	-15	15	371	23	-15	15	371	23	-15	15	371
24	-13	13	384	24	-13	13	384	24	-13	13	384	24	-13	13	384	24	-13	13	384	24	-13	13	384	24	-13	13	384	24	-13	13	384	24	-13	13	384	24	-13	13	384	24	-13	13	384	24	-13	13	384	24	-13	13	384	24	-13	13	384	24	-13	13	384	24	-13	13	384	24	-13	13	384	24	-13	13	384	24	-13	13	384	24	-13	13	384	24	-13	13	384	24	-13	13	384	24	-13	13	384	24	-13	13	384	24	-13	13	384	24	-13	13	384	24	-13	13	384	24	-13	13	384	24	-13	13	384
25	-15	15	399	25	-15	15	399	25	-15	15	399	25	-15	15	399	25	-15	15	399	25	-15	15	399	25	-15	15	399	25	-15	15	399	25	-15	15	399	25	-15	15	399	25	-15	15	399	25	-15	15	399	25	-15	15	399	25	-15	15	399	25	-15	15	399	25	-15	15	399	25	-15	15	399	25	-15	15	399	25	-15	15	399	25	-15	15	399	25	-15	15	399	25	-15	15	399	25	-15	15	399	25	-15	15	399	25	-15	15	399	25	-15	15	399	25	-15	15	399	25	-15	15	399	25	-15	15	399
26	-17	17	416	26	-17	17	416	26	-17	17	416	26	-17	17	416	26	-17	17	416	26	-17	17	416	26	-17	17	416	26	-17	17	416	26	-17	17	416	26	-17	17	416	26	-17	17	416	26	-17	17	416	26	-17	17	416	26	-17	17	416	26	-17	17	416	26	-17	17	416	26	-17	17	416	26	-17	17	416	26	-17	17	416	26	-17	17	416	26	-17	17	416	26	-17	17	416	26	-17	17	416	26	-17	17	416	26	-17	17	416	26	-17	17	416	26	-17	17	416	26	-17	17	416	26	-17	17	416
27	-19	19	435	27	-19	19	435	27	-19	19	435	27	-19	19	435	27	-19	19	435	27	-19	19	435	27	-19	19	435	27	-19	19	435	27	-19	19	435	27	-19	19	435	27	-19	19	435	27	-19	19	435	27	-19	19	435	27	-19	19	435	27	-19	19	435	27	-19	19	435	27	-19	19	435	27	-19	19	435	27	-19	19	435	27	-19	19	435	27	-19	19	435	27	-19	19	435	27	-19	19	435	27	-19	19	435	27	-19	19	435	27	-19	19	435	27	-19	19	435	27	-19	19	435	27	-19	19	435
