Episode	Accumulated Reward	Length	Steps
0	-9	11	11
1	-8	10	21
2	-20	22	43
3	-25	27	70
4	-12	14	84
5	-2	4	88
6	-2	4	92
7	-2	4	96
8	-2	4	100
9	-2	4	104
10	-2	4	108
11	-2	4	112
12	-2	4	116
13	-2	4	120
14	-2	4	124
15	-2	4	128
16	-2	4	132
17	-9	11	143
18	-2	4	147
19	-2	4	151
20	-2	4	155
21	-2	4	159
22	-4	6	165
23	-2	4	169
24	-2	4	173
25	-2	4	177
26	-2	4	181
27	-2	4	185
28	-2	4	189
29	-2	4	193
30	-2	4	197
31	-2	4	201
32	-2	4	205
33	-2	4	209
34	-2	4	213
35	-2	4	217
36	-2	4	221
37	-2	4	225
38	-2	4	229
39	-2	4	233
40	-2	4	237
41	-2	4	241
42	-2	4	245
43	-2	4	249
44	-2	4	253
45	-2	4	257
46	-3	5	262
47	-2	4	266
48	-2	4	270
49	-2	4	274
50	-2	4	278
51	-4	6	284
52	-2	4	288
53	-3	5	293
54	-2	4	297
55	-2	4	301
56	-2	4	305
57	-2	4	309
58	-2	4	313
59	-2	4	317
60	-2	4	321
61	-2	4	325
62	-2	4	329
63	-2	4	333
64	-2	4	337
65	-2	4	341
66	-2	4	345
67	-2	4	349
68	-2	4	353
69	-3	5	358
70	-2	4	362
71	-2	4	366
72	-2	4	370
73	-2	4	374
74	-2	4	378
75	-2	4	382
76	-2	4	386
77	-2	4	390
78	-2	4	394
79	-2	4	398
80	-2	4	402
81	-2	4	406
82	-2	4	410
83	-2	4	414
84	-2	4	418
85	-2	4	422
86	-2	4	426
87	-2	4	430
88	-2	4	434
89	-2	4	438
90	-2	4	442
91	-2	4	446
92	-2	4	450
93	-2	4	454
94	-2	4	458
95	-2	4	462
96	-2	4	466
97	-2	4	470
98	-2	4	474
99	-2	4	478
100	-2	4	482
101	-2	4	486
102	-2	4	490
103	-2	4	494
104	-2	4	498
105	-2	4	502
106	-2	4	506
107	-2	4	510
108	-2	4	514
109	-2	4	518
110	-2	4	522
111	-2	4	526
112	-2	4	530
113	-2	4	534
114	-2	4	538
115	-2	4	542
116	-2	4	546
117	-2	4	550
118	-2	4	554
119	-2	4	558
120	-2	4	562
121	-2	4	566
122	-2	4	570
123	-2	4	574
124	-2	4	578
125	-2	4	582
126	-2	4	586
127	-2	4	590
128	-2	4	594
129	-2	4	598
130	-2	4	602
131	-2	4	606
132	-2	4	610
133	-2	4	614
134	-6	8	622
135	-2	4	626
136	-3	5	631
137	-2	4	635
138	-2	4	639
139	-2	4	643
140	-2	4	647
141	-2	4	651
142	-2	4	655
143	-3	5	660
144	-2	4	664
145	-2	4	668
146	-2	4	672
147	-2	4	676
148	-2	4	680
149	-2	4	684
150	-2	4	688
151	-2	4	692
152	-2	4	696
153	-2	4	700
154	-2	4	704
155	-2	4	708
156	-2	4	712
157	-2	4	716
158	-2	4	720
159	-2	4	724
160	-2	4	728
161	-2	4	732
162	-2	4	736
163	-2	4	740
164	-4	6	746
165	-2	4	750
166	-2	4	754
167	-2	4	758
168	-2	4	762
169	-2	4	766
170	-2	4	770
171	-2	4	774
172	-2	4	778
173	-2	4	782
174	-2	4	786
175	-2	4	790
176	-2	4	794
177	-4	6	800
178	-2	4	804
179	-2	4	808
180	-2	4	812
181	-2	4	816
182	-2	4	820
183	-2	4	824
184	-2	4	828
185	-2	4	832
186	-2	4	836
187	-2	4	840
188	-2	4	844
189	-2	4	848
190	-2	4	852
191	-2	4	856
192	-2	4	860
193	-2	4	864
194	-4	6	870
195	-2	4	874
196	-2	4	878
197	-2	4	882
198	-2	4	886
199	-2	4	890
200	-2	4	894
201	-2	4	898
202	-2	4	902
203	-2	4	906
204	-2	4	910
205	-2	4	914
206	-2	4	918
207	-2	4	922
208	-2	4	926
209	-4	6	932
210	-2	4	936
211	-2	4	940
212	-2	4	944
213	-2	4	948
214	-2	4	952
215	-2	4	956
216	-2	4	960
217	-5	7	967
218	-2	4	971
219	-2	4	975
220	-2	4	979
221	-2	4	983
222	-6	8	991
223	-2	4	995
224	-2	4	999
225	-2	4	1003
226	-2	4	1007
227	-2	4	1011
228	-4	6	1017
229	-2	4	1021
230	-2	4	1025
231	-3	5	1030
232	-2	4	1034
233	-2	4	1038
234	-2	4	1042
235	-2	4	1046
236	-2	4	1050
237	-2	4	1054
238	-2	4	1058
239	-2	4	1062
240	-2	4	1066
241	-2	4	1070
242	-2	4	1074
243	-2	4	1078
244	-2	4	1082
245	-2	4	1086
246	-2	4	1090
247	-4	6	1096
248	-2	4	1100
249	-2	4	1104
250	-2	4	1108
251	-4	6	1114
252	-2	4	1118
253	-2	4	1122
254	-2	4	1126
255	-2	4	1130
256	-2	4	1134
257	-2	4	1138
258	-2	4	1142
259	-2	4	1146
260	-2	4	1150
261	-2	4	1154
262	-2	4	1158
263	-2	4	1162
264	-2	4	1166
265	-2	4	1170
266	-2	4	1174
267	-2	4	1178
268	-2	4	1182
269	-2	4	1186
270	-2	4	1190
271	-2	4	1194
272	-2	4	1198
273	-2	4	1202
274	-2	4	1206
275	-2	4	1210
276	-2	4	1214
277	-4	6	1220
278	-2	4	1224
279	-2	4	1228
280	-2	4	1232
281	-2	4	1236
282	-2	4	1240
283	-2	4	1244
284	-4	6	1250
285	-2	4	1254
286	-2	4	1258
287	-4	6	1264
288	-2	4	1268
289	-2	4	1272
290	-2	4	1276
291	-2	4	1280
292	-2	4	1284
293	-2	4	1288
294	-2	4	1292
295	-2	4	1296
296	-2	4	1300
297	-2	4	1304
298	-2	4	1308
299	-2	4	1312
300	-2	4	1316
301	-2	4	1320
302	-2	4	1324
303	-2	4	1328
304	-4	6	1334
305	-3	5	1339
306	-2	4	1343
307	-4	6	1349
308	-2	4	1353
309	-2	4	1357
310	-2	4	1361
311	-2	4	1365
312	-2	4	1369
313	-2	4	1373
314	-2	4	1377
315	-2	4	1381
316	-2	4	1385
317	-2	4	1389
318	-2	4	1393
319	-2	4	1397
320	-2	4	1401
321	-2	4	1405
322	-2	4	1409
323	-2	4	1413
324	-2	4	1417
325	-2	4	1421
326	-4	6	1427
327	-2	4	1431
328	-2	4	1435
329	-2	4	1439
330	-2	4	1443
331	-2	4	1447
332	-2	4	1451
333	-2	4	1455
334	-2	4	1459
335	-2	4	1463
336	-2	4	1467
337	-2	4	1471
338	-2	4	1475
339	-2	4	1479
340	-2	4	1483
341	-2	4	1487
342	-2	4	1491
343	-2	4	1495
344	-2	4	1499
345	-2	4	1503
346	-2	4	1507
347	-2	4	1511
348	-2	4	1515
349	-2	4	1519
350	-2	4	1523
351	-2	4	1527
352	-2	4	1531
353	-2	4	1535
354	-2	4	1539
355	-2	4	1543
356	-2	4	1547
357	-2	4	1551
358	-2	4	1555
359	-2	4	1559
360	-2	4	1563
361	-2	4	1567
362	-2	4	1571
363	-2	4	1575
364	-2	4	1579
365	-2	4	1583
366	-2	4	1587
367	-2	4	1591
368	-2	4	1595
369	-2	4	1599
370	-2	4	1603
371	-4	6	1609
372	-2	4	1613
373	-2	4	1617
374	-2	4	1621
375	-2	4	1625
376	-2	4	1629
377	-2	4	1633
378	-2	4	1637
379	-2	4	1641
380	-2	4	1645
381	-2	4	1649
382	-2	4	1653
383	-2	4	1657
384	-2	4	1661
385	-2	4	1665
386	-2	4	1669
387	-2	4	1673
388	-2	4	1677
389	-2	4	1681
390	-2	4	1685
391	-2	4	1689
392	-2	4	1693
393	-2	4	1697
394	-2	4	1701
395	-2	4	1705
396	-2	4	1709
397	-2	4	1713
398	-2	4	1717
399	-2	4	1721
400	-2	4	1725
401	-2	4	1729
402	-2	4	1733
403	-4	6	1739
404	-2	4	1743
405	-2	4	1747
406	-2	4	1751
407	-2	4	1755
408	-2	4	1759
409	-2	4	1763
410	-2	4	1767
411	-2	4	1771
412	-2	4	1775
413	-2	4	1779
414	-2	4	1783
415	-2	4	1787
416	-2	4	1791
417	-2	4	1795
418	-2	4	1799
419	-2	4	1803
420	-2	4	1807
421	-2	4	1811
422	-2	4	1815
423	-2	4	1819
424	-2	4	1823
425	-2	4	1827
426	-4	6	1833
427	-2	4	1837
428	-2	4	1841
429	-2	4	1845
430	-2	4	1849
431	-2	4	1853
432	-2	4	1857
433	-2	4	1861
434	-2	4	1865
435	-2	4	1869
436	-2	4	1873
437	-2	4	1877
438	-2	4	1881
439	-2	4	1885
440	-2	4	1889
441	-2	4	1893
442	-2	4	1897
443	-2	4	1901
444	-2	4	1905
445	-2	4	1909
446	-2	4	1913
447	-2	4	1917
448	-2	4	1921
449	-2	4	1925
