Episode	Accumulated Reward	Length	Steps
0	-500.0	500	500
1	-454.0	454	954
2	-500.0	500	1454
3	-500.0	500	1954
4	-360.0	360	2314
5	-346.0	346	2660
6	-427.0	427	3087
7	-247.0	247	3334
8	-237.0	237	3571
9	-305.0	305	3876
10	-253.0	253	4129
11	-232.0	232	4361
12	-238.0	238	4599
13	-159.0	159	4758
14	-192.0	192	4950
15	-156.0	156	5106
16	-187.0	187	5293
17	-153.0	153	5446
18	-157.0	157	5603
19	-232.0	232	5835
20	-157.0	157	5992
21	-169.0	169	6161
22	-198.0	198	6359
23	-157.0	157	6516
24	-124.0	124	6640
25	-198.0	198	6838
26	-155.0	155	6993
27	-151.0	151	7144
28	-145.0	145	7289
29	-181.0	181	7470
30	-195.0	195	7665
31	-186.0	186	7851
32	-152.0	152	8003
33	-128.0	128	8131
34	-165.0	165	8296
35	-143.0	143	8439
36	-140.0	140	8579
37	-148.0	148	8727
38	-117.0	117	8844
39	-114.0	114	8958
40	-158.0	158	9116
41	-154.0	154	9270
42	-150.0	150	9420
43	-117.0	117	9537
44	-139.0	139	9676
45	-119.0	119	9795
46	-115.0	115	9910
47	-110.0	110	10020
48	-174.0	174	10194
49	-178.0	178	10372
50	-146.0	146	10518
51	-171.0	171	10689
52	-179.0	179	10868
53	-209.0	209	11077
54	-216.0	216	11293
55	-176.0	176	11469
56	-178.0	178	11647
57	-168.0	168	11815
58	-173.0	173	11988
59	-142.0	142	12130
60	-144.0	144	12274
61	-185.0	185	12459
62	-176.0	176	12635
63	-143.0	143	12778
64	-168.0	168	12946
65	-194.0	194	13140
66	-154.0	154	13294
67	-114.0	114	13408
68	-108.0	108	13516
69	-172.0	172	13688
70	-156.0	156	13844
71	-156.0	156	14000
72	-145.0	145	14145
73	-139.0	139	14284
74	-149.0	149	14433
75	-109.0	109	14542
76	-151.0	151	14693
77	-150.0	150	14843
78	-181.0	181	15024
79	-139.0	139	15163
80	-176.0	176	15339
81	-170.0	170	15509
82	-138.0	138	15647
83	-128.0	128	15775
84	-156.0	156	15931
85	-116.0	116	16047
86	-143.0	143	16190
87	-111.0	111	16301
88	-106.0	106	16407
89	-109.0	109	16516
90	-175.0	175	16691
91	-159.0	159	16850
92	-179.0	179	17029
93	-134.0	134	17163
94	-173.0	173	17336
95	-138.0	138	17474
96	-177.0	177	17651
97	-200.0	200	17851
98	-151.0	151	18002
99	-145.0	145	18147
100	-159.0	159	18306
101	-140.0	140	18446
102	-165.0	165	18611
103	-137.0	137	18748
104	-144.0	144	18892
105	-143.0	143	19035
106	-141.0	141	19176
107	-149.0	149	19325
108	-184.0	184	19509
109	-171.0	171	19680
110	-133.0	133	19813
111	-178.0	178	19991
112	-139.0	139	20130
113	-196.0	196	20326
114	-147.0	147	20473
115	-136.0	136	20609
116	-113.0	113	20722
117	-138.0	138	20860
118	-139.0	139	20999
119	-169.0	169	21168
120	-153.0	153	21321
121	-151.0	151	21472
122	-149.0	149	21621
123	-144.0	144	21765
124	-136.0	136	21901
125	-139.0	139	22040
126	-132.0	132	22172
127	-108.0	108	22280
128	-130.0	130	22410
129	-138.0	138	22548
130	-159.0	159	22707
131	-107.0	107	22814
132	-175.0	175	22989
133	-140.0	140	23129
134	-107.0	107	23236
135	-138.0	138	23374
136	-105.0	105	23479
137	-145.0	145	23624
138	-138.0	138	23762
139	-138.0	138	23900
140	-134.0	134	24034
141	-136.0	136	24170
142	-137.0	137	24307
143	-129.0	129	24436
144	-130.0	130	24566
145	-139.0	139	24705
146	-139.0	139	24844
147	-133.0	133	24977
148	-140.0	140	25117
149	-221.0	221	25338
150	-138.0	138	25476
151	-132.0	132	25608
152	-145.0	145	25753
153	-106.0	106	25859
154	-178.0	178	26037
155	-140.0	140	26177
156	-109.0	109	26286
157	-110.0	110	26396
158	-111.0	111	26507
159	-106.0	106	26613
160	-105.0	105	26718
161	-105.0	105	26823
162	-104.0	104	26927
163	-191.0	191	27118
164	-106.0	106	27224
165	-143.0	143	27367
166	-144.0	144	27511
167	-135.0	135	27646
168	-131.0	131	27777
169	-145.0	145	27922
170	-87.0	87	28009
171	-104.0	104	28113
172	-136.0	136	28249
173	-104.0	104	28353
174	-136.0	136	28489
175	-105.0	105	28594
176	-129.0	129	28723
177	-141.0	141	28864
178	-131.0	131	28995
179	-135.0	135	29130
180	-175.0	175	29305
181	-137.0	137	29442
182	-132.0	132	29574
183	-135.0	135	29709
184	-138.0	138	29847
185	-149.0	149	29996
186	-138.0	138	30134
187	-119.0	119	30253
188	-135.0	135	30388
189	-105.0	105	30493
190	-143.0	143	30636
191	-151.0	151	30787
192	-140.0	140	30927
193	-105.0	105	31032
194	-104.0	104	31136
195	-104.0	104	31240
196	-144.0	144	31384
197	-105.0	105	31489
198	-136.0	136	31625
199	-107.0	107	31732
200	-107.0	107	31839
201	-151.0	151	31990
202	-156.0	156	32146
203	-140.0	140	32286
204	-107.0	107	32393
205	-135.0	135	32528
206	-108.0	108	32636
207	-155.0	155	32791
208	-138.0	138	32929
209	-131.0	131	33060
210	-140.0	140	33200
211	-139.0	139	33339
212	-138.0	138	33477
213	-109.0	109	33586
214	-105.0	105	33691
215	-139.0	139	33830
216	-105.0	105	33935
217	-133.0	133	34068
218	-105.0	105	34173
219	-140.0	140	34313
220	-136.0	136	34449
221	-136.0	136	34585
222	-128.0	128	34713
223	-107.0	107	34820
224	-114.0	114	34934
225	-105.0	105	35039
226	-119.0	119	35158
227	-110.0	110	35268
228	-140.0	140	35408
229	-136.0	136	35544
230	-144.0	144	35688
231	-136.0	136	35824
232	-108.0	108	35932
233	-135.0	135	36067
234	-114.0	114	36181
235	-147.0	147	36328
236	-134.0	134	36462
237	-136.0	136	36598
238	-141.0	141	36739
239	-141.0	141	36880
240	-107.0	107	36987
241	-112.0	112	37099
242	-137.0	137	37236
243	-107.0	107	37343
244	-107.0	107	37450
245	-142.0	142	37592
246	-145.0	145	37737
247	-137.0	137	37874
248	-135.0	135	38009
249	-110.0	110	38119
250	-138.0	138	38257
251	-105.0	105	38362
252	-106.0	106	38468
253	-138.0	138	38606
254	-106.0	106	38712
255	-135.0	135	38847
256	-104.0	104	38951
257	-108.0	108	39059
258	-112.0	112	39171
259	-150.0	150	39321
260	-161.0	161	39482
261	-133.0	133	39615
262	-135.0	135	39750
263	-134.0	134	39884
264	-129.0	129	40013
265	-169.0	169	40182
266	-146.0	146	40328
267	-147.0	147	40475
268	-132.0	132	40607
269	-137.0	137	40744
270	-135.0	135	40879
271	-162.0	162	41041
272	-114.0	114	41155
273	-146.0	146	41301
274	-147.0	147	41448
275	-145.0	145	41593
276	-114.0	114	41707
277	-179.0	179	41886
278	-138.0	138	42024
279	-132.0	132	42156
280	-136.0	136	42292
281	-139.0	139	42431
282	-127.0	127	42558
283	-136.0	136	42694
284	-136.0	136	42830
285	-189.0	189	43019
286	-112.0	112	43131
287	-161.0	161	43292
288	-163.0	163	43455
289	-109.0	109	43564
290	-90.0	90	43654
291	-157.0	157	43811
292	-134.0	134	43945
293	-133.0	133	44078
294	-139.0	139	44217
295	-115.0	115	44332
296	-112.0	112	44444
297	-116.0	116	44560
298	-111.0	111	44671
299	-158.0	158	44829
