Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-500.0	500	500	0	-500.0	500	500
1	-500.0	500	1000	1	-500.0	500	1000
2	-496.0	496	1496	2	-496.0	496	1496
3	-500.0	500	1996	3	-500.0	500	1996
4	-499.0	499	2495	4	-499.0	499	2495
5	-276.0	276	2771	5	-276.0	276	2771
6	-309.0	309	3080	6	-309.0	309	3080
7	-251.0	251	3331	7	-251.0	251	3331
8	-269.0	269	3600	8	-269.0	269	3600
9	-274.0	274	3874	9	-274.0	274	3874
10	-275.0	275	4149	10	-275.0	275	4149
11	-243.0	243	4392	11	-243.0	243	4392
12	-273.0	273	4665	12	-273.0	273	4665
13	-163.0	163	4828	13	-163.0	163	4828
14	-268.0	268	5096	14	-268.0	268	5096
15	-240.0	240	5336	15	-240.0	240	5336
16	-161.0	161	5497	16	-161.0	161	5497
17	-205.0	205	5702	17	-205.0	205	5702
18	-222.0	222	5924	18	-222.0	222	5924
19	-144.0	144	6068	19	-144.0	144	6068
20	-153.0	153	6221	20	-153.0	153	6221
21	-151.0	151	6372	21	-151.0	151	6372
22	-200.0	200	6572	22	-200.0	200	6572
23	-189.0	189	6761	23	-189.0	189	6761
24	-157.0	157	6918	24	-157.0	157	6918
25	-156.0	156	7074	25	-156.0	156	7074
26	-187.0	187	7261	26	-187.0	187	7261
27	-186.0	186	7447	27	-186.0	186	7447
28	-143.0	143	7590	28	-143.0	143	7590
29	-185.0	185	7775	29	-185.0	185	7775
30	-147.0	147	7922	30	-147.0	147	7922
31	-149.0	149	8071	31	-149.0	149	8071
32	-192.0	192	8263	32	-192.0	192	8263
33	-210.0	210	8473	33	-210.0	210	8473
34	-145.0	145	8618	34	-145.0	145	8618
35	-228.0	228	8846	35	-228.0	228	8846
36	-188.0	188	9034	36	-188.0	188	9034
37	-119.0	119	9153	37	-119.0	119	9153
38	-202.0	202	9355	38	-202.0	202	9355
39	-148.0	148	9503	39	-148.0	148	9503
40	-119.0	119	9622	40	-119.0	119	9622
41	-110.0	110	9732	41	-110.0	110	9732
42	-142.0	142	9874	42	-142.0	142	9874
43	-143.0	143	10017	43	-143.0	143	10017
44	-131.0	131	10148	44	-131.0	131	10148
45	-137.0	137	10285	45	-137.0	137	10285
46	-150.0	150	10435	46	-150.0	150	10435
47	-107.0	107	10542	47	-107.0	107	10542
