Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500
1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000
2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500
3	-500.0	500	2000	3	-500.0	500	2000	3	-500.0	500	2000
4	-500.0	500	2500	4	-500.0	500	2500	4	-500.0	500	2500
5	-494.0	494	2994	5	-494.0	494	2994	5	-494.0	494	2994
6	-307.0	307	3301	6	-307.0	307	3301	6	-307.0	307	3301
7	-273.0	273	3574	7	-273.0	273	3574	7	-273.0	273	3574
8	-293.0	293	3867	8	-293.0	293	3867	8	-293.0	293	3867
9	-233.0	233	4100	9	-233.0	233	4100	9	-233.0	233	4100
10	-277.0	277	4377	10	-277.0	277	4377	10	-277.0	277	4377
11	-161.0	161	4538	11	-161.0	161	4538	11	-161.0	161	4538
12	-238.0	238	4776	12	-238.0	238	4776	12	-238.0	238	4776
13	-161.0	161	4937	13	-161.0	161	4937	13	-161.0	161	4937
14	-210.0	210	5147	14	-210.0	210	5147	14	-210.0	210	5147
15	-184.0	184	5331	15	-184.0	184	5331	15	-184.0	184	5331
16	-246.0	246	5577	16	-246.0	246	5577	16	-246.0	246	5577
17	-157.0	157	5734	17	-157.0	157	5734	17	-157.0	157	5734
18	-196.0	196	5930	18	-196.0	196	5930	18	-196.0	196	5930
19	-150.0	150	6080	19	-150.0	150	6080	19	-150.0	150	6080
20	-152.0	152	6232	20	-152.0	152	6232	20	-152.0	152	6232
21	-149.0	149	6381	21	-149.0	149	6381	21	-149.0	149	6381
22	-206.0	206	6587	22	-206.0	206	6587	22	-206.0	206	6587
23	-254.0	254	6841	23	-254.0	254	6841	23	-254.0	254	6841
24	-251.0	251	7092	24	-251.0	251	7092	24	-251.0	251	7092
25	-217.0	217	7309	25	-217.0	217	7309	25	-217.0	217	7309
26	-145.0	145	7454	26	-145.0	145	7454	26	-145.0	145	7454
27	-132.0	132	7586	27	-132.0	132	7586	27	-132.0	132	7586
28	-149.0	149	7735	28	-149.0	149	7735	28	-149.0	149	7735
29	-143.0	143	7878	29	-143.0	143	7878	29	-143.0	143	7878
30	-113.0	113	7991	30	-113.0	113	7991	30	-113.0	113	7991
31	-214.0	214	8205	31	-214.0	214	8205	31	-214.0	214	8205
32	-154.0	154	8359	32	-154.0	154	8359	32	-154.0	154	8359
33	-186.0	186	8545	33	-186.0	186	8545	33	-186.0	186	8545
34	-200.0	200	8745	34	-200.0	200	8745	34	-200.0	200	8745
35	-185.0	185	8930	35	-185.0	185	8930	35	-185.0	185	8930
36	-151.0	151	9081	36	-151.0	151	9081	36	-151.0	151	9081
37	-154.0	154	9235	37	-154.0	154	9235	37	-154.0	154	9235
38	-178.0	178	9413	38	-178.0	178	9413	38	-178.0	178	9413
39	-152.0	152	9565	39	-152.0	152	9565	39	-152.0	152	9565
40	-159.0	159	9724	40	-159.0	159	9724	40	-159.0	159	9724
41	-144.0	144	9868	41	-144.0	144	9868	41	-144.0	144	9868
42	-142.0	142	10010	42	-142.0	142	10010	42	-142.0	142	10010
43	-139.0	139	10149	43	-139.0	139	10149	43	-139.0	139	10149
44	-151.0	151	10300	44	-151.0	151	10300	44	-151.0	151	10300
45	-145.0	145	10445	45	-145.0	145	10445	45	-145.0	145	10445
