Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500
1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000
2	-469.0	469	1469	2	-469.0	469	1469	2	-469.0	469	1469	2	-469.0	469	1469	2	-469.0	469	1469
3	-500.0	500	1969	3	-500.0	500	1969	3	-500.0	500	1969	3	-500.0	500	1969	3	-500.0	500	1969
4	-350.0	350	2319	4	-350.0	350	2319	4	-350.0	350	2319	4	-350.0	350	2319	4	-350.0	350	2319
5	-491.0	491	2810	5	-491.0	491	2810	5	-491.0	491	2810	5	-491.0	491	2810	5	-491.0	491	2810
6	-319.0	319	3129	6	-319.0	319	3129	6	-319.0	319	3129	6	-319.0	319	3129	6	-319.0	319	3129
7	-245.0	245	3374	7	-245.0	245	3374	7	-245.0	245	3374	7	-245.0	245	3374	7	-245.0	245	3374
8	-225.0	225	3599	8	-225.0	225	3599	8	-225.0	225	3599	8	-225.0	225	3599	8	-225.0	225	3599
9	-246.0	246	3845	9	-246.0	246	3845	9	-246.0	246	3845	9	-246.0	246	3845	9	-246.0	246	3845
10	-233.0	233	4078	10	-233.0	233	4078	10	-233.0	233	4078	10	-233.0	233	4078	10	-233.0	233	4078
11	-282.0	282	4360	11	-282.0	282	4360	11	-282.0	282	4360	11	-282.0	282	4360	11	-282.0	282	4360
12	-158.0	158	4518	12	-158.0	158	4518	12	-158.0	158	4518	12	-158.0	158	4518	12	-158.0	158	4518
13	-214.0	214	4732	13	-214.0	214	4732	13	-214.0	214	4732	13	-214.0	214	4732	13	-214.0	214	4732
14	-238.0	238	4970	14	-238.0	238	4970	14	-238.0	238	4970	14	-238.0	238	4970	14	-238.0	238	4970
15	-262.0	262	5232	15	-262.0	262	5232	15	-262.0	262	5232	15	-262.0	262	5232	15	-262.0	262	5232
16	-227.0	227	5459	16	-227.0	227	5459	16	-227.0	227	5459	16	-227.0	227	5459	16	-227.0	227	5459
17	-230.0	230	5689	17	-230.0	230	5689	17	-230.0	230	5689	17	-230.0	230	5689	17	-230.0	230	5689
18	-193.0	193	5882	18	-193.0	193	5882	18	-193.0	193	5882	18	-193.0	193	5882	18	-193.0	193	5882
19	-186.0	186	6068	19	-186.0	186	6068	19	-186.0	186	6068	19	-186.0	186	6068	19	-186.0	186	6068
20	-182.0	182	6250	20	-182.0	182	6250	20	-182.0	182	6250	20	-182.0	182	6250	20	-182.0	182	6250
21	-179.0	179	6429	21	-179.0	179	6429	21	-179.0	179	6429	21	-179.0	179	6429	21	-179.0	179	6429
22	-151.0	151	6580	22	-151.0	151	6580	22	-151.0	151	6580	22	-151.0	151	6580	22	-151.0	151	6580
23	-230.0	230	6810	23	-230.0	230	6810	23	-230.0	230	6810	23	-230.0	230	6810	23	-230.0	230	6810
