Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500
1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000
2	-486.0	486	1486	2	-486.0	486	1486	2	-486.0	486	1486	2	-486.0	486	1486	2	-486.0	486	1486	2	-486.0	486	1486
3	-500.0	500	1986	3	-500.0	500	1986	3	-500.0	500	1986	3	-500.0	500	1986	3	-500.0	500	1986	3	-500.0	500	1986
4	-258.0	258	2244	4	-258.0	258	2244	4	-258.0	258	2244	4	-258.0	258	2244	4	-258.0	258	2244	4	-258.0	258	2244
5	-500.0	500	2744	5	-500.0	500	2744	5	-500.0	500	2744	5	-500.0	500	2744	5	-500.0	500	2744	5	-500.0	500	2744
6	-240.0	240	2984	6	-240.0	240	2984	6	-240.0	240	2984	6	-240.0	240	2984	6	-240.0	240	2984	6	-240.0	240	2984
7	-283.0	283	3267	7	-283.0	283	3267	7	-283.0	283	3267	7	-283.0	283	3267	7	-283.0	283	3267	7	-283.0	283	3267
8	-203.0	203	3470	8	-203.0	203	3470	8	-203.0	203	3470	8	-203.0	203	3470	8	-203.0	203	3470	8	-203.0	203	3470
9	-383.0	383	3853	9	-383.0	383	3853	9	-383.0	383	3853	9	-383.0	383	3853	9	-383.0	383	3853	9	-383.0	383	3853
10	-247.0	247	4100	10	-247.0	247	4100	10	-247.0	247	4100	10	-247.0	247	4100	10	-247.0	247	4100	10	-247.0	247	4100
11	-236.0	236	4336	11	-236.0	236	4336	11	-236.0	236	4336	11	-236.0	236	4336	11	-236.0	236	4336	11	-236.0	236	4336
12	-229.0	229	4565	12	-229.0	229	4565	12	-229.0	229	4565	12	-229.0	229	4565	12	-229.0	229	4565	12	-229.0	229	4565
13	-152.0	152	4717	13	-152.0	152	4717	13	-152.0	152	4717	13	-152.0	152	4717	13	-152.0	152	4717	13	-152.0	152	4717
14	-234.0	234	4951	14	-234.0	234	4951	14	-234.0	234	4951	14	-234.0	234	4951	14	-234.0	234	4951	14	-234.0	234	4951
15	-238.0	238	5189	15	-238.0	238	5189	15	-238.0	238	5189	15	-238.0	238	5189	15	-238.0	238	5189	15	-238.0	238	5189
16	-223.0	223	5412	16	-223.0	223	5412	16	-223.0	223	5412	16	-223.0	223	5412	16	-223.0	223	5412	16	-223.0	223	5412
17	-196.0	196	5608	17	-196.0	196	5608	17	-196.0	196	5608	17	-196.0	196	5608	17	-196.0	196	5608	17	-196.0	196	5608
18	-188.0	188	5796	18	-188.0	188	5796	18	-188.0	188	5796	18	-188.0	188	5796	18	-188.0	188	5796	18	-188.0	188	5796
19	-249.0	249	6045	19	-249.0	249	6045	19	-249.0	249	6045	19	-249.0	249	6045	19	-249.0	249	6045	19	-249.0	249	6045
20	-151.0	151	6196	20	-151.0	151	6196	20	-151.0	151	6196	20	-151.0	151	6196	20	-151.0	151	6196	20	-151.0	151	6196
21	-221.0	221	6417	21	-221.0	221	6417	21	-221.0	221	6417	21	-221.0	221	6417	21	-221.0	221	6417	21	-221.0	221	6417
22	-223.0	223	6640	22	-223.0	223	6640	22	-223.0	223	6640	22	-223.0	223	6640	22	-223.0	223	6640	22	-223.0	223	6640
23	-146.0	146	6786	23	-146.0	146	6786	23	-146.0	146	6786	23	-146.0	146	6786	23	-146.0	146	6786	23	-146.0	146	6786
24	-154.0	154	6940	24	-154.0	154	6940	24	-154.0	154	6940	24	-154.0	154	6940	24	-154.0	154	6940	24	-154.0	154	6940
25	-225.0	225	7165	25	-225.0	225	7165	25	-225.0	225	7165	25	-225.0	225	7165	25	-225.0	225	7165	25	-225.0	225	7165
26	-219.0	219	7384	26	-219.0	219	7384	26	-219.0	219	7384	26	-219.0	219	7384	26	-219.0	219	7384	26	-219.0	219	7384
27	-143.0	143	7527	27	-143.0	143	7527	27	-143.0	143	7527	27	-143.0	143	7527	27	-143.0	143	7527	27	-143.0	143	7527
28	-157.0	157	7684	28	-157.0	157	7684	28	-157.0	157	7684	28	-157.0	157	7684	28	-157.0	157	7684	28	-157.0	157	7684
29	-152.0	152	7836	29	-152.0	152	7836	29	-152.0	152	7836	29	-152.0	152	7836	29	-152.0	152	7836	29	-152.0	152	7836
30	-151.0	151	7987	30	-151.0	151	7987	30	-151.0	151	7987	30	-151.0	151	7987	30	-151.0	151	7987	30	-151.0	151	7987
31	-154.0	154	8141	31	-154.0	154	8141	31	-154.0	154	8141	31	-154.0	154	8141	31	-154.0	154	8141	31	-154.0	154	8141
32	-154.0	154	8295	32	-154.0	154	8295	32	-154.0	154	8295	32	-154.0	154	8295	32	-154.0	154	8295	32	-154.0	154	8295
33	-143.0	143	8438	33	-143.0	143	8438	33	-143.0	143	8438	33	-143.0	143	8438	33	-143.0	143	8438	33	-143.0	143	8438
34	-202.0	202	8640	34	-202.0	202	8640	34	-202.0	202	8640	34	-202.0	202	8640	34	-202.0	202	8640	34	-202.0	202	8640
35	-145.0	145	8785	35	-145.0	145	8785	35	-145.0	145	8785	35	-145.0	145	8785	35	-145.0	145	8785	35	-145.0	145	8785
36	-208.0	208	8993	36	-208.0	208	8993	36	-208.0	208	8993	36	-208.0	208	8993	36	-208.0	208	8993	36	-208.0	208	8993
37	-151.0	151	9144	37	-151.0	151	9144	37	-151.0	151	9144	37	-151.0	151	9144	37	-151.0	151	9144	37	-151.0	151	9144
38	-149.0	149	9293	38	-149.0	149	9293	38	-149.0	149	9293	38	-149.0	149	9293	38	-149.0	149	9293	38	-149.0	149	9293
39	-206.0	206	9499	39	-206.0	206	9499	39	-206.0	206	9499	39	-206.0	206	9499	39	-206.0	206	9499	39	-206.0	206	9499
40	-144.0	144	9643	40	-144.0	144	9643	40	-144.0	144	9643	40	-144.0	144	9643	40	-144.0	144	9643	40	-144.0	144	9643
41	-143.0	143	9786	41	-143.0	143	9786	41	-143.0	143	9786	41	-143.0	143	9786	41	-143.0	143	9786	41	-143.0	143	9786
42	-147.0	147	9933	42	-147.0	147	9933	42	-147.0	147	9933	42	-147.0	147	9933	42	-147.0	147	9933	42	-147.0	147	9933
43	-141.0	141	10074	43	-141.0	141	10074	43	-141.0	141	10074	43	-141.0	141	10074	43	-141.0	141	10074	43	-141.0	141	10074
44	-206.0	206	10280	44	-206.0	206	10280	44	-206.0	206	10280	44	-206.0	206	10280	44	-206.0	206	10280	44	-206.0	206	10280
45	-143.0	143	10423	45	-143.0	143	10423	45	-143.0	143	10423	45	-143.0	143	10423	45	-143.0	143	10423	45	-143.0	143	10423
46	-147.0	147	10570	46	-147.0	147	10570	46	-147.0	147	10570	46	-147.0	147	10570	46	-147.0	147	10570	46	-147.0	147	10570
