Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500
1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000
2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500
3	-373.0	373	1873	3	-373.0	373	1873	3	-373.0	373	1873	3	-373.0	373	1873	3	-373.0	373	1873	3	-373.0	373	1873	3	-373.0	373	1873
4	-413.0	413	2286	4	-413.0	413	2286	4	-413.0	413	2286	4	-413.0	413	2286	4	-413.0	413	2286	4	-413.0	413	2286	4	-413.0	413	2286
5	-392.0	392	2678	5	-392.0	392	2678	5	-392.0	392	2678	5	-392.0	392	2678	5	-392.0	392	2678	5	-392.0	392	2678	5	-392.0	392	2678
6	-290.0	290	2968	6	-290.0	290	2968	6	-290.0	290	2968	6	-290.0	290	2968	6	-290.0	290	2968	6	-290.0	290	2968	6	-290.0	290	2968
7	-242.0	242	3210	7	-242.0	242	3210	7	-242.0	242	3210	7	-242.0	242	3210	7	-242.0	242	3210	7	-242.0	242	3210	7	-242.0	242	3210
8	-289.0	289	3499	8	-289.0	289	3499	8	-289.0	289	3499	8	-289.0	289	3499	8	-289.0	289	3499	8	-289.0	289	3499	8	-289.0	289	3499
9	-234.0	234	3733	9	-234.0	234	3733	9	-234.0	234	3733	9	-234.0	234	3733	9	-234.0	234	3733	9	-234.0	234	3733	9	-234.0	234	3733
10	-235.0	235	3968	10	-235.0	235	3968	10	-235.0	235	3968	10	-235.0	235	3968	10	-235.0	235	3968	10	-235.0	235	3968	10	-235.0	235	3968
11	-214.0	214	4182	11	-214.0	214	4182	11	-214.0	214	4182	11	-214.0	214	4182	11	-214.0	214	4182	11	-214.0	214	4182	11	-214.0	214	4182
