Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500
1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000
2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500
3	-500.0	500	2000	3	-500.0	500	2000	3	-500.0	500	2000	3	-500.0	500	2000	3	-500.0	500	2000	3	-500.0	500	2000	3	-500.0	500	2000	3	-500.0	500	2000
4	-319.0	319	2319	4	-319.0	319	2319	4	-319.0	319	2319	4	-319.0	319	2319	4	-319.0	319	2319	4	-319.0	319	2319	4	-319.0	319	2319	4	-319.0	319	2319
5	-327.0	327	2646	5	-327.0	327	2646	5	-327.0	327	2646	5	-327.0	327	2646	5	-327.0	327	2646	5	-327.0	327	2646	5	-327.0	327	2646	5	-327.0	327	2646
6	-500.0	500	3146	6	-500.0	500	3146	6	-500.0	500	3146	6	-500.0	500	3146	6	-500.0	500	3146	6	-500.0	500	3146	6	-500.0	500	3146	6	-500.0	500	3146
7	-204.0	204	3350	7	-204.0	204	3350	7	-204.0	204	3350	7	-204.0	204	3350	7	-204.0	204	3350	7	-204.0	204	3350	7	-204.0	204	3350	7	-204.0	204	3350
8	-342.0	342	3692	8	-342.0	342	3692	8	-342.0	342	3692	8	-342.0	342	3692	8	-342.0	342	3692	8	-342.0	342	3692	8	-342.0	342	3692	8	-342.0	342	3692
9	-259.0	259	3951	9	-259.0	259	3951	9	-259.0	259	3951	9	-259.0	259	3951	9	-259.0	259	3951	9	-259.0	259	3951	9	-259.0	259	3951	9	-259.0	259	3951
10	-276.0	276	4227	10	-276.0	276	4227	10	-276.0	276	4227	10	-276.0	276	4227	10	-276.0	276	4227	10	-276.0	276	4227	10	-276.0	276	4227	10	-276.0	276	4227
11	-156.0	156	4383	11	-156.0	156	4383	11	-156.0	156	4383	11	-156.0	156	4383	11	-156.0	156	4383	11	-156.0	156	4383	11	-156.0	156	4383	11	-156.0	156	4383
12	-198.0	198	4581	12	-198.0	198	4581	12	-198.0	198	4581	12	-198.0	198	4581	12	-198.0	198	4581	12	-198.0	198	4581	12	-198.0	198	4581	12	-198.0	198	4581
13	-260.0	260	4841	13	-260.0	260	4841	13	-260.0	260	4841	13	-260.0	260	4841	13	-260.0	260	4841	13	-260.0	260	4841	13	-260.0	260	4841	13	-260.0	260	4841
14	-255.0	255	5096	14	-255.0	255	5096	14	-255.0	255	5096	14	-255.0	255	5096	14	-255.0	255	5096	14	-255.0	255	5096	14	-255.0	255	5096	14	-255.0	255	5096
15	-224.0	224	5320	15	-224.0	224	5320	15	-224.0	224	5320	15	-224.0	224	5320	15	-224.0	224	5320	15	-224.0	224	5320	15	-224.0	224	5320	15	-224.0	224	5320
16	-208.0	208	5528	16	-208.0	208	5528	16	-208.0	208	5528	16	-208.0	208	5528	16	-208.0	208	5528	16	-208.0	208	5528	16	-208.0	208	5528	16	-208.0	208	5528
17	-186.0	186	5714	17	-186.0	186	5714	17	-186.0	186	5714	17	-186.0	186	5714	17	-186.0	186	5714	17	-186.0	186	5714	17	-186.0	186	5714	17	-186.0	186	5714
18	-147.0	147	5861	18	-147.0	147	5861	18	-147.0	147	5861	18	-147.0	147	5861	18	-147.0	147	5861	18	-147.0	147	5861	18	-147.0	147	5861	18	-147.0	147	5861
19	-158.0	158	6019	19	-158.0	158	6019	19	-158.0	158	6019	19	-158.0	158	6019	19	-158.0	158	6019	19	-158.0	158	6019	19	-158.0	158	6019	19	-158.0	158	6019
20	-155.0	155	6174	20	-155.0	155	6174	20	-155.0	155	6174	20	-155.0	155	6174	20	-155.0	155	6174	20	-155.0	155	6174	20	-155.0	155	6174	20	-155.0	155	6174
21	-184.0	184	6358	21	-184.0	184	6358	21	-184.0	184	6358	21	-184.0	184	6358	21	-184.0	184	6358	21	-184.0	184	6358	21	-184.0	184	6358	21	-184.0	184	6358
22	-158.0	158	6516	22	-158.0	158	6516	22	-158.0	158	6516	22	-158.0	158	6516	22	-158.0	158	6516	22	-158.0	158	6516	22	-158.0	158	6516	22	-158.0	158	6516
23	-161.0	161	6677	23	-161.0	161	6677	23	-161.0	161	6677	23	-161.0	161	6677	23	-161.0	161	6677	23	-161.0	161	6677	23	-161.0	161	6677	23	-161.0	161	6677
24	-154.0	154	6831	24	-154.0	154	6831	24	-154.0	154	6831	24	-154.0	154	6831	24	-154.0	154	6831	24	-154.0	154	6831	24	-154.0	154	6831	24	-154.0	154	6831
25	-158.0	158	6989	25	-158.0	158	6989	25	-158.0	158	6989	25	-158.0	158	6989	25	-158.0	158	6989	25	-158.0	158	6989	25	-158.0	158	6989	25	-158.0	158	6989
26	-202.0	202	7191	26	-202.0	202	7191	26	-202.0	202	7191	26	-202.0	202	7191	26	-202.0	202	7191	26	-202.0	202	7191	26	-202.0	202	7191	26	-202.0	202	7191
27	-148.0	148	7339	27	-148.0	148	7339	27	-148.0	148	7339	27	-148.0	148	7339	27	-148.0	148	7339	27	-148.0	148	7339	27	-148.0	148	7339	27	-148.0	148	7339
28	-146.0	146	7485	28	-146.0	146	7485	28	-146.0	146	7485	28	-146.0	146	7485	28	-146.0	146	7485	28	-146.0	146	7485	28	-146.0	146	7485	28	-146.0	146	7485
29	-184.0	184	7669	29	-184.0	184	7669	29	-184.0	184	7669	29	-184.0	184	7669	29	-184.0	184	7669	29	-184.0	184	7669	29	-184.0	184	7669	29	-184.0	184	7669
30	-152.0	152	7821	30	-152.0	152	7821	30	-152.0	152	7821	30	-152.0	152	7821	30	-152.0	152	7821	30	-152.0	152	7821	30	-152.0	152	7821	30	-152.0	152	7821
31	-143.0	143	7964	31	-143.0	143	7964	31	-143.0	143	7964	31	-143.0	143	7964	31	-143.0	143	7964	31	-143.0	143	7964	31	-143.0	143	7964	31	-143.0	143	7964
32	-238.0	238	8202	32	-238.0	238	8202	32	-238.0	238	8202	32	-238.0	238	8202	32	-238.0	238	8202	32	-238.0	238	8202	32	-238.0	238	8202	32	-238.0	238	8202
33	-192.0	192	8394	33	-192.0	192	8394	33	-192.0	192	8394	33	-192.0	192	8394	33	-192.0	192	8394	33	-192.0	192	8394	33	-192.0	192	8394	33	-192.0	192	8394
34	-184.0	184	8578	34	-184.0	184	8578	34	-184.0	184	8578	34	-184.0	184	8578	34	-184.0	184	8578	34	-184.0	184	8578	34	-184.0	184	8578	34	-184.0	184	8578
35	-159.0	159	8737	35	-159.0	159	8737	35	-159.0	159	8737	35	-159.0	159	8737	35	-159.0	159	8737	35	-159.0	159	8737	35	-159.0	159	8737	35	-159.0	159	8737
36	-170.0	170	8907	36	-170.0	170	8907	36	-170.0	170	8907	36	-170.0	170	8907	36	-170.0	170	8907	36	-170.0	170	8907	36	-170.0	170	8907	36	-170.0	170	8907
37	-150.0	150	9057	37	-150.0	150	9057	37	-150.0	150	9057	37	-150.0	150	9057	37	-150.0	150	9057	37	-150.0	150	9057	37	-150.0	150	9057	37	-150.0	150	9057
38	-157.0	157	9214	38	-157.0	157	9214	38	-157.0	157	9214	38	-157.0	157	9214	38	-157.0	157	9214	38	-157.0	157	9214	38	-157.0	157	9214	38	-157.0	157	9214
39	-137.0	137	9351	39	-137.0	137	9351	39	-137.0	137	9351	39	-137.0	137	9351	39	-137.0	137	9351	39	-137.0	137	9351	39	-137.0	137	9351	39	-137.0	137	9351
40	-132.0	132	9483	40	-132.0	132	9483	40	-132.0	132	9483	40	-132.0	132	9483	40	-132.0	132	9483	40	-132.0	132	9483	40	-132.0	132	9483	40	-132.0	132	9483
41	-143.0	143	9626	41	-143.0	143	9626	41	-143.0	143	9626	41	-143.0	143	9626	41	-143.0	143	9626	41	-143.0	143	9626	41	-143.0	143	9626	41	-143.0	143	9626
42	-115.0	115	9741	42	-115.0	115	9741	42	-115.0	115	9741	42	-115.0	115	9741	42	-115.0	115	9741	42	-115.0	115	9741	42	-115.0	115	9741	42	-115.0	115	9741
43	-184.0	184	9925	43	-184.0	184	9925	43	-184.0	184	9925	43	-184.0	184	9925	43	-184.0	184	9925	43	-184.0	184	9925	43	-184.0	184	9925	43	-184.0	184	9925
44	-142.0	142	10067	44	-142.0	142	10067	44	-142.0	142	10067	44	-142.0	142	10067	44	-142.0	142	10067	44	-142.0	142	10067	44	-142.0	142	10067	44	-142.0	142	10067
45	-115.0	115	10182	45	-115.0	115	10182	45	-115.0	115	10182	45	-115.0	115	10182	45	-115.0	115	10182	45	-115.0	115	10182	45	-115.0	115	10182	45	-115.0	115	10182
46	-176.0	176	10358	46	-176.0	176	10358	46	-176.0	176	10358	46	-176.0	176	10358	46	-176.0	176	10358	46	-176.0	176	10358	46	-176.0	176	10358	46	-176.0	176	10358
47	-205.0	205	10563	47	-205.0	205	10563	47	-205.0	205	10563	47	-205.0	205	10563	47	-205.0	205	10563	47	-205.0	205	10563	47	-205.0	205	10563	47	-205.0	205	10563
48	-139.0	139	10702	48	-139.0	139	10702	48	-139.0	139	10702	48	-139.0	139	10702	48	-139.0	139	10702	48	-139.0	139	10702	48	-139.0	139	10702	48	-139.0	139	10702
49	-189.0	189	10891	49	-189.0	189	10891	49	-189.0	189	10891	49	-189.0	189	10891	49	-189.0	189	10891	49	-189.0	189	10891	49	-189.0	189	10891	49	-189.0	189	10891
50	-142.0	142	11033	50	-142.0	142	11033	50	-142.0	142	11033	50	-142.0	142	11033	50	-142.0	142	11033	50	-142.0	142	11033	50	-142.0	142	11033	50	-142.0	142	11033
51	-145.0	145	11178	51	-145.0	145	11178	51	-145.0	145	11178	51	-145.0	145	11178	51	-145.0	145	11178	51	-145.0	145	11178	51	-145.0	145	11178	51	-145.0	145	11178
52	-150.0	150	11328	52	-150.0	150	11328	52	-150.0	150	11328	52	-150.0	150	11328	52	-150.0	150	11328	52	-150.0	150	11328	52	-150.0	150	11328	52	-150.0	150	11328
53	-114.0	114	11442	53	-114.0	114	11442	53	-114.0	114	11442	53	-114.0	114	11442	53	-114.0	114	11442	53	-114.0	114	11442	53	-114.0	114	11442	53	-114.0	114	11442
54	-142.0	142	11584	54	-142.0	142	11584	54	-142.0	142	11584	54	-142.0	142	11584	54	-142.0	142	11584	54	-142.0	142	11584	54	-142.0	142	11584	54	-142.0	142	11584
55	-146.0	146	11730	55	-146.0	146	11730	55	-146.0	146	11730	55	-146.0	146	11730	55	-146.0	146	11730	55	-146.0	146	11730	55	-146.0	146	11730	55	-146.0	146	11730
56	-146.0	146	11876	56	-146.0	146	11876	56	-146.0	146	11876	56	-146.0	146	11876	56	-146.0	146	11876	56	-146.0	146	11876	56	-146.0	146	11876	56	-146.0	146	11876
57	-187.0	187	12063	57	-187.0	187	12063	57	-187.0	187	12063	57	-187.0	187	12063	57	-187.0	187	12063	57	-187.0	187	12063	57	-187.0	187	12063	57	-187.0	187	12063
58	-138.0	138	12201	58	-138.0	138	12201	58	-138.0	138	12201	58	-138.0	138	12201	58	-138.0	138	12201	58	-138.0	138	12201	58	-138.0	138	12201	58	-138.0	138	12201
59	-144.0	144	12345	59	-144.0	144	12345	59	-144.0	144	12345	59	-144.0	144	12345	59	-144.0	144	12345	59	-144.0	144	12345	59	-144.0	144	12345	59	-144.0	144	12345
60	-141.0	141	12486	60	-141.0	141	12486	60	-141.0	141	12486	60	-141.0	141	12486	60	-141.0	141	12486	60	-141.0	141	12486	60	-141.0	141	12486	60	-141.0	141	12486
61	-147.0	147	12633	61	-147.0	147	12633	61	-147.0	147	12633	61	-147.0	147	12633	61	-147.0	147	12633	61	-147.0	147	12633	61	-147.0	147	12633	61	-147.0	147	12633
62	-138.0	138	12771	62	-138.0	138	12771	62	-138.0	138	12771	62	-138.0	138	12771	62	-138.0	138	12771	62	-138.0	138	12771	62	-138.0	138	12771	62	-138.0	138	12771
63	-151.0	151	12922	63	-151.0	151	12922	63	-151.0	151	12922	63	-151.0	151	12922	63	-151.0	151	12922	63	-151.0	151	12922	63	-151.0	151	12922	63	-151.0	151	12922
64	-153.0	153	13075	64	-153.0	153	13075	64	-153.0	153	13075	64	-153.0	153	13075	64	-153.0	153	13075	64	-153.0	153	13075	64	-153.0	153	13075	64	-153.0	153	13075
65	-152.0	152	13227	65	-152.0	152	13227	65	-152.0	152	13227	65	-152.0	152	13227	65	-152.0	152	13227	65	-152.0	152	13227	65	-152.0	152	13227	65	-152.0	152	13227
66	-150.0	150	13377	66	-150.0	150	13377	66	-150.0	150	13377	66	-150.0	150	13377	66	-150.0	150	13377	66	-150.0	150	13377	66	-150.0	150	13377	66	-150.0	150	13377
67	-150.0	150	13527	67	-150.0	150	13527	67	-150.0	150	13527	67	-150.0	150	13527	67	-150.0	150	13527	67	-150.0	150	13527	67	-150.0	150	13527	67	-150.0	150	13527
68	-146.0	146	13673	68	-146.0	146	13673	68	-146.0	146	13673	68	-146.0	146	13673	68	-146.0	146	13673	68	-146.0	146	13673	68	-146.0	146	13673	68	-146.0	146	13673
69	-155.0	155	13828	69	-155.0	155	13828	69	-155.0	155	13828	69	-155.0	155	13828	69	-155.0	155	13828	69	-155.0	155	13828	69	-155.0	155	13828	69	-155.0	155	13828
