Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500
1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000
2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500
3	-500.0	500	2000	3	-500.0	500	2000	3	-500.0	500	2000	3	-500.0	500	2000	3	-500.0	500	2000	3	-500.0	500	2000	3	-500.0	500	2000	3	-500.0	500	2000	3	-500.0	500	2000
4	-252.0	252	2252	4	-252.0	252	2252	4	-252.0	252	2252	4	-252.0	252	2252	4	-252.0	252	2252	4	-252.0	252	2252	4	-252.0	252	2252	4	-252.0	252	2252	4	-252.0	252	2252
5	-297.0	297	2549	5	-297.0	297	2549	5	-297.0	297	2549	5	-297.0	297	2549	5	-297.0	297	2549	5	-297.0	297	2549	5	-297.0	297	2549	5	-297.0	297	2549	5	-297.0	297	2549
6	-242.0	242	2791	6	-242.0	242	2791	6	-242.0	242	2791	6	-242.0	242	2791	6	-242.0	242	2791	6	-242.0	242	2791	6	-242.0	242	2791	6	-242.0	242	2791	6	-242.0	242	2791
7	-279.0	279	3070	7	-279.0	279	3070	7	-279.0	279	3070	7	-279.0	279	3070	7	-279.0	279	3070	7	-279.0	279	3070	7	-279.0	279	3070	7	-279.0	279	3070	7	-279.0	279	3070
8	-198.0	198	3268	8	-198.0	198	3268	8	-198.0	198	3268	8	-198.0	198	3268	8	-198.0	198	3268	8	-198.0	198	3268	8	-198.0	198	3268	8	-198.0	198	3268	8	-198.0	198	3268
9	-238.0	238	3506	9	-238.0	238	3506	9	-238.0	238	3506	9	-238.0	238	3506	9	-238.0	238	3506	9	-238.0	238	3506	9	-238.0	238	3506	9	-238.0	238	3506	9	-238.0	238	3506
10	-322.0	322	3828	10	-322.0	322	3828	10	-322.0	322	3828	10	-322.0	322	3828	10	-322.0	322	3828	10	-322.0	322	3828	10	-322.0	322	3828	10	-322.0	322	3828	10	-322.0	322	3828
11	-347.0	347	4175	11	-347.0	347	4175	11	-347.0	347	4175	11	-347.0	347	4175	11	-347.0	347	4175	11	-347.0	347	4175	11	-347.0	347	4175	11	-347.0	347	4175	11	-347.0	347	4175
12	-156.0	156	4331	12	-156.0	156	4331	12	-156.0	156	4331	12	-156.0	156	4331	12	-156.0	156	4331	12	-156.0	156	4331	12	-156.0	156	4331	12	-156.0	156	4331	12	-156.0	156	4331
13	-203.0	203	4534	13	-203.0	203	4534	13	-203.0	203	4534	13	-203.0	203	4534	13	-203.0	203	4534	13	-203.0	203	4534	13	-203.0	203	4534	13	-203.0	203	4534	13	-203.0	203	4534
