Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500
1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000
2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500
3	-423.0	423	1923	3	-423.0	423	1923	3	-423.0	423	1923	3	-423.0	423	1923	3	-423.0	423	1923	3	-423.0	423	1923	3	-423.0	423	1923	3	-423.0	423	1923	3	-423.0	423	1923	3	-423.0	423	1923
4	-354.0	354	2277	4	-354.0	354	2277	4	-354.0	354	2277	4	-354.0	354	2277	4	-354.0	354	2277	4	-354.0	354	2277	4	-354.0	354	2277	4	-354.0	354	2277	4	-354.0	354	2277	4	-354.0	354	2277
5	-312.0	312	2589	5	-312.0	312	2589	5	-312.0	312	2589	5	-312.0	312	2589	5	-312.0	312	2589	5	-312.0	312	2589	5	-312.0	312	2589	5	-312.0	312	2589	5	-312.0	312	2589	5	-312.0	312	2589
6	-311.0	311	2900	6	-311.0	311	2900	6	-311.0	311	2900	6	-311.0	311	2900	6	-311.0	311	2900	6	-311.0	311	2900	6	-311.0	311	2900	6	-311.0	311	2900	6	-311.0	311	2900	6	-311.0	311	2900
7	-282.0	282	3182	7	-282.0	282	3182	7	-282.0	282	3182	7	-282.0	282	3182	7	-282.0	282	3182	7	-282.0	282	3182	7	-282.0	282	3182	7	-282.0	282	3182	7	-282.0	282	3182	7	-282.0	282	3182
8	-159.0	159	3341	8	-159.0	159	3341	8	-159.0	159	3341	8	-159.0	159	3341	8	-159.0	159	3341	8	-159.0	159	3341	8	-159.0	159	3341	8	-159.0	159	3341	8	-159.0	159	3341	8	-159.0	159	3341
9	-240.0	240	3581	9	-240.0	240	3581	9	-240.0	240	3581	9	-240.0	240	3581	9	-240.0	240	3581	9	-240.0	240	3581	9	-240.0	240	3581	9	-240.0	240	3581	9	-240.0	240	3581	9	-240.0	240	3581
10	-213.0	213	3794	10	-213.0	213	3794	10	-213.0	213	3794	10	-213.0	213	3794	10	-213.0	213	3794	10	-213.0	213	3794	10	-213.0	213	3794	10	-213.0	213	3794	10	-213.0	213	3794	10	-213.0	213	3794
11	-195.0	195	3989	11	-195.0	195	3989	11	-195.0	195	3989	11	-195.0	195	3989	11	-195.0	195	3989	11	-195.0	195	3989	11	-195.0	195	3989	11	-195.0	195	3989	11	-195.0	195	3989	11	-195.0	195	3989
12	-200.0	200	4189	12	-200.0	200	4189	12	-200.0	200	4189	12	-200.0	200	4189	12	-200.0	200	4189	12	-200.0	200	4189	12	-200.0	200	4189	12	-200.0	200	4189	12	-200.0	200	4189	12	-200.0	200	4189
13	-190.0	190	4379	13	-190.0	190	4379	13	-190.0	190	4379	13	-190.0	190	4379	13	-190.0	190	4379	13	-190.0	190	4379	13	-190.0	190	4379	13	-190.0	190	4379	13	-190.0	190	4379	13	-190.0	190	4379
14	-194.0	194	4573	14	-194.0	194	4573	14	-194.0	194	4573	14	-194.0	194	4573	14	-194.0	194	4573	14	-194.0	194	4573	14	-194.0	194	4573	14	-194.0	194	4573	14	-194.0	194	4573	14	-194.0	194	4573
15	-309.0	309	4882	15	-309.0	309	4882	15	-309.0	309	4882	15	-309.0	309	4882	15	-309.0	309	4882	15	-309.0	309	4882	15	-309.0	309	4882	15	-309.0	309	4882	15	-309.0	309	4882	15	-309.0	309	4882
16	-166.0	166	5048	16	-166.0	166	5048	16	-166.0	166	5048	16	-166.0	166	5048	16	-166.0	166	5048	16	-166.0	166	5048	16	-166.0	166	5048	16	-166.0	166	5048	16	-166.0	166	5048	16	-166.0	166	5048
17	-156.0	156	5204	17	-156.0	156	5204	17	-156.0	156	5204	17	-156.0	156	5204	17	-156.0	156	5204	17	-156.0	156	5204	17	-156.0	156	5204	17	-156.0	156	5204	17	-156.0	156	5204	17	-156.0	156	5204
18	-204.0	204	5408	18	-204.0	204	5408	18	-204.0	204	5408	18	-204.0	204	5408	18	-204.0	204	5408	18	-204.0	204	5408	18	-204.0	204	5408	18	-204.0	204	5408	18	-204.0	204	5408	18	-204.0	204	5408
19	-267.0	267	5675	19	-267.0	267	5675	19	-267.0	267	5675	19	-267.0	267	5675	19	-267.0	267	5675	19	-267.0	267	5675	19	-267.0	267	5675	19	-267.0	267	5675	19	-267.0	267	5675	19	-267.0	267	5675
20	-210.0	210	5885	20	-210.0	210	5885	20	-210.0	210	5885	20	-210.0	210	5885	20	-210.0	210	5885	20	-210.0	210	5885	20	-210.0	210	5885	20	-210.0	210	5885	20	-210.0	210	5885	20	-210.0	210	5885
21	-160.0	160	6045	21	-160.0	160	6045	21	-160.0	160	6045	21	-160.0	160	6045	21	-160.0	160	6045	21	-160.0	160	6045	21	-160.0	160	6045	21	-160.0	160	6045	21	-160.0	160	6045	21	-160.0	160	6045
22	-150.0	150	6195	22	-150.0	150	6195	22	-150.0	150	6195	22	-150.0	150	6195	22	-150.0	150	6195	22	-150.0	150	6195	22	-150.0	150	6195	22	-150.0	150	6195	22	-150.0	150	6195	22	-150.0	150	6195
23	-145.0	145	6340	23	-145.0	145	6340	23	-145.0	145	6340	23	-145.0	145	6340	23	-145.0	145	6340	23	-145.0	145	6340	23	-145.0	145	6340	23	-145.0	145	6340	23	-145.0	145	6340	23	-145.0	145	6340
24	-192.0	192	6532	24	-192.0	192	6532	24	-192.0	192	6532	24	-192.0	192	6532	24	-192.0	192	6532	24	-192.0	192	6532	24	-192.0	192	6532	24	-192.0	192	6532	24	-192.0	192	6532	24	-192.0	192	6532
25	-182.0	182	6714	25	-182.0	182	6714	25	-182.0	182	6714	25	-182.0	182	6714	25	-182.0	182	6714	25	-182.0	182	6714	25	-182.0	182	6714	25	-182.0	182	6714	25	-182.0	182	6714	25	-182.0	182	6714
26	-154.0	154	6868	26	-154.0	154	6868	26	-154.0	154	6868	26	-154.0	154	6868	26	-154.0	154	6868	26	-154.0	154	6868	26	-154.0	154	6868	26	-154.0	154	6868	26	-154.0	154	6868	26	-154.0	154	6868
27	-158.0	158	7026	27	-158.0	158	7026	27	-158.0	158	7026	27	-158.0	158	7026	27	-158.0	158	7026	27	-158.0	158	7026	27	-158.0	158	7026	27	-158.0	158	7026	27	-158.0	158	7026	27	-158.0	158	7026
28	-163.0	163	7189	28	-163.0	163	7189	28	-163.0	163	7189	28	-163.0	163	7189	28	-163.0	163	7189	28	-163.0	163	7189	28	-163.0	163	7189	28	-163.0	163	7189	28	-163.0	163	7189	28	-163.0	163	7189
