Episode	Accumulated Reward	Length	Steps
0	-200.0	200	200
1	-200.0	200	400
2	-200.0	200	600
3	-200.0	200	800
4	-200.0	200	1000
5	-200.0	200	1200
6	-200.0	200	1400
7	-200.0	200	1600
8	-200.0	200	1800
9	-200.0	200	2000
10	-200.0	200	2200
11	-200.0	200	2400
12	-200.0	200	2600
13	-200.0	200	2800
14	-200.0	200	3000
15	-200.0	200	3200
16	-200.0	200	3400
17	-158.0	158	3558
18	-200.0	200	3758
19	-200.0	200	3958
20	-200.0	200	4158
21	-195.0	195	4353
22	-197.0	197	4550
23	-195.0	195	4745
24	-194.0	194	4939
25	-158.0	158	5097
26	-155.0	155	5252
27	-200.0	200	5452
28	-167.0	167	5619
29	-194.0	194	5813
30	-200.0	200	6013
31	-200.0	200	6213
32	-188.0	188	6401
33	-200.0	200	6601
34	-156.0	156	6757
35	-200.0	200	6957
36	-187.0	187	7144
37	-200.0	200	7344
38	-155.0	155	7499
39	-147.0	147	7646
40	-117.0	117	7763
41	-176.0	176	7939
42	-128.0	128	8067
43	-171.0	171	8238
44	-129.0	129	8367
45	-152.0	152	8519
46	-121.0	121	8640
47	-144.0	144	8784
48	-109.0	109	8893
49	-109.0	109	9002
50	-172.0	172	9174
51	-176.0	176	9350
52	-175.0	175	9525
53	-142.0	142	9667
54	-136.0	136	9803
55	-147.0	147	9950
56	-142.0	142	10092
57	-153.0	153	10245
58	-200.0	200	10445
59	-149.0	149	10594
60	-111.0	111	10705
61	-152.0	152	10857
62	-147.0	147	11004
63	-111.0	111	11115
64	-114.0	114	11229
65	-146.0	146	11375
66	-140.0	140	11515
67	-110.0	110	11625
68	-137.0	137	11762
69	-190.0	190	11952
70	-200.0	200	12152
71	-173.0	173	12325
72	-149.0	149	12474
73	-145.0	145	12619
74	-200.0	200	12819
75	-154.0	154	12973
76	-146.0	146	13119
77	-144.0	144	13263
78	-124.0	124	13387
79	-122.0	122	13509
80	-140.0	140	13649
81	-130.0	130	13779
82	-142.0	142	13921
83	-123.0	123	14044
84	-105.0	105	14149
85	-112.0	112	14261
86	-107.0	107	14368
87	-143.0	143	14511
88	-192.0	192	14703
89	-105.0	105	14808
90	-142.0	142	14950
91	-167.0	167	15117
92	-173.0	173	15290
93	-145.0	145	15435
94	-143.0	143	15578
95	-143.0	143	15721
96	-134.0	134	15855
97	-135.0	135	15990
98	-138.0	138	16128
99	-133.0	133	16261
100	-139.0	139	16400
101	-146.0	146	16546
102	-141.0	141	16687
103	-140.0	140	16827
104	-168.0	168	16995
105	-154.0	154	17149
106	-134.0	134	17283
107	-147.0	147	17430
108	-150.0	150	17580
109	-135.0	135	17715
110	-143.0	143	17858
111	-107.0	107	17965
112	-114.0	114	18079
113	-178.0	178	18257
114	-187.0	187	18444
115	-162.0	162	18606
116	-179.0	179	18785
117	-146.0	146	18931
118	-143.0	143	19074
119	-155.0	155	19229
120	-117.0	117	19346
121	-147.0	147	19493
122	-150.0	150	19643
123	-142.0	142	19785
124	-136.0	136	19921
125	-136.0	136	20057
