Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-200.0	200	200	0	-200.0	200	200
1	-200.0	200	400	1	-200.0	200	400
2	-200.0	200	600	2	-200.0	200	600
3	-200.0	200	800	3	-200.0	200	800
4	-200.0	200	1000	4	-200.0	200	1000
5	-200.0	200	1200	5	-200.0	200	1200
6	-200.0	200	1400	6	-200.0	200	1400
7	-200.0	200	1600	7	-200.0	200	1600
8	-200.0	200	1800	8	-200.0	200	1800
9	-200.0	200	2000	9	-200.0	200	2000
10	-200.0	200	2200	10	-200.0	200	2200
11	-200.0	200	2400	11	-200.0	200	2400
12	-200.0	200	2600	12	-200.0	200	2600
13	-200.0	200	2800	13	-200.0	200	2800
14	-192.0	192	2992	14	-192.0	192	2992
15	-200.0	200	3192	15	-200.0	200	3192
16	-200.0	200	3392	16	-200.0	200	3392
17	-200.0	200	3592	17	-200.0	200	3592
18	-200.0	200	3792	18	-200.0	200	3792
19	-200.0	200	3992	19	-200.0	200	3992
20	-159.0	159	4151	20	-159.0	159	4151
21	-200.0	200	4351	21	-200.0	200	4351
22	-200.0	200	4551	22	-200.0	200	4551
23	-156.0	156	4707	23	-156.0	156	4707
24	-200.0	200	4907	24	-200.0	200	4907
25	-200.0	200	5107	25	-200.0	200	5107
26	-200.0	200	5307	26	-200.0	200	5307
27	-200.0	200	5507	27	-200.0	200	5507
28	-200.0	200	5707	28	-200.0	200	5707
29	-200.0	200	5907	29	-200.0	200	5907
30	-200.0	200	6107	30	-200.0	200	6107
31	-200.0	200	6307	31	-200.0	200	6307
32	-172.0	172	6479	32	-172.0	172	6479
33	-155.0	155	6634	33	-155.0	155	6634
34	-146.0	146	6780	34	-146.0	146	6780
35	-200.0	200	6980	35	-200.0	200	6980
36	-190.0	190	7170	36	-190.0	190	7170
37	-179.0	179	7349	37	-179.0	179	7349
38	-169.0	169	7518	38	-169.0	169	7518
39	-149.0	149	7667	39	-149.0	149	7667
40	-200.0	200	7867	40	-200.0	200	7867
41	-150.0	150	8017	41	-150.0	150	8017
42	-200.0	200	8217	42	-200.0	200	8217
43	-154.0	154	8371	43	-154.0	154	8371
44	-158.0	158	8529	44	-158.0	158	8529
45	-137.0	137	8666	45	-137.0	137	8666
46	-200.0	200	8866	46	-200.0	200	8866
47	-145.0	145	9011	47	-145.0	145	9011
48	-155.0	155	9166	48	-155.0	155	9166
49	-149.0	149	9315	49	-149.0	149	9315
50	-138.0	138	9453	50	-138.0	138	9453
51	-146.0	146	9599	51	-146.0	146	9599
52	-115.0	115	9714	52	-115.0	115	9714
53	-140.0	140	9854	53	-140.0	140	9854
54	-152.0	152	10006	54	-152.0	152	10006
55	-151.0	151	10157	55	-151.0	151	10157
56	-148.0	148	10305	56	-148.0	148	10305
57	-161.0	161	10466	57	-161.0	161	10466
58	-144.0	144	10610	58	-144.0	144	10610
59	-139.0	139	10749	59	-139.0	139	10749
60	-191.0	191	10940	60	-191.0	191	10940
61	-148.0	148	11088	61	-148.0	148	11088
62	-142.0	142	11230	62	-142.0	142	11230
63	-193.0	193	11423	63	-193.0	193	11423
64	-153.0	153	11576	64	-153.0	153	11576
65	-188.0	188	11764	65	-188.0	188	11764
66	-115.0	115	11879	66	-115.0	115	11879
67	-110.0	110	11989	67	-110.0	110	11989
68	-111.0	111	12100	68	-111.0	111	12100
69	-114.0	114	12214	69	-114.0	114	12214
70	-113.0	113	12327	70	-113.0	113	12327
71	-144.0	144	12471	71	-144.0	144	12471
72	-144.0	144	12615	72	-144.0	144	12615
73	-115.0	115	12730	73	-115.0	115	12730
74	-109.0	109	12839	74	-109.0	109	12839
75	-152.0	152	12991	75	-152.0	152	12991
76	-139.0	139	13130	76	-139.0	139	13130
77	-143.0	143	13273	77	-143.0	143	13273
78	-118.0	118	13391	78	-118.0	118	13391
79	-149.0	149	13540	79	-149.0	149	13540
80	-109.0	109	13649	80	-109.0	109	13649
81	-146.0	146	13795	81	-146.0	146	13795
82	-146.0	146	13941	82	-146.0	146	13941
83	-106.0	106	14047	83	-106.0	106	14047
84	-147.0	147	14194	84	-147.0	147	14194
85	-145.0	145	14339	85	-145.0	145	14339
86	-117.0	117	14456	86	-117.0	117	14456
87	-141.0	141	14597	87	-141.0	141	14597
88	-144.0	144	14741	88	-144.0	144	14741
89	-171.0	171	14912	89	-171.0	171	14912
90	-159.0	159	15071	90	-159.0	159	15071
91	-144.0	144	15215	91	-144.0	144	15215
92	-137.0	137	15352	92	-137.0	137	15352
93	-138.0	138	15490	93	-138.0	138	15490
94	-123.0	123	15613	94	-123.0	123	15613
95	-150.0	150	15763	95	-150.0	150	15763
96	-112.0	112	15875	96	-112.0	112	15875
97	-108.0	108	15983	97	-108.0	108	15983
98	-112.0	112	16095	98	-112.0	112	16095
99	-155.0	155	16250	99	-155.0	155	16250
100	-196.0	196	16446	100	-196.0	196	16446
101	-137.0	137	16583	101	-137.0	137	16583
102	-137.0	137	16720	102	-137.0	137	16720
103	-158.0	158	16878	103	-158.0	158	16878
104	-200.0	200	17078	104	-200.0	200	17078
105	-154.0	154	17232	105	-154.0	154	17232
106	-160.0	160	17392	106	-160.0	160	17392
107	-145.0	145	17537	107	-145.0	145	17537
108	-141.0	141	17678	108	-141.0	141	17678
109	-140.0	140	17818	109	-140.0	140	17818
110	-143.0	143	17961	110	-143.0	143	17961
111	-144.0	144	18105	111	-144.0	144	18105
112	-137.0	137	18242	112	-137.0	137	18242
113	-137.0	137	18379	113	-137.0	137	18379
114	-142.0	142	18521	114	-142.0	142	18521
115	-199.0	199	18720	115	-199.0	199	18720
116	-150.0	150	18870	116	-150.0	150	18870
117	-150.0	150	19020	117	-150.0	150	19020
118	-142.0	142	19162	118	-142.0	142	19162
119	-141.0	141	19303	119	-141.0	141	19303
120	-188.0	188	19491	120	-188.0	188	19491
121	-144.0	144	19635	121	-144.0	144	19635
122	-142.0	142	19777	122	-142.0	142	19777
123	-143.0	143	19920	123	-143.0	143	19920
124	-137.0	137	20057	124	-137.0	137	20057
125	-138.0	138	20195	125	-138.0	138	20195
126	-179.0	179	20374	126	-179.0	179	20374
127	-194.0	194	20568	127	-194.0	194	20568
128	-139.0	139	20707	128	-139.0	139	20707
129	-139.0	139	20846	129	-139.0	139	20846
130	-136.0	136	20982	130	-136.0	136	20982
131	-136.0	136	21118	131	-136.0	136	21118
132	-189.0	189	21307	132	-189.0	189	21307
133	-150.0	150	21457	133	-150.0	150	21457
134	-177.0	177	21634	134	-177.0	177	21634
135	-156.0	156	21790	135	-156.0	156	21790
136	-153.0	153	21943	136	-153.0	153	21943
137	-141.0	141	22084	137	-141.0	141	22084
138	-183.0	183	22267	138	-183.0	183	22267
139	-200.0	200	22467	139	-200.0	200	22467
140	-143.0	143	22610	140	-143.0	143	22610
141	-138.0	138	22748	141	-138.0	138	22748
142	-135.0	135	22883	142	-135.0	135	22883
143	-142.0	142	23025	143	-142.0	142	23025
144	-114.0	114	23139	144	-114.0	114	23139
145	-140.0	140	23279	145	-140.0	140	23279
146	-119.0	119	23398	146	-119.0	119	23398
147	-114.0	114	23512	147	-114.0	114	23512
148	-109.0	109	23621	148	-109.0	109	23621
149	-104.0	104	23725	149	-104.0	104	23725
150	-84.0	84	23809	150	-84.0	84	23809
151	-153.0	153	23962	151	-153.0	153	23962
152	-165.0	165	24127	152	-165.0	165	24127
153	-148.0	148	24275	153	-148.0	148	24275
154	-179.0	179	24454	154	-179.0	179	24454
155	-194.0	194	24648	155	-194.0	194	24648
156	-173.0	173	24821	156	-173.0	173	24821
157	-185.0	185	25006	157	-185.0	185	25006
158	-134.0	134	25140	158	-134.0	134	25140
159	-151.0	151	25291	159	-151.0	151	25291
160	-137.0	137	25428	160	-137.0	137	25428
161	-143.0	143	25571	161	-143.0	143	25571
162	-130.0	130	25701	162	-130.0	130	25701
163	-149.0	149	25850	163	-149.0	149	25850
164	-141.0	141	25991	164	-141.0	141	25991
165	-139.0	139	26130	165	-139.0	139	26130
166	-139.0	139	26269	166	-139.0	139	26269
167	-132.0	132	26401	167	-132.0	132	26401
168	-140.0	140	26541	168	-140.0	140	26541
169	-139.0	139	26680	169	-139.0	139	26680
170	-136.0	136	26816	170	-136.0	136	26816
171	-141.0	141	26957	171	-141.0	141	26957
172	-141.0	141	27098	172	-141.0	141	27098
173	-142.0	142	27240	173	-142.0	142	27240
174	-140.0	140	27380	174	-140.0	140	27380
175	-147.0	147	27527	175	-147.0	147	27527
176	-143.0	143	27670	176	-143.0	143	27670
177	-147.0	147	27817	177	-147.0	147	27817
178	-145.0	145	27962	178	-145.0	145	27962
179	-137.0	137	28099	179	-137.0	137	28099
180	-132.0	132	28231	180	-132.0	132	28231
181	-136.0	136	28367	181	-136.0	136	28367
182	-138.0	138	28505	182	-138.0	138	28505
183	-138.0	138	28643	183	-138.0	138	28643
184	-176.0	176	28819	184	-176.0	176	28819
185	-109.0	109	28928	185	-109.0	109	28928
186	-172.0	172	29100	186	-172.0	172	29100
187	-140.0	140	29240	187	-140.0	140	29240
188	-180.0	180	29420	188	-180.0	180	29420
189	-138.0	138	29558	189	-138.0	138	29558
190	-109.0	109	29667	190	-109.0	109	29667
191	-108.0	108	29775	191	-108.0	108	29775
192	-109.0	109	29884	192	-109.0	109	29884
193	-114.0	114	29998	193	-114.0	114	29998
194	-152.0	152	30150	194	-152.0	152	30150
195	-139.0	139	30289	195	-139.0	139	30289
196	-110.0	110	30399	196	-110.0	110	30399
197	-129.0	129	30528	197	-129.0	129	30528
198	-142.0	142	30670	198	-142.0	142	30670
199	-137.0	137	30807	199	-137.0	137	30807
200	-133.0	133	30940	200	-133.0	133	30940
201	-123.0	123	31063	201	-123.0	123	31063
202	-135.0	135	31198	202	-135.0	135	31198
203	-108.0	108	31306	203	-108.0	108	31306
204	-109.0	109	31415	204	-109.0	109	31415
205	-110.0	110	31525	205	-110.0	110	31525
206	-112.0	112	31637	206	-112.0	112	31637
207	-123.0	123	31760	207	-123.0	123	31760
208	-110.0	110	31870	208	-110.0	110	31870
209	-110.0	110	31980	209	-110.0	110	31980
210	-138.0	138	32118	210	-138.0	138	32118
211	-109.0	109	32227	211	-109.0	109	32227
212	-109.0	109	32336	212	-109.0	109	32336
213	-106.0	106	32442	213	-106.0	106	32442
214	-107.0	107	32549	214	-107.0	107	32549
215	-108.0	108	32657	215	-108.0	108	32657
216	-108.0	108	32765	216	-108.0	108	32765
217	-140.0	140	32905	217	-140.0	140	32905
218	-106.0	106	33011	218	-106.0	106	33011
