Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-200.0	200	200	0	-200.0	200	200	0	-200.0	200	200
1	-200.0	200	400	1	-200.0	200	400	1	-200.0	200	400
2	-200.0	200	600	2	-200.0	200	600	2	-200.0	200	600
3	-200.0	200	800	3	-200.0	200	800	3	-200.0	200	800
4	-200.0	200	1000	4	-200.0	200	1000	4	-200.0	200	1000
5	-200.0	200	1200	5	-200.0	200	1200	5	-200.0	200	1200
6	-200.0	200	1400	6	-200.0	200	1400	6	-200.0	200	1400
7	-200.0	200	1600	7	-200.0	200	1600	7	-200.0	200	1600
8	-200.0	200	1800	8	-200.0	200	1800	8	-200.0	200	1800
9	-200.0	200	2000	9	-200.0	200	2000	9	-200.0	200	2000
10	-200.0	200	2200	10	-200.0	200	2200	10	-200.0	200	2200
11	-200.0	200	2400	11	-200.0	200	2400	11	-200.0	200	2400
12	-200.0	200	2600	12	-200.0	200	2600	12	-200.0	200	2600
13	-200.0	200	2800	13	-200.0	200	2800	13	-200.0	200	2800
14	-200.0	200	3000	14	-200.0	200	3000	14	-200.0	200	3000
15	-200.0	200	3200	15	-200.0	200	3200	15	-200.0	200	3200
16	-200.0	200	3400	16	-200.0	200	3400	16	-200.0	200	3400
17	-200.0	200	3600	17	-200.0	200	3600	17	-200.0	200	3600
18	-154.0	154	3754	18	-154.0	154	3754	18	-154.0	154	3754
19	-200.0	200	3954	19	-200.0	200	3954	19	-200.0	200	3954
20	-166.0	166	4120	20	-166.0	166	4120	20	-166.0	166	4120
21	-161.0	161	4281	21	-161.0	161	4281	21	-161.0	161	4281
22	-200.0	200	4481	22	-200.0	200	4481	22	-200.0	200	4481
23	-163.0	163	4644	23	-163.0	163	4644	23	-163.0	163	4644
24	-149.0	149	4793	24	-149.0	149	4793	24	-149.0	149	4793
25	-200.0	200	4993	25	-200.0	200	4993	25	-200.0	200	4993
26	-165.0	165	5158	26	-165.0	165	5158	26	-165.0	165	5158
27	-156.0	156	5314	27	-156.0	156	5314	27	-156.0	156	5314
28	-199.0	199	5513	28	-199.0	199	5513	28	-199.0	199	5513
29	-159.0	159	5672	29	-159.0	159	5672	29	-159.0	159	5672
30	-157.0	157	5829	30	-157.0	157	5829	30	-157.0	157	5829
31	-147.0	147	5976	31	-147.0	147	5976	31	-147.0	147	5976
32	-200.0	200	6176	32	-200.0	200	6176	32	-200.0	200	6176
33	-200.0	200	6376	33	-200.0	200	6376	33	-200.0	200	6376
34	-200.0	200	6576	34	-200.0	200	6576	34	-200.0	200	6576
35	-170.0	170	6746	35	-170.0	170	6746	35	-170.0	170	6746
36	-190.0	190	6936	36	-190.0	190	6936	36	-190.0	190	6936
37	-155.0	155	7091	37	-155.0	155	7091	37	-155.0	155	7091
38	-181.0	181	7272	38	-181.0	181	7272	38	-181.0	181	7272
39	-145.0	145	7417	39	-145.0	145	7417	39	-145.0	145	7417
40	-196.0	196	7613	40	-196.0	196	7613	40	-196.0	196	7613
41	-115.0	115	7728	41	-115.0	115	7728	41	-115.0	115	7728
42	-150.0	150	7878	42	-150.0	150	7878	42	-150.0	150	7878
43	-147.0	147	8025	43	-147.0	147	8025	43	-147.0	147	8025
44	-196.0	196	8221	44	-196.0	196	8221	44	-196.0	196	8221
45	-151.0	151	8372	45	-151.0	151	8372	45	-151.0	151	8372
46	-200.0	200	8572	46	-200.0	200	8572	46	-200.0	200	8572
47	-152.0	152	8724	47	-152.0	152	8724	47	-152.0	152	8724
48	-157.0	157	8881	48	-157.0	157	8881	48	-157.0	157	8881
49	-120.0	120	9001	49	-120.0	120	9001	49	-120.0	120	9001
50	-161.0	161	9162	50	-161.0	161	9162	50	-161.0	161	9162
51	-158.0	158	9320	51	-158.0	158	9320	51	-158.0	158	9320
52	-153.0	153	9473	52	-153.0	153	9473	52	-153.0	153	9473
53	-150.0	150	9623	53	-150.0	150	9623	53	-150.0	150	9623
54	-141.0	141	9764	54	-141.0	141	9764	54	-141.0	141	9764
55	-154.0	154	9918	55	-154.0	154	9918	55	-154.0	154	9918
56	-200.0	200	10118	56	-200.0	200	10118	56	-200.0	200	10118
57	-200.0	200	10318	57	-200.0	200	10318	57	-200.0	200	10318
58	-164.0	164	10482	58	-164.0	164	10482	58	-164.0	164	10482
59	-200.0	200	10682	59	-200.0	200	10682	59	-200.0	200	10682
60	-200.0	200	10882	60	-200.0	200	10882	60	-200.0	200	10882
61	-150.0	150	11032	61	-150.0	150	11032	61	-150.0	150	11032
62	-200.0	200	11232	62	-200.0	200	11232	62	-200.0	200	11232
63	-200.0	200	11432	63	-200.0	200	11432	63	-200.0	200	11432
64	-200.0	200	11632	64	-200.0	200	11632	64	-200.0	200	11632
65	-175.0	175	11807	65	-175.0	175	11807	65	-175.0	175	11807
66	-151.0	151	11958	66	-151.0	151	11958	66	-151.0	151	11958
67	-149.0	149	12107	67	-149.0	149	12107	67	-149.0	149	12107
68	-146.0	146	12253	68	-146.0	146	12253	68	-146.0	146	12253
69	-162.0	162	12415	69	-162.0	162	12415	69	-162.0	162	12415
70	-196.0	196	12611	70	-196.0	196	12611	70	-196.0	196	12611
71	-112.0	112	12723	71	-112.0	112	12723	71	-112.0	112	12723
72	-153.0	153	12876	72	-153.0	153	12876	72	-153.0	153	12876
73	-109.0	109	12985	73	-109.0	109	12985	73	-109.0	109	12985
74	-112.0	112	13097	74	-112.0	112	13097	74	-112.0	112	13097
75	-153.0	153	13250	75	-153.0	153	13250	75	-153.0	153	13250
76	-155.0	155	13405	76	-155.0	155	13405	76	-155.0	155	13405
77	-137.0	137	13542	77	-137.0	137	13542	77	-137.0	137	13542
78	-147.0	147	13689	78	-147.0	147	13689	78	-147.0	147	13689
79	-146.0	146	13835	79	-146.0	146	13835	79	-146.0	146	13835
80	-145.0	145	13980	80	-145.0	145	13980	80	-145.0	145	13980
81	-182.0	182	14162	81	-182.0	182	14162	81	-182.0	182	14162
82	-154.0	154	14316	82	-154.0	154	14316	82	-154.0	154	14316
83	-200.0	200	14516	83	-200.0	200	14516	83	-200.0	200	14516
84	-149.0	149	14665	84	-149.0	149	14665	84	-149.0	149	14665
85	-150.0	150	14815	85	-150.0	150	14815	85	-150.0	150	14815
86	-142.0	142	14957	86	-142.0	142	14957	86	-142.0	142	14957
87	-131.0	131	15088	87	-131.0	131	15088	87	-131.0	131	15088
88	-167.0	167	15255	88	-167.0	167	15255	88	-167.0	167	15255
89	-110.0	110	15365	89	-110.0	110	15365	89	-110.0	110	15365
90	-146.0	146	15511	90	-146.0	146	15511	90	-146.0	146	15511
91	-149.0	149	15660	91	-149.0	149	15660	91	-149.0	149	15660
92	-147.0	147	15807	92	-147.0	147	15807	92	-147.0	147	15807
93	-151.0	151	15958	93	-151.0	151	15958	93	-151.0	151	15958
94	-147.0	147	16105	94	-147.0	147	16105	94	-147.0	147	16105
95	-144.0	144	16249	95	-144.0	144	16249	95	-144.0	144	16249
96	-144.0	144	16393	96	-144.0	144	16393	96	-144.0	144	16393
