Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-200.0	200	200	0	-200.0	200	200	0	-200.0	200	200	0	-200.0	200	200
1	-200.0	200	400	1	-200.0	200	400	1	-200.0	200	400	1	-200.0	200	400
2	-200.0	200	600	2	-200.0	200	600	2	-200.0	200	600	2	-200.0	200	600
3	-200.0	200	800	3	-200.0	200	800	3	-200.0	200	800	3	-200.0	200	800
4	-200.0	200	1000	4	-200.0	200	1000	4	-200.0	200	1000	4	-200.0	200	1000
5	-200.0	200	1200	5	-200.0	200	1200	5	-200.0	200	1200	5	-200.0	200	1200
6	-200.0	200	1400	6	-200.0	200	1400	6	-200.0	200	1400	6	-200.0	200	1400
7	-200.0	200	1600	7	-200.0	200	1600	7	-200.0	200	1600	7	-200.0	200	1600
8	-200.0	200	1800	8	-200.0	200	1800	8	-200.0	200	1800	8	-200.0	200	1800
9	-200.0	200	2000	9	-200.0	200	2000	9	-200.0	200	2000	9	-200.0	200	2000
10	-200.0	200	2200	10	-200.0	200	2200	10	-200.0	200	2200	10	-200.0	200	2200
11	-200.0	200	2400	11	-200.0	200	2400	11	-200.0	200	2400	11	-200.0	200	2400
12	-200.0	200	2600	12	-200.0	200	2600	12	-200.0	200	2600	12	-200.0	200	2600
13	-200.0	200	2800	13	-200.0	200	2800	13	-200.0	200	2800	13	-200.0	200	2800
14	-200.0	200	3000	14	-200.0	200	3000	14	-200.0	200	3000	14	-200.0	200	3000
15	-200.0	200	3200	15	-200.0	200	3200	15	-200.0	200	3200	15	-200.0	200	3200
16	-191.0	191	3391	16	-191.0	191	3391	16	-191.0	191	3391	16	-191.0	191	3391
17	-193.0	193	3584	17	-193.0	193	3584	17	-193.0	193	3584	17	-193.0	193	3584
18	-163.0	163	3747	18	-163.0	163	3747	18	-163.0	163	3747	18	-163.0	163	3747
19	-196.0	196	3943	19	-196.0	196	3943	19	-196.0	196	3943	19	-196.0	196	3943
20	-174.0	174	4117	20	-174.0	174	4117	20	-174.0	174	4117	20	-174.0	174	4117
21	-200.0	200	4317	21	-200.0	200	4317	21	-200.0	200	4317	21	-200.0	200	4317
22	-165.0	165	4482	22	-165.0	165	4482	22	-165.0	165	4482	22	-165.0	165	4482
23	-200.0	200	4682	23	-200.0	200	4682	23	-200.0	200	4682	23	-200.0	200	4682
24	-167.0	167	4849	24	-167.0	167	4849	24	-167.0	167	4849	24	-167.0	167	4849
25	-200.0	200	5049	25	-200.0	200	5049	25	-200.0	200	5049	25	-200.0	200	5049
26	-200.0	200	5249	26	-200.0	200	5249	26	-200.0	200	5249	26	-200.0	200	5249
27	-196.0	196	5445	27	-196.0	196	5445	27	-196.0	196	5445	27	-196.0	196	5445
28	-158.0	158	5603	28	-158.0	158	5603	28	-158.0	158	5603	28	-158.0	158	5603
29	-200.0	200	5803	29	-200.0	200	5803	29	-200.0	200	5803	29	-200.0	200	5803
30	-158.0	158	5961	30	-158.0	158	5961	30	-158.0	158	5961	30	-158.0	158	5961
31	-154.0	154	6115	31	-154.0	154	6115	31	-154.0	154	6115	31	-154.0	154	6115
32	-157.0	157	6272	32	-157.0	157	6272	32	-157.0	157	6272	32	-157.0	157	6272
33	-154.0	154	6426	33	-154.0	154	6426	33	-154.0	154	6426	33	-154.0	154	6426
34	-200.0	200	6626	34	-200.0	200	6626	34	-200.0	200	6626	34	-200.0	200	6626
35	-149.0	149	6775	35	-149.0	149	6775	35	-149.0	149	6775	35	-149.0	149	6775
36	-193.0	193	6968	36	-193.0	193	6968	36	-193.0	193	6968	36	-193.0	193	6968
37	-188.0	188	7156	37	-188.0	188	7156	37	-188.0	188	7156	37	-188.0	188	7156
38	-145.0	145	7301	38	-145.0	145	7301	38	-145.0	145	7301	38	-145.0	145	7301
39	-156.0	156	7457	39	-156.0	156	7457	39	-156.0	156	7457	39	-156.0	156	7457
40	-200.0	200	7657	40	-200.0	200	7657	40	-200.0	200	7657	40	-200.0	200	7657
41	-200.0	200	7857	41	-200.0	200	7857	41	-200.0	200	7857	41	-200.0	200	7857
42	-200.0	200	8057	42	-200.0	200	8057	42	-200.0	200	8057	42	-200.0	200	8057
43	-175.0	175	8232	43	-175.0	175	8232	43	-175.0	175	8232	43	-175.0	175	8232
44	-179.0	179	8411	44	-179.0	179	8411	44	-179.0	179	8411	44	-179.0	179	8411
