Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-200.0	200	200	0	-200.0	200	200	0	-200.0	200	200	0	-200.0	200	200	0	-200.0	200	200
1	-200.0	200	400	1	-200.0	200	400	1	-200.0	200	400	1	-200.0	200	400	1	-200.0	200	400
2	-200.0	200	600	2	-200.0	200	600	2	-200.0	200	600	2	-200.0	200	600	2	-200.0	200	600
3	-200.0	200	800	3	-200.0	200	800	3	-200.0	200	800	3	-200.0	200	800	3	-200.0	200	800
4	-200.0	200	1000	4	-200.0	200	1000	4	-200.0	200	1000	4	-200.0	200	1000	4	-200.0	200	1000
5	-200.0	200	1200	5	-200.0	200	1200	5	-200.0	200	1200	5	-200.0	200	1200	5	-200.0	200	1200
6	-200.0	200	1400	6	-200.0	200	1400	6	-200.0	200	1400	6	-200.0	200	1400	6	-200.0	200	1400
7	-200.0	200	1600	7	-200.0	200	1600	7	-200.0	200	1600	7	-200.0	200	1600	7	-200.0	200	1600
8	-200.0	200	1800	8	-200.0	200	1800	8	-200.0	200	1800	8	-200.0	200	1800	8	-200.0	200	1800
9	-200.0	200	2000	9	-200.0	200	2000	9	-200.0	200	2000	9	-200.0	200	2000	9	-200.0	200	2000
10	-200.0	200	2200	10	-200.0	200	2200	10	-200.0	200	2200	10	-200.0	200	2200	10	-200.0	200	2200
11	-200.0	200	2400	11	-200.0	200	2400	11	-200.0	200	2400	11	-200.0	200	2400	11	-200.0	200	2400
12	-200.0	200	2600	12	-200.0	200	2600	12	-200.0	200	2600	12	-200.0	200	2600	12	-200.0	200	2600
13	-200.0	200	2800	13	-200.0	200	2800	13	-200.0	200	2800	13	-200.0	200	2800	13	-200.0	200	2800
14	-170.0	170	2970	14	-170.0	170	2970	14	-170.0	170	2970	14	-170.0	170	2970	14	-170.0	170	2970
15	-200.0	200	3170	15	-200.0	200	3170	15	-200.0	200	3170	15	-200.0	200	3170	15	-200.0	200	3170
16	-200.0	200	3370	16	-200.0	200	3370	16	-200.0	200	3370	16	-200.0	200	3370	16	-200.0	200	3370
17	-200.0	200	3570	17	-200.0	200	3570	17	-200.0	200	3570	17	-200.0	200	3570	17	-200.0	200	3570
18	-153.0	153	3723	18	-153.0	153	3723	18	-153.0	153	3723	18	-153.0	153	3723	18	-153.0	153	3723
19	-200.0	200	3923	19	-200.0	200	3923	19	-200.0	200	3923	19	-200.0	200	3923	19	-200.0	200	3923
20	-200.0	200	4123	20	-200.0	200	4123	20	-200.0	200	4123	20	-200.0	200	4123	20	-200.0	200	4123
21	-200.0	200	4323	21	-200.0	200	4323	21	-200.0	200	4323	21	-200.0	200	4323	21	-200.0	200	4323
22	-200.0	200	4523	22	-200.0	200	4523	22	-200.0	200	4523	22	-200.0	200	4523	22	-200.0	200	4523
23	-200.0	200	4723	23	-200.0	200	4723	23	-200.0	200	4723	23	-200.0	200	4723	23	-200.0	200	4723
24	-163.0	163	4886	24	-163.0	163	4886	24	-163.0	163	4886	24	-163.0	163	4886	24	-163.0	163	4886
25	-187.0	187	5073	25	-187.0	187	5073	25	-187.0	187	5073	25	-187.0	187	5073	25	-187.0	187	5073
26	-196.0	196	5269	26	-196.0	196	5269	26	-196.0	196	5269	26	-196.0	196	5269	26	-196.0	196	5269
27	-200.0	200	5469	27	-200.0	200	5469	27	-200.0	200	5469	27	-200.0	200	5469	27	-200.0	200	5469
28	-200.0	200	5669	28	-200.0	200	5669	28	-200.0	200	5669	28	-200.0	200	5669	28	-200.0	200	5669
29	-148.0	148	5817	29	-148.0	148	5817	29	-148.0	148	5817	29	-148.0	148	5817	29	-148.0	148	5817
30	-191.0	191	6008	30	-191.0	191	6008	30	-191.0	191	6008	30	-191.0	191	6008	30	-191.0	191	6008
31	-150.0	150	6158	31	-150.0	150	6158	31	-150.0	150	6158	31	-150.0	150	6158	31	-150.0	150	6158
32	-144.0	144	6302	32	-144.0	144	6302	32	-144.0	144	6302	32	-144.0	144	6302	32	-144.0	144	6302
33	-165.0	165	6467	33	-165.0	165	6467	33	-165.0	165	6467	33	-165.0	165	6467	33	-165.0	165	6467
34	-200.0	200	6667	34	-200.0	200	6667	34	-200.0	200	6667	34	-200.0	200	6667	34	-200.0	200	6667
35	-200.0	200	6867	35	-200.0	200	6867	35	-200.0	200	6867	35	-200.0	200	6867	35	-200.0	200	6867
36	-157.0	157	7024	36	-157.0	157	7024	36	-157.0	157	7024	36	-157.0	157	7024	36	-157.0	157	7024
37	-196.0	196	7220	37	-196.0	196	7220	37	-196.0	196	7220	37	-196.0	196	7220	37	-196.0	196	7220
38	-151.0	151	7371	38	-151.0	151	7371	38	-151.0	151	7371	38	-151.0	151	7371	38	-151.0	151	7371
39	-152.0	152	7523	39	-152.0	152	7523	39	-152.0	152	7523	39	-152.0	152	7523	39	-152.0	152	7523
40	-200.0	200	7723	40	-200.0	200	7723	40	-200.0	200	7723	40	-200.0	200	7723	40	-200.0	200	7723
41	-158.0	158	7881	41	-158.0	158	7881	41	-158.0	158	7881	41	-158.0	158	7881	41	-158.0	158	7881
42	-144.0	144	8025	42	-144.0	144	8025	42	-144.0	144	8025	42	-144.0	144	8025	42	-144.0	144	8025
43	-151.0	151	8176	43	-151.0	151	8176	43	-151.0	151	8176	43	-151.0	151	8176	43	-151.0	151	8176
44	-200.0	200	8376	44	-200.0	200	8376	44	-200.0	200	8376	44	-200.0	200	8376	44	-200.0	200	8376
45	-146.0	146	8522	45	-146.0	146	8522	45	-146.0	146	8522	45	-146.0	146	8522	45	-146.0	146	8522
46	-141.0	141	8663	46	-141.0	141	8663	46	-141.0	141	8663	46	-141.0	141	8663	46	-141.0	141	8663
47	-152.0	152	8815	47	-152.0	152	8815	47	-152.0	152	8815	47	-152.0	152	8815	47	-152.0	152	8815
48	-139.0	139	8954	48	-139.0	139	8954	48	-139.0	139	8954	48	-139.0	139	8954	48	-139.0	139	8954
49	-148.0	148	9102	49	-148.0	148	9102	49	-148.0	148	9102	49	-148.0	148	9102	49	-148.0	148	9102
50	-142.0	142	9244	50	-142.0	142	9244	50	-142.0	142	9244	50	-142.0	142	9244	50	-142.0	142	9244
51	-200.0	200	9444	51	-200.0	200	9444	51	-200.0	200	9444	51	-200.0	200	9444	51	-200.0	200	9444
52	-116.0	116	9560	52	-116.0	116	9560	52	-116.0	116	9560	52	-116.0	116	9560	52	-116.0	116	9560
53	-194.0	194	9754	53	-194.0	194	9754	53	-194.0	194	9754	53	-194.0	194	9754	53	-194.0	194	9754
54	-189.0	189	9943	54	-189.0	189	9943	54	-189.0	189	9943	54	-189.0	189	9943	54	-189.0	189	9943
55	-146.0	146	10089	55	-146.0	146	10089	55	-146.0	146	10089	55	-146.0	146	10089	55	-146.0	146	10089
56	-151.0	151	10240	56	-151.0	151	10240	56	-151.0	151	10240	56	-151.0	151	10240	56	-151.0	151	10240
57	-149.0	149	10389	57	-149.0	149	10389	57	-149.0	149	10389	57	-149.0	149	10389	57	-149.0	149	10389
58	-148.0	148	10537	58	-148.0	148	10537	58	-148.0	148	10537	58	-148.0	148	10537	58	-148.0	148	10537
59	-190.0	190	10727	59	-190.0	190	10727	59	-190.0	190	10727	59	-190.0	190	10727	59	-190.0	190	10727
60	-174.0	174	10901	60	-174.0	174	10901	60	-174.0	174	10901	60	-174.0	174	10901	60	-174.0	174	10901
61	-154.0	154	11055	61	-154.0	154	11055	61	-154.0	154	11055	61	-154.0	154	11055	61	-154.0	154	11055
62	-189.0	189	11244	62	-189.0	189	11244	62	-189.0	189	11244	62	-189.0	189	11244	62	-189.0	189	11244
63	-144.0	144	11388	63	-144.0	144	11388	63	-144.0	144	11388	63	-144.0	144	11388	63	-144.0	144	11388
64	-140.0	140	11528	64	-140.0	140	11528	64	-140.0	140	11528	64	-140.0	140	11528	64	-140.0	140	11528
65	-186.0	186	11714	65	-186.0	186	11714	65	-186.0	186	11714	65	-186.0	186	11714	65	-186.0	186	11714
66	-128.0	128	11842	66	-128.0	128	11842	66	-128.0	128	11842	66	-128.0	128	11842	66	-128.0	128	11842
67	-152.0	152	11994	67	-152.0	152	11994	67	-152.0	152	11994	67	-152.0	152	11994	67	-152.0	152	11994
68	-145.0	145	12139	68	-145.0	145	12139	68	-145.0	145	12139	68	-145.0	145	12139	68	-145.0	145	12139
69	-154.0	154	12293	69	-154.0	154	12293	69	-154.0	154	12293	69	-154.0	154	12293	69	-154.0	154	12293
70	-182.0	182	12475	70	-182.0	182	12475	70	-182.0	182	12475	70	-182.0	182	12475	70	-182.0	182	12475
71	-152.0	152	12627	71	-152.0	152	12627	71	-152.0	152	12627	71	-152.0	152	12627	71	-152.0	152	12627
