Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-200.0	200	200	0	-200.0	200	200	0	-200.0	200	200	0	-200.0	200	200	0	-200.0	200	200	0	-200.0	200	200
1	-200.0	200	400	1	-200.0	200	400	1	-200.0	200	400	1	-200.0	200	400	1	-200.0	200	400	1	-200.0	200	400
2	-200.0	200	600	2	-200.0	200	600	2	-200.0	200	600	2	-200.0	200	600	2	-200.0	200	600	2	-200.0	200	600
3	-200.0	200	800	3	-200.0	200	800	3	-200.0	200	800	3	-200.0	200	800	3	-200.0	200	800	3	-200.0	200	800
4	-200.0	200	1000	4	-200.0	200	1000	4	-200.0	200	1000	4	-200.0	200	1000	4	-200.0	200	1000	4	-200.0	200	1000
5	-200.0	200	1200	5	-200.0	200	1200	5	-200.0	200	1200	5	-200.0	200	1200	5	-200.0	200	1200	5	-200.0	200	1200
6	-200.0	200	1400	6	-200.0	200	1400	6	-200.0	200	1400	6	-200.0	200	1400	6	-200.0	200	1400	6	-200.0	200	1400
7	-200.0	200	1600	7	-200.0	200	1600	7	-200.0	200	1600	7	-200.0	200	1600	7	-200.0	200	1600	7	-200.0	200	1600
8	-200.0	200	1800	8	-200.0	200	1800	8	-200.0	200	1800	8	-200.0	200	1800	8	-200.0	200	1800	8	-200.0	200	1800
9	-200.0	200	2000	9	-200.0	200	2000	9	-200.0	200	2000	9	-200.0	200	2000	9	-200.0	200	2000	9	-200.0	200	2000
10	-200.0	200	2200	10	-200.0	200	2200	10	-200.0	200	2200	10	-200.0	200	2200	10	-200.0	200	2200	10	-200.0	200	2200
11	-200.0	200	2400	11	-200.0	200	2400	11	-200.0	200	2400	11	-200.0	200	2400	11	-200.0	200	2400	11	-200.0	200	2400
12	-200.0	200	2600	12	-200.0	200	2600	12	-200.0	200	2600	12	-200.0	200	2600	12	-200.0	200	2600	12	-200.0	200	2600
13	-200.0	200	2800	13	-200.0	200	2800	13	-200.0	200	2800	13	-200.0	200	2800	13	-200.0	200	2800	13	-200.0	200	2800
14	-200.0	200	3000	14	-200.0	200	3000	14	-200.0	200	3000	14	-200.0	200	3000	14	-200.0	200	3000	14	-200.0	200	3000
15	-200.0	200	3200	15	-200.0	200	3200	15	-200.0	200	3200	15	-200.0	200	3200	15	-200.0	200	3200	15	-200.0	200	3200
16	-200.0	200	3400	16	-200.0	200	3400	16	-200.0	200	3400	16	-200.0	200	3400	16	-200.0	200	3400	16	-200.0	200	3400
17	-200.0	200	3600	17	-200.0	200	3600	17	-200.0	200	3600	17	-200.0	200	3600	17	-200.0	200	3600	17	-200.0	200	3600
18	-158.0	158	3758	18	-158.0	158	3758	18	-158.0	158	3758	18	-158.0	158	3758	18	-158.0	158	3758	18	-158.0	158	3758
19	-192.0	192	3950	19	-192.0	192	3950	19	-192.0	192	3950	19	-192.0	192	3950	19	-192.0	192	3950	19	-192.0	192	3950
20	-200.0	200	4150	20	-200.0	200	4150	20	-200.0	200	4150	20	-200.0	200	4150	20	-200.0	200	4150	20	-200.0	200	4150
21	-186.0	186	4336	21	-186.0	186	4336	21	-186.0	186	4336	21	-186.0	186	4336	21	-186.0	186	4336	21	-186.0	186	4336
22	-200.0	200	4536	22	-200.0	200	4536	22	-200.0	200	4536	22	-200.0	200	4536	22	-200.0	200	4536	22	-200.0	200	4536
23	-200.0	200	4736	23	-200.0	200	4736	23	-200.0	200	4736	23	-200.0	200	4736	23	-200.0	200	4736	23	-200.0	200	4736
24	-154.0	154	4890	24	-154.0	154	4890	24	-154.0	154	4890	24	-154.0	154	4890	24	-154.0	154	4890	24	-154.0	154	4890
25	-200.0	200	5090	25	-200.0	200	5090	25	-200.0	200	5090	25	-200.0	200	5090	25	-200.0	200	5090	25	-200.0	200	5090
26	-199.0	199	5289	26	-199.0	199	5289	26	-199.0	199	5289	26	-199.0	199	5289	26	-199.0	199	5289	26	-199.0	199	5289
27	-189.0	189	5478	27	-189.0	189	5478	27	-189.0	189	5478	27	-189.0	189	5478	27	-189.0	189	5478	27	-189.0	189	5478
28	-200.0	200	5678	28	-200.0	200	5678	28	-200.0	200	5678	28	-200.0	200	5678	28	-200.0	200	5678	28	-200.0	200	5678
29	-160.0	160	5838	29	-160.0	160	5838	29	-160.0	160	5838	29	-160.0	160	5838	29	-160.0	160	5838	29	-160.0	160	5838
30	-200.0	200	6038	30	-200.0	200	6038	30	-200.0	200	6038	30	-200.0	200	6038	30	-200.0	200	6038	30	-200.0	200	6038
31	-146.0	146	6184	31	-146.0	146	6184	31	-146.0	146	6184	31	-146.0	146	6184	31	-146.0	146	6184	31	-146.0	146	6184
32	-113.0	113	6297	32	-113.0	113	6297	32	-113.0	113	6297	32	-113.0	113	6297	32	-113.0	113	6297	32	-113.0	113	6297
33	-200.0	200	6497	33	-200.0	200	6497	33	-200.0	200	6497	33	-200.0	200	6497	33	-200.0	200	6497	33	-200.0	200	6497
34	-166.0	166	6663	34	-166.0	166	6663	34	-166.0	166	6663	34	-166.0	166	6663	34	-166.0	166	6663	34	-166.0	166	6663
35	-131.0	131	6794	35	-131.0	131	6794	35	-131.0	131	6794	35	-131.0	131	6794	35	-131.0	131	6794	35	-131.0	131	6794
36	-191.0	191	6985	36	-191.0	191	6985	36	-191.0	191	6985	36	-191.0	191	6985	36	-191.0	191	6985	36	-191.0	191	6985
37	-190.0	190	7175	37	-190.0	190	7175	37	-190.0	190	7175	37	-190.0	190	7175	37	-190.0	190	7175	37	-190.0	190	7175
38	-171.0	171	7346	38	-171.0	171	7346	38	-171.0	171	7346	38	-171.0	171	7346	38	-171.0	171	7346	38	-171.0	171	7346
39	-179.0	179	7525	39	-179.0	179	7525	39	-179.0	179	7525	39	-179.0	179	7525	39	-179.0	179	7525	39	-179.0	179	7525
40	-130.0	130	7655	40	-130.0	130	7655	40	-130.0	130	7655	40	-130.0	130	7655	40	-130.0	130	7655	40	-130.0	130	7655
41	-189.0	189	7844	41	-189.0	189	7844	41	-189.0	189	7844	41	-189.0	189	7844	41	-189.0	189	7844	41	-189.0	189	7844
42	-200.0	200	8044	42	-200.0	200	8044	42	-200.0	200	8044	42	-200.0	200	8044	42	-200.0	200	8044	42	-200.0	200	8044
43	-186.0	186	8230	43	-186.0	186	8230	43	-186.0	186	8230	43	-186.0	186	8230	43	-186.0	186	8230	43	-186.0	186	8230
44	-117.0	117	8347	44	-117.0	117	8347	44	-117.0	117	8347	44	-117.0	117	8347	44	-117.0	117	8347	44	-117.0	117	8347
45	-123.0	123	8470	45	-123.0	123	8470	45	-123.0	123	8470	45	-123.0	123	8470	45	-123.0	123	8470	45	-123.0	123	8470
46	-146.0	146	8616	46	-146.0	146	8616	46	-146.0	146	8616	46	-146.0	146	8616	46	-146.0	146	8616	46	-146.0	146	8616
47	-152.0	152	8768	47	-152.0	152	8768	47	-152.0	152	8768	47	-152.0	152	8768	47	-152.0	152	8768	47	-152.0	152	8768
48	-142.0	142	8910	48	-142.0	142	8910	48	-142.0	142	8910	48	-142.0	142	8910	48	-142.0	142	8910	48	-142.0	142	8910
49	-119.0	119	9029	49	-119.0	119	9029	49	-119.0	119	9029	49	-119.0	119	9029	49	-119.0	119	9029	49	-119.0	119	9029
50	-112.0	112	9141	50	-112.0	112	9141	50	-112.0	112	9141	50	-112.0	112	9141	50	-112.0	112	9141	50	-112.0	112	9141
51	-113.0	113	9254	51	-113.0	113	9254	51	-113.0	113	9254	51	-113.0	113	9254	51	-113.0	113	9254	51	-113.0	113	9254
52	-150.0	150	9404	52	-150.0	150	9404	52	-150.0	150	9404	52	-150.0	150	9404	52	-150.0	150	9404	52	-150.0	150	9404
53	-149.0	149	9553	53	-149.0	149	9553	53	-149.0	149	9553	53	-149.0	149	9553	53	-149.0	149	9553	53	-149.0	149	9553
54	-136.0	136	9689	54	-136.0	136	9689	54	-136.0	136	9689	54	-136.0	136	9689	54	-136.0	136	9689	54	-136.0	136	9689
55	-110.0	110	9799	55	-110.0	110	9799	55	-110.0	110	9799	55	-110.0	110	9799	55	-110.0	110	9799	55	-110.0	110	9799
56	-127.0	127	9926	56	-127.0	127	9926	56	-127.0	127	9926	56	-127.0	127	9926	56	-127.0	127	9926	56	-127.0	127	9926
