Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-200.0	200	200	0	-200.0	200	200	0	-200.0	200	200	0	-200.0	200	200	0	-200.0	200	200	0	-200.0	200	200	0	-200.0	200	200
1	-200.0	200	400	1	-200.0	200	400	1	-200.0	200	400	1	-200.0	200	400	1	-200.0	200	400	1	-200.0	200	400	1	-200.0	200	400
2	-200.0	200	600	2	-200.0	200	600	2	-200.0	200	600	2	-200.0	200	600	2	-200.0	200	600	2	-200.0	200	600	2	-200.0	200	600
3	-200.0	200	800	3	-200.0	200	800	3	-200.0	200	800	3	-200.0	200	800	3	-200.0	200	800	3	-200.0	200	800	3	-200.0	200	800
4	-200.0	200	1000	4	-200.0	200	1000	4	-200.0	200	1000	4	-200.0	200	1000	4	-200.0	200	1000	4	-200.0	200	1000	4	-200.0	200	1000
5	-200.0	200	1200	5	-200.0	200	1200	5	-200.0	200	1200	5	-200.0	200	1200	5	-200.0	200	1200	5	-200.0	200	1200	5	-200.0	200	1200
6	-200.0	200	1400	6	-200.0	200	1400	6	-200.0	200	1400	6	-200.0	200	1400	6	-200.0	200	1400	6	-200.0	200	1400	6	-200.0	200	1400
7	-200.0	200	1600	7	-200.0	200	1600	7	-200.0	200	1600	7	-200.0	200	1600	7	-200.0	200	1600	7	-200.0	200	1600	7	-200.0	200	1600
8	-200.0	200	1800	8	-200.0	200	1800	8	-200.0	200	1800	8	-200.0	200	1800	8	-200.0	200	1800	8	-200.0	200	1800	8	-200.0	200	1800
9	-200.0	200	2000	9	-200.0	200	2000	9	-200.0	200	2000	9	-200.0	200	2000	9	-200.0	200	2000	9	-200.0	200	2000	9	-200.0	200	2000
10	-200.0	200	2200	10	-200.0	200	2200	10	-200.0	200	2200	10	-200.0	200	2200	10	-200.0	200	2200	10	-200.0	200	2200	10	-200.0	200	2200
11	-200.0	200	2400	11	-200.0	200	2400	11	-200.0	200	2400	11	-200.0	200	2400	11	-200.0	200	2400	11	-200.0	200	2400	11	-200.0	200	2400
12	-200.0	200	2600	12	-200.0	200	2600	12	-200.0	200	2600	12	-200.0	200	2600	12	-200.0	200	2600	12	-200.0	200	2600	12	-200.0	200	2600
13	-200.0	200	2800	13	-200.0	200	2800	13	-200.0	200	2800	13	-200.0	200	2800	13	-200.0	200	2800	13	-200.0	200	2800	13	-200.0	200	2800
14	-200.0	200	3000	14	-200.0	200	3000	14	-200.0	200	3000	14	-200.0	200	3000	14	-200.0	200	3000	14	-200.0	200	3000	14	-200.0	200	3000
15	-200.0	200	3200	15	-200.0	200	3200	15	-200.0	200	3200	15	-200.0	200	3200	15	-200.0	200	3200	15	-200.0	200	3200	15	-200.0	200	3200
16	-200.0	200	3400	16	-200.0	200	3400	16	-200.0	200	3400	16	-200.0	200	3400	16	-200.0	200	3400	16	-200.0	200	3400	16	-200.0	200	3400
17	-200.0	200	3600	17	-200.0	200	3600	17	-200.0	200	3600	17	-200.0	200	3600	17	-200.0	200	3600	17	-200.0	200	3600	17	-200.0	200	3600
18	-200.0	200	3800	18	-200.0	200	3800	18	-200.0	200	3800	18	-200.0	200	3800	18	-200.0	200	3800	18	-200.0	200	3800	18	-200.0	200	3800
19	-145.0	145	3945	19	-145.0	145	3945	19	-145.0	145	3945	19	-145.0	145	3945	19	-145.0	145	3945	19	-145.0	145	3945	19	-145.0	145	3945
20	-200.0	200	4145	20	-200.0	200	4145	20	-200.0	200	4145	20	-200.0	200	4145	20	-200.0	200	4145	20	-200.0	200	4145	20	-200.0	200	4145
21	-191.0	191	4336	21	-191.0	191	4336	21	-191.0	191	4336	21	-191.0	191	4336	21	-191.0	191	4336	21	-191.0	191	4336	21	-191.0	191	4336
22	-188.0	188	4524	22	-188.0	188	4524	22	-188.0	188	4524	22	-188.0	188	4524	22	-188.0	188	4524	22	-188.0	188	4524	22	-188.0	188	4524
23	-190.0	190	4714	23	-190.0	190	4714	23	-190.0	190	4714	23	-190.0	190	4714	23	-190.0	190	4714	23	-190.0	190	4714	23	-190.0	190	4714
24	-200.0	200	4914	24	-200.0	200	4914	24	-200.0	200	4914	24	-200.0	200	4914	24	-200.0	200	4914	24	-200.0	200	4914	24	-200.0	200	4914
25	-181.0	181	5095	25	-181.0	181	5095	25	-181.0	181	5095	25	-181.0	181	5095	25	-181.0	181	5095	25	-181.0	181	5095	25	-181.0	181	5095
26	-195.0	195	5290	26	-195.0	195	5290	26	-195.0	195	5290	26	-195.0	195	5290	26	-195.0	195	5290	26	-195.0	195	5290	26	-195.0	195	5290
27	-158.0	158	5448	27	-158.0	158	5448	27	-158.0	158	5448	27	-158.0	158	5448	27	-158.0	158	5448	27	-158.0	158	5448	27	-158.0	158	5448
28	-200.0	200	5648	28	-200.0	200	5648	28	-200.0	200	5648	28	-200.0	200	5648	28	-200.0	200	5648	28	-200.0	200	5648	28	-200.0	200	5648
29	-200.0	200	5848	29	-200.0	200	5848	29	-200.0	200	5848	29	-200.0	200	5848	29	-200.0	200	5848	29	-200.0	200	5848	29	-200.0	200	5848
30	-200.0	200	6048	30	-200.0	200	6048	30	-200.0	200	6048	30	-200.0	200	6048	30	-200.0	200	6048	30	-200.0	200	6048	30	-200.0	200	6048
31	-194.0	194	6242	31	-194.0	194	6242	31	-194.0	194	6242	31	-194.0	194	6242	31	-194.0	194	6242	31	-194.0	194	6242	31	-194.0	194	6242
32	-200.0	200	6442	32	-200.0	200	6442	32	-200.0	200	6442	32	-200.0	200	6442	32	-200.0	200	6442	32	-200.0	200	6442	32	-200.0	200	6442
33	-158.0	158	6600	33	-158.0	158	6600	33	-158.0	158	6600	33	-158.0	158	6600	33	-158.0	158	6600	33	-158.0	158	6600	33	-158.0	158	6600
34	-148.0	148	6748	34	-148.0	148	6748	34	-148.0	148	6748	34	-148.0	148	6748	34	-148.0	148	6748	34	-148.0	148	6748	34	-148.0	148	6748
35	-142.0	142	6890	35	-142.0	142	6890	35	-142.0	142	6890	35	-142.0	142	6890	35	-142.0	142	6890	35	-142.0	142	6890	35	-142.0	142	6890
36	-145.0	145	7035	36	-145.0	145	7035	36	-145.0	145	7035	36	-145.0	145	7035	36	-145.0	145	7035	36	-145.0	145	7035	36	-145.0	145	7035
37	-189.0	189	7224	37	-189.0	189	7224	37	-189.0	189	7224	37	-189.0	189	7224	37	-189.0	189	7224	37	-189.0	189	7224	37	-189.0	189	7224
38	-157.0	157	7381	38	-157.0	157	7381	38	-157.0	157	7381	38	-157.0	157	7381	38	-157.0	157	7381	38	-157.0	157	7381	38	-157.0	157	7381
