Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-200.0	200	200	0	-200.0	200	200	0	-200.0	200	200	0	-200.0	200	200	0	-200.0	200	200	0	-200.0	200	200	0	-200.0	200	200	0	-200.0	200	200
1	-200.0	200	400	1	-200.0	200	400	1	-200.0	200	400	1	-200.0	200	400	1	-200.0	200	400	1	-200.0	200	400	1	-200.0	200	400	1	-200.0	200	400
2	-200.0	200	600	2	-200.0	200	600	2	-200.0	200	600	2	-200.0	200	600	2	-200.0	200	600	2	-200.0	200	600	2	-200.0	200	600	2	-200.0	200	600
3	-200.0	200	800	3	-200.0	200	800	3	-200.0	200	800	3	-200.0	200	800	3	-200.0	200	800	3	-200.0	200	800	3	-200.0	200	800	3	-200.0	200	800
4	-200.0	200	1000	4	-200.0	200	1000	4	-200.0	200	1000	4	-200.0	200	1000	4	-200.0	200	1000	4	-200.0	200	1000	4	-200.0	200	1000	4	-200.0	200	1000
5	-200.0	200	1200	5	-200.0	200	1200	5	-200.0	200	1200	5	-200.0	200	1200	5	-200.0	200	1200	5	-200.0	200	1200	5	-200.0	200	1200	5	-200.0	200	1200
6	-200.0	200	1400	6	-200.0	200	1400	6	-200.0	200	1400	6	-200.0	200	1400	6	-200.0	200	1400	6	-200.0	200	1400	6	-200.0	200	1400	6	-200.0	200	1400
7	-200.0	200	1600	7	-200.0	200	1600	7	-200.0	200	1600	7	-200.0	200	1600	7	-200.0	200	1600	7	-200.0	200	1600	7	-200.0	200	1600	7	-200.0	200	1600
8	-200.0	200	1800	8	-200.0	200	1800	8	-200.0	200	1800	8	-200.0	200	1800	8	-200.0	200	1800	8	-200.0	200	1800	8	-200.0	200	1800	8	-200.0	200	1800
9	-200.0	200	2000	9	-200.0	200	2000	9	-200.0	200	2000	9	-200.0	200	2000	9	-200.0	200	2000	9	-200.0	200	2000	9	-200.0	200	2000	9	-200.0	200	2000
10	-200.0	200	2200	10	-200.0	200	2200	10	-200.0	200	2200	10	-200.0	200	2200	10	-200.0	200	2200	10	-200.0	200	2200	10	-200.0	200	2200	10	-200.0	200	2200
11	-200.0	200	2400	11	-200.0	200	2400	11	-200.0	200	2400	11	-200.0	200	2400	11	-200.0	200	2400	11	-200.0	200	2400	11	-200.0	200	2400	11	-200.0	200	2400
12	-200.0	200	2600	12	-200.0	200	2600	12	-200.0	200	2600	12	-200.0	200	2600	12	-200.0	200	2600	12	-200.0	200	2600	12	-200.0	200	2600	12	-200.0	200	2600
13	-200.0	200	2800	13	-200.0	200	2800	13	-200.0	200	2800	13	-200.0	200	2800	13	-200.0	200	2800	13	-200.0	200	2800	13	-200.0	200	2800	13	-200.0	200	2800
14	-200.0	200	3000	14	-200.0	200	3000	14	-200.0	200	3000	14	-200.0	200	3000	14	-200.0	200	3000	14	-200.0	200	3000	14	-200.0	200	3000	14	-200.0	200	3000
15	-200.0	200	3200	15	-200.0	200	3200	15	-200.0	200	3200	15	-200.0	200	3200	15	-200.0	200	3200	15	-200.0	200	3200	15	-200.0	200	3200	15	-200.0	200	3200
16	-200.0	200	3400	16	-200.0	200	3400	16	-200.0	200	3400	16	-200.0	200	3400	16	-200.0	200	3400	16	-200.0	200	3400	16	-200.0	200	3400	16	-200.0	200	3400
17	-186.0	186	3586	17	-186.0	186	3586	17	-186.0	186	3586	17	-186.0	186	3586	17	-186.0	186	3586	17	-186.0	186	3586	17	-186.0	186	3586	17	-186.0	186	3586
18	-200.0	200	3786	18	-200.0	200	3786	18	-200.0	200	3786	18	-200.0	200	3786	18	-200.0	200	3786	18	-200.0	200	3786	18	-200.0	200	3786	18	-200.0	200	3786
19	-200.0	200	3986	19	-200.0	200	3986	19	-200.0	200	3986	19	-200.0	200	3986	19	-200.0	200	3986	19	-200.0	200	3986	19	-200.0	200	3986	19	-200.0	200	3986
20	-200.0	200	4186	20	-200.0	200	4186	20	-200.0	200	4186	20	-200.0	200	4186	20	-200.0	200	4186	20	-200.0	200	4186	20	-200.0	200	4186	20	-200.0	200	4186
21	-200.0	200	4386	21	-200.0	200	4386	21	-200.0	200	4386	21	-200.0	200	4386	21	-200.0	200	4386	21	-200.0	200	4386	21	-200.0	200	4386	21	-200.0	200	4386
22	-160.0	160	4546	22	-160.0	160	4546	22	-160.0	160	4546	22	-160.0	160	4546	22	-160.0	160	4546	22	-160.0	160	4546	22	-160.0	160	4546	22	-160.0	160	4546
23	-200.0	200	4746	23	-200.0	200	4746	23	-200.0	200	4746	23	-200.0	200	4746	23	-200.0	200	4746	23	-200.0	200	4746	23	-200.0	200	4746	23	-200.0	200	4746
24	-200.0	200	4946	24	-200.0	200	4946	24	-200.0	200	4946	24	-200.0	200	4946	24	-200.0	200	4946	24	-200.0	200	4946	24	-200.0	200	4946	24	-200.0	200	4946
25	-200.0	200	5146	25	-200.0	200	5146	25	-200.0	200	5146	25	-200.0	200	5146	25	-200.0	200	5146	25	-200.0	200	5146	25	-200.0	200	5146	25	-200.0	200	5146
26	-152.0	152	5298	26	-152.0	152	5298	26	-152.0	152	5298	26	-152.0	152	5298	26	-152.0	152	5298	26	-152.0	152	5298	26	-152.0	152	5298	26	-152.0	152	5298
27	-151.0	151	5449	27	-151.0	151	5449	27	-151.0	151	5449	27	-151.0	151	5449	27	-151.0	151	5449	27	-151.0	151	5449	27	-151.0	151	5449	27	-151.0	151	5449
28	-180.0	180	5629	28	-180.0	180	5629	28	-180.0	180	5629	28	-180.0	180	5629	28	-180.0	180	5629	28	-180.0	180	5629	28	-180.0	180	5629	28	-180.0	180	5629
29	-150.0	150	5779	29	-150.0	150	5779	29	-150.0	150	5779	29	-150.0	150	5779	29	-150.0	150	5779	29	-150.0	150	5779	29	-150.0	150	5779	29	-150.0	150	5779
