Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-200.0	200	200	0	-200.0	200	200	0	-200.0	200	200	0	-200.0	200	200	0	-200.0	200	200	0	-200.0	200	200	0	-200.0	200	200	0	-200.0	200	200	0	-200.0	200	200
1	-200.0	200	400	1	-200.0	200	400	1	-200.0	200	400	1	-200.0	200	400	1	-200.0	200	400	1	-200.0	200	400	1	-200.0	200	400	1	-200.0	200	400	1	-200.0	200	400
2	-200.0	200	600	2	-200.0	200	600	2	-200.0	200	600	2	-200.0	200	600	2	-200.0	200	600	2	-200.0	200	600	2	-200.0	200	600	2	-200.0	200	600	2	-200.0	200	600
3	-200.0	200	800	3	-200.0	200	800	3	-200.0	200	800	3	-200.0	200	800	3	-200.0	200	800	3	-200.0	200	800	3	-200.0	200	800	3	-200.0	200	800	3	-200.0	200	800
4	-200.0	200	1000	4	-200.0	200	1000	4	-200.0	200	1000	4	-200.0	200	1000	4	-200.0	200	1000	4	-200.0	200	1000	4	-200.0	200	1000	4	-200.0	200	1000	4	-200.0	200	1000
5	-200.0	200	1200	5	-200.0	200	1200	5	-200.0	200	1200	5	-200.0	200	1200	5	-200.0	200	1200	5	-200.0	200	1200	5	-200.0	200	1200	5	-200.0	200	1200	5	-200.0	200	1200
6	-200.0	200	1400	6	-200.0	200	1400	6	-200.0	200	1400	6	-200.0	200	1400	6	-200.0	200	1400	6	-200.0	200	1400	6	-200.0	200	1400	6	-200.0	200	1400	6	-200.0	200	1400
7	-200.0	200	1600	7	-200.0	200	1600	7	-200.0	200	1600	7	-200.0	200	1600	7	-200.0	200	1600	7	-200.0	200	1600	7	-200.0	200	1600	7	-200.0	200	1600	7	-200.0	200	1600
8	-200.0	200	1800	8	-200.0	200	1800	8	-200.0	200	1800	8	-200.0	200	1800	8	-200.0	200	1800	8	-200.0	200	1800	8	-200.0	200	1800	8	-200.0	200	1800	8	-200.0	200	1800
9	-200.0	200	2000	9	-200.0	200	2000	9	-200.0	200	2000	9	-200.0	200	2000	9	-200.0	200	2000	9	-200.0	200	2000	9	-200.0	200	2000	9	-200.0	200	2000	9	-200.0	200	2000
10	-200.0	200	2200	10	-200.0	200	2200	10	-200.0	200	2200	10	-200.0	200	2200	10	-200.0	200	2200	10	-200.0	200	2200	10	-200.0	200	2200	10	-200.0	200	2200	10	-200.0	200	2200
11	-200.0	200	2400	11	-200.0	200	2400	11	-200.0	200	2400	11	-200.0	200	2400	11	-200.0	200	2400	11	-200.0	200	2400	11	-200.0	200	2400	11	-200.0	200	2400	11	-200.0	200	2400
12	-166.0	166	2566	12	-166.0	166	2566	12	-166.0	166	2566	12	-166.0	166	2566	12	-166.0	166	2566	12	-166.0	166	2566	12	-166.0	166	2566	12	-166.0	166	2566	12	-166.0	166	2566
13	-200.0	200	2766	13	-200.0	200	2766	13	-200.0	200	2766	13	-200.0	200	2766	13	-200.0	200	2766	13	-200.0	200	2766	13	-200.0	200	2766	13	-200.0	200	2766	13	-200.0	200	2766
14	-200.0	200	2966	14	-200.0	200	2966	14	-200.0	200	2966	14	-200.0	200	2966	14	-200.0	200	2966	14	-200.0	200	2966	14	-200.0	200	2966	14	-200.0	200	2966	14	-200.0	200	2966
15	-200.0	200	3166	15	-200.0	200	3166	15	-200.0	200	3166	15	-200.0	200	3166	15	-200.0	200	3166	15	-200.0	200	3166	15	-200.0	200	3166	15	-200.0	200	3166	15	-200.0	200	3166
16	-177.0	177	3343	16	-177.0	177	3343	16	-177.0	177	3343	16	-177.0	177	3343	16	-177.0	177	3343	16	-177.0	177	3343	16	-177.0	177	3343	16	-177.0	177	3343	16	-177.0	177	3343
17	-200.0	200	3543	17	-200.0	200	3543	17	-200.0	200	3543	17	-200.0	200	3543	17	-200.0	200	3543	17	-200.0	200	3543	17	-200.0	200	3543	17	-200.0	200	3543	17	-200.0	200	3543
18	-200.0	200	3743	18	-200.0	200	3743	18	-200.0	200	3743	18	-200.0	200	3743	18	-200.0	200	3743	18	-200.0	200	3743	18	-200.0	200	3743	18	-200.0	200	3743	18	-200.0	200	3743
