Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-200.0	200	200	0	-200.0	200	200	0	-200.0	200	200	0	-200.0	200	200	0	-200.0	200	200	0	-200.0	200	200	0	-200.0	200	200	0	-200.0	200	200	0	-200.0	200	200	0	-200.0	200	200
1	-200.0	200	400	1	-200.0	200	400	1	-200.0	200	400	1	-200.0	200	400	1	-200.0	200	400	1	-200.0	200	400	1	-200.0	200	400	1	-200.0	200	400	1	-200.0	200	400	1	-200.0	200	400
2	-200.0	200	600	2	-200.0	200	600	2	-200.0	200	600	2	-200.0	200	600	2	-200.0	200	600	2	-200.0	200	600	2	-200.0	200	600	2	-200.0	200	600	2	-200.0	200	600	2	-200.0	200	600
3	-200.0	200	800	3	-200.0	200	800	3	-200.0	200	800	3	-200.0	200	800	3	-200.0	200	800	3	-200.0	200	800	3	-200.0	200	800	3	-200.0	200	800	3	-200.0	200	800	3	-200.0	200	800
4	-200.0	200	1000	4	-200.0	200	1000	4	-200.0	200	1000	4	-200.0	200	1000	4	-200.0	200	1000	4	-200.0	200	1000	4	-200.0	200	1000	4	-200.0	200	1000	4	-200.0	200	1000	4	-200.0	200	1000
5	-200.0	200	1200	5	-200.0	200	1200	5	-200.0	200	1200	5	-200.0	200	1200	5	-200.0	200	1200	5	-200.0	200	1200	5	-200.0	200	1200	5	-200.0	200	1200	5	-200.0	200	1200	5	-200.0	200	1200
6	-200.0	200	1400	6	-200.0	200	1400	6	-200.0	200	1400	6	-200.0	200	1400	6	-200.0	200	1400	6	-200.0	200	1400	6	-200.0	200	1400	6	-200.0	200	1400	6	-200.0	200	1400	6	-200.0	200	1400
7	-200.0	200	1600	7	-200.0	200	1600	7	-200.0	200	1600	7	-200.0	200	1600	7	-200.0	200	1600	7	-200.0	200	1600	7	-200.0	200	1600	7	-200.0	200	1600	7	-200.0	200	1600	7	-200.0	200	1600
8	-191.0	191	1791	8	-191.0	191	1791	8	-191.0	191	1791	8	-191.0	191	1791	8	-191.0	191	1791	8	-191.0	191	1791	8	-191.0	191	1791	8	-191.0	191	1791	8	-191.0	191	1791	8	-191.0	191	1791
9	-200.0	200	1991	9	-200.0	200	1991	9	-200.0	200	1991	9	-200.0	200	1991	9	-200.0	200	1991	9	-200.0	200	1991	9	-200.0	200	1991	9	-200.0	200	1991	9	-200.0	200	1991	9	-200.0	200	1991
10	-200.0	200	2191	10	-200.0	200	2191	10	-200.0	200	2191	10	-200.0	200	2191	10	-200.0	200	2191	10	-200.0	200	2191	10	-200.0	200	2191	10	-200.0	200	2191	10	-200.0	200	2191	10	-200.0	200	2191
11	-200.0	200	2391	11	-200.0	200	2391	11	-200.0	200	2391	11	-200.0	200	2391	11	-200.0	200	2391	11	-200.0	200	2391	11	-200.0	200	2391	11	-200.0	200	2391	11	-200.0	200	2391	11	-200.0	200	2391
12	-200.0	200	2591	12	-200.0	200	2591	12	-200.0	200	2591	12	-200.0	200	2591	12	-200.0	200	2591	12	-200.0	200	2591	12	-200.0	200	2591	12	-200.0	200	2591	12	-200.0	200	2591	12	-200.0	200	2591
13	-200.0	200	2791	13	-200.0	200	2791	13	-200.0	200	2791	13	-200.0	200	2791	13	-200.0	200	2791	13	-200.0	200	2791	13	-200.0	200	2791	13	-200.0	200	2791	13	-200.0	200	2791	13	-200.0	200	2791
14	-200.0	200	2991	14	-200.0	200	2991	14	-200.0	200	2991	14	-200.0	200	2991	14	-200.0	200	2991	14	-200.0	200	2991	14	-200.0	200	2991	14	-200.0	200	2991	14	-200.0	200	2991	14	-200.0	200	2991
15	-200.0	200	3191	15	-200.0	200	3191	15	-200.0	200	3191	15	-200.0	200	3191	15	-200.0	200	3191	15	-200.0	200	3191	15	-200.0	200	3191	15	-200.0	200	3191	15	-200.0	200	3191	15	-200.0	200	3191
16	-200.0	200	3391	16	-200.0	200	3391	16	-200.0	200	3391	16	-200.0	200	3391	16	-200.0	200	3391	16	-200.0	200	3391	16	-200.0	200	3391	16	-200.0	200	3391	16	-200.0	200	3391	16	-200.0	200	3391
17	-200.0	200	3591	17	-200.0	200	3591	17	-200.0	200	3591	17	-200.0	200	3591	17	-200.0	200	3591	17	-200.0	200	3591	17	-200.0	200	3591	17	-200.0	200	3591	17	-200.0	200	3591	17	-200.0	200	3591
18	-165.0	165	3756	18	-165.0	165	3756	18	-165.0	165	3756	18	-165.0	165	3756	18	-165.0	165	3756	18	-165.0	165	3756	18	-165.0	165	3756	18	-165.0	165	3756	18	-165.0	165	3756	18	-165.0	165	3756
19	-200.0	200	3956	19	-200.0	200	3956	19	-200.0	200	3956	19	-200.0	200	3956	19	-200.0	200	3956	19	-200.0	200	3956	19	-200.0	200	3956	19	-200.0	200	3956	19	-200.0	200	3956	19	-200.0	200	3956
20	-200.0	200	4156	20	-200.0	200	4156	20	-200.0	200	4156	20	-200.0	200	4156	20	-200.0	200	4156	20	-200.0	200	4156	20	-200.0	200	4156	20	-200.0	200	4156	20	-200.0	200	4156	20	-200.0	200	4156
21	-200.0	200	4356	21	-200.0	200	4356	21	-200.0	200	4356	21	-200.0	200	4356	21	-200.0	200	4356	21	-200.0	200	4356	21	-200.0	200	4356	21	-200.0	200	4356	21	-200.0	200	4356	21	-200.0	200	4356
22	-200.0	200	4556	22	-200.0	200	4556	22	-200.0	200	4556	22	-200.0	200	4556	22	-200.0	200	4556	22	-200.0	200	4556	22	-200.0	200	4556	22	-200.0	200	4556	22	-200.0	200	4556	22	-200.0	200	4556
23	-159.0	159	4715	23	-159.0	159	4715	23	-159.0	159	4715	23	-159.0	159	4715	23	-159.0	159	4715	23	-159.0	159	4715	23	-159.0	159	4715	23	-159.0	159	4715	23	-159.0	159	4715	23	-159.0	159	4715
24	-156.0	156	4871	24	-156.0	156	4871	24	-156.0	156	4871	24	-156.0	156	4871	24	-156.0	156	4871	24	-156.0	156	4871	24	-156.0	156	4871	24	-156.0	156	4871	24	-156.0	156	4871	24	-156.0	156	4871
25	-161.0	161	5032	25	-161.0	161	5032	25	-161.0	161	5032	25	-161.0	161	5032	25	-161.0	161	5032	25	-161.0	161	5032	25	-161.0	161	5032	25	-161.0	161	5032	25	-161.0	161	5032	25	-161.0	161	5032
26	-168.0	168	5200	26	-168.0	168	5200	26	-168.0	168	5200	26	-168.0	168	5200	26	-168.0	168	5200	26	-168.0	168	5200	26	-168.0	168	5200	26	-168.0	168	5200	26	-168.0	168	5200	26	-168.0	168	5200
27	-159.0	159	5359	27	-159.0	159	5359	27	-159.0	159	5359	27	-159.0	159	5359	27	-159.0	159	5359	27	-159.0	159	5359	27	-159.0	159	5359	27	-159.0	159	5359	27	-159.0	159	5359	27	-159.0	159	5359
28	-160.0	160	5519	28	-160.0	160	5519	28	-160.0	160	5519	28	-160.0	160	5519	28	-160.0	160	5519	28	-160.0	160	5519	28	-160.0	160	5519	28	-160.0	160	5519	28	-160.0	160	5519	28	-160.0	160	5519
